eng,spa_m,spa_f,spa_n,extracted
I am Afghan.,Soy afgano.,Soy afgana.,,['Soy afgano.']
I am Angolan.,Soy angoleño.,Soy angoleña.,,['Soy angoleño.']
I am Albanian.,Soy albanés.,Soy albanésa.,,['Soy albanés.']
I am Andorran.,Soy andorrano.,Soy andorrana.,,['Soy andorrano.']
I am Emirati.,,,Soy emiratí.,['Soy emiratí.']
I am Argentine.,Soy argentino.,Soy argentina.,,"['Soy argentino.', 'Soy argentina.']"
I am Armenian.,Soy armenio.,Soy armenia.,,"['Soy armenio.', 'Soy armenia.']"
I am Antiguan.,Soy antiguano.,Soy antiguana.,,['Soy de Antigua.']
I am Australian.,Soy australiano.,Soy australiana.,,"['Soy australiano.', 'Soy australiana.']"
I am Austrian.,Soy austriaco.,Soy austriaca.,,"['Soy austriaco.', 'Soy austriaca.']"
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,['Soy azerbaiyano.']
I am Burundian.,Soy burundés.,Soy burundésa.,,['Soy burundés.']
I am Belgian.,,,Soy belga.,['Soy belga.']
I am Beninese.,Soy beninés.,Soy beninésa.,,['Soy beninés.']
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,['Soy burkinés.']
I am Bangladeshi.,,,Soy bangladesí.,['Soy bangladesí.']
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"['Soy búlgaro.', 'Soy búlgara.']"
I am Bahraini.,,,Soy bareiní.,['Soy bahreiní.']
I am Bahamian.,Soy bahameño.,Soy bahameña.,,['Soy bahameño.']
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"['Soy bosnio.', 'Soy bosnia.']"
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"['Soy bielorruso.', 'Soy bielorrusa.']"
I am Belizean.,Soy beliceño.,Soy beliceña.,,['Soy beliceño.']
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"['Soy boliviano.', 'Soy boliviana.']"
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"['Soy brasileño.', 'Soy brasileña.']"
I am Barbadian.,,,Soy barbadense.,['Soy barbadense.']
I am Bruneian.,Soy bruneano.,Soy bruneana.,,['Soy de Brunéi.']
I am Bhutanese.,Soy butanés.,Soy butanésa.,,['Soy butanés.']
I am Motswana.,Soy botsuano.,Soy botsuana.,,['Yo soy motswana.']
I am Central African.,Soy centroafricano.,Soy centroafricana.,,['Soy centroafricano.']
I am Canadian.,,,Soy canadiense.,['Soy canadiense.']
I am Swiss.,Soy suizo.,Soy suiza.,,"['Soy suizo.', 'Soy suiza.']"
I am Chilean.,Soy chileno.,Soy chilena.,,['Soy chileno.']
I am Chinese.,Soy chino.,Soy china.,,"['Soy chino.', 'Soy china.']"
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,['Soy marfileño.']
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,['Soy camerunés.']
I am Congolese.,Soy congoleño.,Soy congoleña.,,"['Soy congoleño.', 'Soy congoleña.']"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"['Soy congoleño.', 'Soy congoleña.']"
I am Colombian.,Soy colombiano.,Soy colombiana.,,"['Soy colombiano.', 'Soy colombiana.']"
I am Comoran.,,,Soy comorense.,['Soy comorense.']
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,['Soy caboverdiano.']
I am Costa Rican.,,,Soy costarricense.,['Soy costarricense.']
I am Cuban.,Soy cubano.,Soy cubana.,,"['Soy cubano.', 'Soy cubana.']"
I am Cypriot.,,,Soy chipriota.,['Soy chipriota.']
I am Czech.,Soy checo.,Soy checa.,,"['Soy checo.', 'Soy checa.']"
I am German.,Soy alemán.,,,['Soy alemán.']
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,['Soy Yibuti.']
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"['Soy dominicano.', 'Soy dominicana.']"
I am Danish.,Soy danés.,Soy danésa.,,['Soy danés.']
I am Dominican.,Soy dominicano.,Soy dominicana.,,"['Soy dominicano.', 'Soy dominicana.']"
I am Algerian.,Soy argelino.,Soy argelina.,,['Soy argelino.']
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,['Soy ecuatoriano.']
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"['Soy egipcio.', 'Soy egipcia.']"
I am Eritrean.,Soy eritreo.,Soy eritra.,,"['Soy eritreo.', 'Soy eritrea.']"
I am Spanish.,Soy español.,,,['Soy español.']
I am Estonian.,Soy estonio.,Soy estona.,,['Soy estonio.']
I am Ethiopian.,,,Soy etíope.,['Soy etíope.']
I am Finnish.,Soy finlandés.,Soy finlandésa.,,['Soy finlandés.']
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,['Yo soy fiyiano.']
I am French.,Soy francés.,Soy francésa.,,"['Soy francés.', 'Soy francesa.']"
I am Micronesian.,Soy micronesio.,Soy micronesia.,,['Soy micronesio.']
I am Gabonese.,Soy gabonés.,Soy gabonésa.,,['Soy gabonés.']
I am British.,Soy británico.,Soy británia.,,['Soy británico.']
I am Georgian.,Soy georgiano.,Soy georgiana.,,"['Soy georgiano.', 'Soy georgiana.']"
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,,['Soy ghanés.']
I am Guinean.,Soy guineano.,Soy guineana.,,"['Soy guineano.', 'Soy guineana.']"
I am Gambian.,Soy gambiano.,Soy gambiana.,,['Soy gambiano.']
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.,['Yo soy de Guinea-Bisáu.']
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,,['Soy ecuatoguineano.']
I am Greek.,Soy griego.,Soy griega.,,['Soy griego.']
I am Grenadian.,Soy granadino.,Soy granadina.,,['Soy granadino.']
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"['Soy guatemalteco.', 'Soy guatemalteca.']"
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,['Soy guyanés.']
I am Honduran.,Soy hondureño.,Soy hondureña.,,['Soy hondureño.']
I am Croatian.,,,Soy croata.,['Soy croata.']
I am Haitian.,Soy haitiano.,Soy haitiana.,,"['Soy haitiano.', 'Soy haitiana.']"
I am Hungarian.,Soy húngaro.,Soy húngara.,,"['Soy húngaro.', 'Soy húngara.']"
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"['Soy indonesio.', 'Soy indonesia.']"
I am Indian.,Soy indio.,Soy india.,,"['Soy indio.', 'Soy india.']"
I am Irish.,Soy irlandés.,Soy irlandésa.,,"['Soy irlandés.', 'Soy irlandesa.']"
I am Iranian.,,,Soy iraní.,['Soy iraní.']
I am Iraqi.,,,Soy iraquí.,['Soy iraquí.']
I am Icelander.,Soy islandés.,Soy islandésa.,,"['Soy islandés.', 'Soy islandesa.']"
I am Israeli.,,,Soy israelí.,['Soy israelí.']
I am Italian.,Soy italiano.,Soy italiana.,,['Soy italiano.']
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,,"['Soy jamaiquino.', 'Soy jamaiquina.']"
I am Jordanian.,Soy jordano.,Soy jordana.,,"['Soy jordano.', 'Soy jordana.']"
I am Japanese.,Soy japonés.,Soy japonésa.,,['Soy japonés.']
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,,['Soy kazajo.']
I am Kenyan.,,,Soy keniata.,['Soy keniano.']
I am Kirghiz.,,,Soy kirguís.,"['Soy kirguiso.', 'Soy kirguisa.']"
I am Cambodian.,Soy camboyano.,Soy camboyana.,,['Soy camboyano.']
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,['Soy kiribatiano.']
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,['Soy de San Cristóbal y Nieves.']
