eng,deu_m,deu_f,deu_n,output
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"The most straightforward translation is: **Ich bin Afghane.** (masculine) or **Ich bin Afghanin.** (feminine)

You could also say: **Ich komme aus Afghanistan.** (I come from Afghanistan) - This is a more general statement and avoids the potential complexities of nationality versus ethnicity.
"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"Ich bin Angolaner/in. 

(If you are male, use *Angolaner*. If you are female, use *Angolanerin*.)
"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"Ich bin Albaner/Albanerin.

(Albaner if you are male, Albanerin if you are female)
"
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"Ich bin Andorraner/Andorranerin.

You need both the masculine (Andorraner) and feminine (Andorranerin) forms because the English sentence doesn't specify gender.  If you know the gender, use the appropriate form.
"
I am Emirati.,,,,"Ich bin Emirati.
"
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"Ich bin Argentinier/in.

(If you are male, use *Argentinier*. If you are female, use *Argentinierin*.)
"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"Ich bin Armenier/Armenierin.

If you are a male, use ""Armenier"".  If you are a female, use ""Armenierin"".  If you don't want to specify your gender, you could also say:

Ich bin armenischer Herkunft. (I am of Armenian descent/origin.)
Ich komme aus Armenien. (I come from Armenia. -  Note that this implies you are currently not in Armenia.)
"
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"The most straightforward translation is: **Ich bin Antiguaner/in.**

You need to choose the correct ending depending on your gender:

* **Antiguaner:** male
* **Antiguanerin:** female

You could also say: **Ich komme aus Antigua und Barbuda.** (I come from Antigua and Barbuda.)  This is useful as it clarifies which Antigua you mean (as there is also Antigua in Guatemala).  It's generally more common to specify the country name.
"
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"Ich bin Australier. (male)
Ich bin Australierin. (female)
"
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"Ich bin Österreicher/in.

(Österreicher if you are male, Österreicherin if you are female)
"
