name,it_m,it_f,it_n,it_sent
Afghanistan,afghano,afghana,,"{'m': 'Sono afghano.', 'f': 'Sono afghana.', 'n': None}"
Albania,,,albanese,"{'m': None, 'f': None, 'n': 'Sono albanese.'}"
Algeria,algerino,algerina,,"{'m': 'Sono algerino.', 'f': 'Sono algerina.', 'n': None}"
Andorra,andorrano,andorrana,,"{'m': 'Sono andorrano.', 'f': 'Sono andorrana.', 'n': None}"
Angola,angolano,angolana,,"{'m': 'Sono angolano.', 'f': 'Sono angolana.', 'n': None}"
Antigua & Barbuda,antiguano,antiguana,,"{'m': 'Sono antiguano.', 'f': 'Sono antiguana.', 'n': None}"
Argentina,argentino,argentina,,"{'m': 'Sono argentino.', 'f': 'Sono argentina.', 'n': None}"
Armenia,armeno,armena,,"{'m': 'Sono armeno.', 'f': 'Sono armena.', 'n': None}"
Australia,australiano,australiana,,"{'m': 'Sono australiano.', 'f': 'Sono australiana.', 'n': None}"
Austria,austriaco,austriaca,,"{'m': 'Sono austriaco.', 'f': 'Sono austriaca.', 'n': None}"
Azerbaijan,azero,azera,,"{'m': 'Sono azero.', 'f': 'Sono azera.', 'n': None}"
Bahamas,,,bahamense,"{'m': None, 'f': None, 'n': 'Sono bahamense.'}"
Bahrain,,,bahreinita,"{'m': None, 'f': None, 'n': 'Sono bahreinita.'}"
Bangladesh,,,bangladese,"{'m': None, 'f': None, 'n': 'Sono bangladese.'}"
Barbados,barbadiano,barbadiana,,"{'m': 'Sono barbadiano.', 'f': 'Sono barbadiana.', 'n': None}"
Belarus,bielorusso,bielorussa,,"{'m': 'Sono bielorusso.', 'f': 'Sono bielorussa.', 'n': None}"
Belgium,,,belga,"{'m': None, 'f': None, 'n': 'Sono belga.'}"
Belize,beliziano,beliziana,,"{'m': 'Sono beliziano.', 'f': 'Sono beliziana.', 'n': None}"
Benin,,,beninese,"{'m': None, 'f': None, 'n': 'Sono beninese.'}"
Bhutan,,,bhutanese,"{'m': None, 'f': None, 'n': 'Sono bhutanese.'}"
Cambodia,cambogiano,cambogiana,,"{'m': 'Sono cambogiano.', 'f': 'Sono cambogiana.', 'n': None}"
Cameroon,,,camerunese,"{'m': None, 'f': None, 'n': 'Sono camerunese.'}"
Canada,,,canadese,"{'m': None, 'f': None, 'n': 'Sono canadese.'}"
Cape Verde,capoverdiano,capoverdiana,,"{'m': 'Sono capoverdiano.', 'f': 'Sono capoverdiana.', 'n': None}"
Central African Republic,centrafricano,centrafricana,,"{'m': 'Sono centrafricano.', 'f': 'Sono centrafricana.', 'n': None}"
Chad,ciadiano,ciadiana,,"{'m': 'Sono ciadiano.', 'f': 'Sono ciadiana.', 'n': None}"
Chile,cileno,cilena,,"{'m': 'Sono cileno.', 'f': 'Sono cilena.', 'n': None}"
China,,,cinese,"{'m': None, 'f': None, 'n': 'Sono cinese.'}"
