No,Languages
1,Abkhaz
2,Acehnese
3,Acholi
4,Afar
5,Afrikaans
6,Albanian
7,Alur
8,Amharic
9,Arabic
10,Armenian
11,Assamese
12,Avar
13,Awadhi
14,Aymara
15,Azerbaijani
16,Balinese
17,Baluchi
18,Bambara
19,Baoulé
20,Bashkir
21,Basque
22,Batak Karo
23,Batak Simalungun
24,Batak Toba
25,Belarusian
26,Bemba
27,Bengali
28,Betawi
29,Bhojpuri
30,Bikol
31,Bosnian
32,Breton
33,Bulgarian
34,Buryat
35,Cantonese
36,Catalan
37,Cebuano
38,Chamorro
39,Chechen
40,Chichewa
41,Chinese (Simplified)
42,Chinese (Traditional)
43,Chuukese
44,Chuvash
45,Corsican
46,Crimean Tatar
47,Croatian
48,Czech
49,Danish
50,Dari
51,Dhivehi
52,Dinka
53,Dogri
54,Dombe
55,Dutch
56,Dyula
57,Dzongkha
58,English
59,Esperanto
60,Estonian
61,Ewe
62,Faroese
63,Fijian
64,Filipino
65,Finnish
66,Fon
67,French
68,Frisian
69,Friulian
70,Fulani
71,Ga
72,Galician
73,Georgian
74,German
75,Greek
76,Guarani
77,Gujarati
78,Haitian Creole
79,Hakha Chin
80,Hausa
81,Hawaiian
82,Hebrew
83,Hiligaynon
84,Hindi
85,Hmong
86,Hungarian
87,Hunsrik
88,Iban
89,Icelandic
90,Igbo
91,Ilocano
92,Indonesian
93,Irish
94,Italian
95,Jamaican Patois
96,Japanese
97,Javanese
98,Jingpo
99,Kalaallisut
100,Kannada
101,Kanuri
102,Kapampangan
103,Kazakh
104,Khasi
105,Khmer
106,Kiga
107,Kikongo
108,Kinyarwanda
109,Kituba
110,Kokborok
111,Komi
112,Konkani
113,Korean
114,Krio
115,Kurdish (Kurmanji)
116,Kurdish (Sorani)
117,Kyrgyz
118,Lao
119,Latgalian
120,Latin
121,Latvian
122,Ligurian
123,Limburgish
124,Lingala
125,Lithuanian
126,Lombard
127,Luganda
128,Luo
129,Luxembourgish
130,Macedonian
131,Madurese
132,Maithili
133,Makassar
134,Malagasy
135,Malay
136,Malay (Jawi)
137,Malayalam
138,Maltese
139,Mam
140,Manx
141,Maori
142,Marathi
143,Marshallese
144,Marwadi
145,Mauritian Creole
146,Meadow Mari
147,Meiteilon (Manipuri)
148,Minang
149,Mizo
150,Mongolian
151,Myanmar (Burmese)
152,Nahuatl (Eastern Huasteca)
153,Ndau
154,Ndebele (South)
155,Nepalbhasa (Newari)
156,Nepali
157,NKo
158,Norwegian
159,Nuer
160,Occitan
161,Odia (Oriya)
162,Oromo
163,Ossetian
164,Pangasinan
165,Papiamento
166,Pashto
167,Persian
168,Polish
169,Portuguese (Brazil)
170,Portuguese (Portugal)
171,Punjabi (Gurmukhi)
172,Punjabi (Shahmukhi)
173,Quechua
174,Qʼeqchiʼ
175,Romani
176,Romanian
177,Rundi
178,Russian
179,Sami (North)
180,Samoan
181,Sango
182,Sanskrit
183,Santali
184,Scots Gaelic
185,Sepedi
186,Serbian
187,Sesotho
188,Seychellois Creole
189,Shan
190,Shona
191,Sicilian
192,Silesian
193,Sindhi
194,Sinhala
195,Slovak
196,Slovenian
197,Somali
198,Spanish
199,Sundanese
200,Susu
201,Swahili
202,Swati
203,Swedish
204,Tahitian
205,Tajik
206,Tamazight
207,Tamazight (Tifinagh)
208,Tamil
209,Tatar
210,Telugu
211,Tetum
212,Thai
213,Tibetan
214,Tigrinya
215,Tiv
216,Tok Pisin
217,Tongan
218,Tsonga
219,Tswana
220,Tulu
221,Tumbuka
222,Turkish
223,Turkmen
224,Tuvan
225,Twi
226,Udmurt
227,Ukrainian
228,Urdu
229,Uyghur
230,Uzbek
231,Venda
232,Venetian
233,Vietnamese
234,Waray
235,Welsh
236,Wolof
237,Xhosa
238,Yakut
239,Yiddish
240,Yoruba
241,Yucatec Maya
242,Zapotec
243,Zulu
