eng,spa_m,spa_f,spa_n,extracted
I am Afghan.,Soy afgano.,Soy afgana.,,"['Soy afgano.', 'Soy afgana.']"
I am Angolan.,Soy angoleño.,Soy angoleña.,,"['Soy angoleño', 'Soy angoleña']"
I am Albanian.,Soy albanés.,Soy albanésa.,,"['Soy albanés.', 'Soy albanesa']"
I am Andorran.,Soy andorrano.,Soy andorrana.,,"['Soy andorrano.', 'Soy andorrana.']"
I am Emirati.,,,Soy emiratí.,['Soy emiratí']
I am Argentine.,Soy argentino.,Soy argentina.,,"['Soy argentino', 'Soy argentina']"
I am Armenian.,Soy armenio.,Soy armenia.,,"['Soy armenio.', 'Soy armenia.']"
I am Antiguan.,Soy antiguano.,Soy antiguana.,,"['Soy antiguano', 'Soy antiguana']"
I am Australian.,Soy australiano.,Soy australiana.,,"['Soy australiano', 'Soy australiana']"
I am Austrian.,Soy austriaco.,Soy austriaca.,,"['Soy austriaco', 'Soy austriaca']"
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"['Soy azerbaiyano', 'Soy azerbaiyana']"
I am Burundian.,Soy burundés.,Soy burundésa.,,['Soy burundés.']
I am Belgian.,,,Soy belga.,['Soy belga.']
I am Beninese.,Soy beninés.,Soy beninésa.,,['Soy beninés.']
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,['Soy burkinabé.']
I am Bangladeshi.,,,Soy bangladesí.,['Soy bangladesí']
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"['Soy búlgaro.', 'Soy búlgara.']"
I am Bahraini.,,,Soy bareiní.,['Soy bahreiní']
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"['Soy bahameño', 'Soy bahameña']"
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"['Soy bosnio', 'Soy bosnia']"
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"['Soy bielorruso', 'Soy bielorrusa']"
I am Belizean.,Soy beliceño.,Soy beliceña.,,"['Soy beliceño', 'Soy beliceña']"
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"['Soy boliviano', 'Soy boliviana']"
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"['Soy brasileño.', 'Soy brasileña.']"
I am Barbadian.,,,Soy barbadense.,['Soy barbadense.']
I am Bruneian.,Soy bruneano.,Soy bruneana.,,['Soy de Brunéi']
I am Bhutanese.,Soy butanés.,Soy butanésa.,,['Soy de Bután.']
I am Motswana.,Soy botsuano.,Soy botsuana.,,['Soy Motswana']
I am Central African.,Soy centroafricano.,Soy centroafricana.,,"['Soy centroafricano', 'Soy centroafricana']"
I am Canadian.,,,Soy canadiense.,['Soy canadiense.']
I am Swiss.,Soy suizo.,Soy suiza.,,['Soy suizo.']
I am Chilean.,Soy chileno.,Soy chilena.,,"['Soy chileno', 'Soy chilena']"
I am Chinese.,Soy chino.,Soy china.,,"['Soy chino', 'Soy china']"
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,"['Soy marfileño.', 'Soy marfileña.']"
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,['Soy camerunés.']
I am Congolese.,Soy congoleño.,Soy congoleña.,,"['Soy congoleño', 'Soy congoleña']"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"['Soy congoleño.', 'Soy congoleña.']"
I am Colombian.,Soy colombiano.,Soy colombiana.,,"['Soy colombiano', 'Soy colombiana']"
I am Comoran.,,,Soy comorense.,['Soy comorense.']
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,"['Soy caboverdiano', 'Soy caboverdiana']"
I am Costa Rican.,,,Soy costarricense.,['Soy costarricense.']
I am Cuban.,Soy cubano.,Soy cubana.,,['Soy cubano.']
I am Cypriot.,,,Soy chipriota.,['Soy chipriota.']
I am Czech.,Soy checo.,Soy checa.,,"['Soy checo', 'Soy checa']"
I am German.,Soy alemán.,,,"['Soy alemán.', 'Soy a']"
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,['Soy de Yibuti']
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"['Soy dominicano', 'Soy dominicana']"
I am Danish.,Soy danés.,Soy danésa.,,['Soy danés.']
I am Dominican.,Soy dominicano.,Soy dominicana.,,"['Soy dominicano', 'Soy dominicana']"
I am Algerian.,Soy argelino.,Soy argelina.,,"['Soy argelino.', 'Soy argelina.']"
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,"['Soy ecuatoriano.', 'Soy ecuatoriana.']"
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"['Soy egipcio.', 'Soy egipcia.']"
I am Eritrean.,Soy eritreo.,Soy eritra.,,"['Soy eritreo.', 'Soy eritrea.']"
I am Spanish.,Soy español.,,,"['Soy español.', 'Soy a']"
I am Estonian.,Soy estonio.,Soy estona.,,"['Soy estonio', 'Soy estonia']"
I am Ethiopian.,,,Soy etíope.,['Soy etíope.']
I am Finnish.,Soy finlandés.,Soy finlandésa.,,['Soy finlandés.']
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,"['Soy fiyiano', 'Soy fiyiana']"
I am French.,Soy francés.,Soy francésa.,,['Soy francés.']
