eng,deu_m,deu_f,deu_n,output
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"Ich bin Afghane. (for a male)  
Ich bin Afghanin. (for a female)"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,Ich bin Angolaner.
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,Ich bin Albaner.
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,Ich bin Andorraner.
I am Emirati.,,,,Ich bin Emirati.
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,Ich bin Argentinier (for male) or Ich bin Argentinierin (for female).
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"Sure, the translation of ""I am Armenian"" into German is: ""Ich bin Armenier."" (for a male) or ""Ich bin Armenierin."" (for a female)."
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,Ich bin Antiguaner.
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"Sure! The translation of ""I am Australian"" into German is: ""Ich bin Australier."" (if you are male) or ""Ich bin Australierin."" (if you are female)."
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"Sure! The translation of ""I am Austrian"" into German is ""Ich bin Österreicher"" (if you are male) or ""Ich bin Österreicherin"" (if you are female)."
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,Ich bin Aserbaidschaner.
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,Ich bin Burundier.
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,Ich bin Belgier (if male) or Ich bin Belgierin (if female).
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,Ich bin Beniner.
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"""Ich bin Burkinabé."""
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"Sure, the translation of ""I am Bangladeshi"" into German is ""Ich bin Bangladescher"" (if you are male) or ""Ich bin Bangladescherin"" (if you are female)."
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"Ich bin Bulgare. (for a male)  
Ich bin Bulgarin. (for a female)"
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,Ich bin Bahrainer.
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"Sure, the translation of ""I am Bahamian"" into German is ""Ich bin Bahamaer."""
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,Ich bin Bosnier.
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"Ich bin Weißrusse. (for male)  
Ich bin Weißrussin. (for female)"
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,Ich bin Belizeaner(in).
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,I am Bolivian. - Ich bin Bolivianer.
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"Sure! The translation of ""I am Brazilian"" into German is ""Ich bin Brasilianer"" if you are male, or ""Ich bin Brasilianerin"" if you are female."
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,Ich bin Barbadier.
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,Ich bin Bruneier.
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,Ich bin Bhutaner.
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,Ich bin Motswana.
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,Ich bin Zentralafrikaner.
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"Sure! The translation of ""I am Canadian"" into German is ""Ich bin Kanadier"" if you are male, or ""Ich bin Kanadierin"" if you are female."
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"Sure, the translation of ""I am Swiss"" into German is ""Ich bin Schweizer"" if you are male, or ""Ich bin Schweizerin"" if you are female."
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,Ich bin Chilene (for males) or Ich bin Chilenin (for females).
