eng,it_m,it_f,it_n,output
I am Afghan.,Sono afghano.,Sono afghana.,,"Sure! The translation of ""I am Afghan"" into Italian is ""Sono afghano/a"" depending on the gender of the speaker."
I am Angolan.,Sono angolano.,Sono angolana.,,"Sure! The translation of ""I am Angolan"" into Italian is ""Sono angolano/a"" depending on the gender of the speaker."
I am Albanian.,,,Sono albanese.,"Sure! The translation of ""I am Albanian"" into Italian is ""Sono albanese""."
I am Andorran.,Sono andorrano.,Sono andorrana.,,"Sure! The translation of ""I am Andorran"" into Italian is ""Io sono andorrano."""
I am Emirati.,Sono emiratino.,Sono emiratina.,,"Sure! The translation of ""I am Emirati"" into Italian is ""Io sono emiratino/a""."
I am Argentine.,Sono argentino.,Sono argentina.,,"Sure! The translation of ""I am Argentine"" into Italian is ""Sono argentino/a"" depending on the gender of the speaker."
I am Armenian.,Sono armeno.,Sono armena.,,"Sure! The translation of ""I am Armenian"" into Italian is ""Sono armeno/a""."
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"Sure! The translation of ""I am Antiguan"" into Italian is ""Io sono antiguo""."
I am Australian.,Sono australiano.,Sono australiana.,,"Sure! The translation of ""I am Australian"" in Italian is ""Sono australiano/a""."
I am Austrian.,Sono austriaco.,Sono austriaca.,,"Sure! The translation of ""I am Austrian"" into Italian is ""Sono austriaco/a""."
I am Azerbaijani.,Sono azero.,Sono azera.,,"Sure! The translation of ""I am Azerbaijani"" into Italian is ""Sono azero""."
I am Burundian.,,,Sono burundese.,"Sure! The translation of ""I am Burundian"" into Italian is ""Sono burundese."""
I am Belgian.,,,Sono belga.,"Sure! The translation of ""I am Belgian"" into Italian is ""Sono belga."""
I am Beninese.,,,Sono beninese.,"Sure! The translation of ""I am Beninese"" into Italian is ""Io sono beninese""."
I am Burkinabe.,,,,"Sure! The translation of ""I am Burkinabe"" into Italian is ""Io sono burkinabé""."
I am Bangladeshi.,,,Sono bangladese.,"Sure! The translation of ""I am Bangladeshi"" into Italian is ""Sono bangladese."""
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"Sure! The translation of ""I am Bulgarian"" into Italian is ""Sono bulgaro/a"" depending on the gender of the speaker."
I am Bahraini.,,,Sono bahreinita.,"Sure! The translation of ""I am Bahraini"" into Italian is ""Sono bahrainiano/a""."
I am Bahamian.,,,Sono bahamense.,"Sure! The translation of ""I am Bahamian"" into Italian is ""Sono delle Bahamas""."
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"Certainly! The translation of ""I am Bosnian"" in Italian is ""Sono bosniaco/a""."
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"Sure! The translation of ""I am Belarusian"" into Italian is ""Sono bielorusso/a"" depending on the gender of the speaker."
I am Belizean.,Sono beliziano.,Sono beliziana.,,"Sure! The translation of ""I am Belizean"" into Italian is ""Sono beliziano/a""."
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"Sure! The translation of ""I am Bolivian"" into Italian is ""Sono boliviano/a"" depending on the gender of the speaker."
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"Sure! The translation of ""I am Brazilian"" into Italian is ""Sono brasiliano/a"" depending on the gender of the speaker."
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"Sure! The translation of ""I am Barbadian"" into Italian is ""Sono barbadiano/a."""
I am Bruneian.,,,,"Sure! The translation of ""I am Bruneian"" into Italian is ""Sono bruneiano/a""."
I am Bhutanese.,,,Sono bhutanese.,"Sure! The translation of ""I am Bhutanese"" into Italian is ""Io sono bhutanese""."
I am Motswana.,Sono botswano.,Sono botswana.,,"Sure! The translation of ""I am Motswana"" into Italian is ""Io sono Motswana""."
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"Sure! The translation of ""I am Central African"" into Italian is ""Io sono centroafricano/a."""
I am Canadian.,,,Sono canadese.,"Sure! The translation of ""I am Canadian"" into Italian is ""Sono canadese""."
I am Swiss.,Sono svizzero.,Sono svizzera.,,"Sure! The translation of ""I am Swiss"" into Italian is ""Io sono svizzero"" for a male speaker or ""Io sono svizzera"" for a female speaker."
I am Chilean.,Sono cileno.,Sono cilena.,,"Sure! The translation of ""I am Chilean"" into Italian is ""Sono cileno/a"" depending on the gender of the speaker."
I am Chinese.,,,Sono cinese.,"Sure! The translation of ""I am Chinese"" into Italian is ""Sono cinese""."
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"Sure! The translation of ""I am Ivorian"" into Italian is ""Io sono ivoriano/a""."
I am Cameroonian.,,,Sono camerunese.,"Sure! The translation of ""I am Cameroonian"" into Italian is ""Sono camerunese""."
I am Congolese.,,,Sono congolese.,"Sure! The translation of ""I am Congolese"" into Italian is ""Sono congolese""."
I am Congolese.,,,Sono congolese.,"Sure! The translation of ""I am Congolese"" into Italian is ""Sono congolese""."
I am Colombian.,Sono colombiano.,Sono colombiana.,,"Sure! The translation of ""I am Colombian"" into Italian is ""Sono colombiano/a"" depending on the gender of the speaker."
I am Comoran.,Sono comoriano.,Sono comoriana.,,"Sure! The translation of ""I am Comoran"" into Italian is ""Io sono comoriano."""
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"Sure! The translation of ""I am Cape Verdian"" into Italian is ""Sono capoverdiano/a""."
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"Sure! The translation of ""I am Costa Rican"" into Italian is ""Sono costaricano/a."""
I am Cuban.,Sono cubano.,Sono cubana.,,"Sure! The translation of ""I am Cuban"" into Italian is ""Sono cubano/a"" depending on the gender of the speaker."
I am Cypriot.,,,Sono cipriota.,"Sure! The translation of ""I am Cypriot"" into Italian is ""Sono cipriota""."
I am Czech.,Sono ceco.,Sono ceca.,,"Sure! The translation of ""I am Czech"" into Italian is ""Sono ceco""."
I am German.,Sono tedesco.,Sono tedesca.,,"Sure! The translation of ""I am German"" into Italian is ""Io sono tedesco."""
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,"Sure! The translation of ""I am Djibouti"" into Italian is ""Io sono di Gibuti""."
I am Dominican.,Sono dominicano.,Sono dominicana.,,"Sure! The translation of ""I am Dominican"" into Italian is ""Sono dominicano/a"" depending on the gender of the speaker."
I am Danish.,,,Sono danese.,"Sure! The translation of ""I am Danish"" into Italian is ""Sono danese."""
I am Dominican.,Sono dominicano.,Sono dominicana.,,"Sure! The translation of ""I am Dominican"" into Italian is ""Sono dominicano/a"" depending on the gender of the speaker."
I am Algerian.,Sono algerino.,Sono algerina.,,"Sure! The translation of ""I am Algerian"" into Italian is ""Sono algerino/a""."
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"Sure! The translation of ""I am Ecuadorean"" into Italian is ""Io sono ecuadoriano."""
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"Sure! The translation of ""I am Egyptian"" into Italian is ""Sono egiziano/a"" depending on the gender of the speaker."
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"Sure! The translation of ""I am Eritrean"" into Italian is ""Io sono eritreo."""
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"Sure! The translation of ""I am Spanish"" into Italian is ""Sono spagnolo/a"" depending on the gender of the speaker."
I am Estonian.,,,Sono estone.,"Sure! The translation of ""I am Estonian"" into Italian is ""Sono estone."""
I am Ethiopian.,,,Sono etiope.,"Sure! The translation of ""I am Ethiopian"" into Italian is ""Sono etiope""."
I am Finnish.,,,Sono finlandese.,"Sure! The translation of ""I am Finnish"" into Italian is ""Io sono finlandese""."
I am Fijian.,Sono figiano.,Sono figiana.,,"Sure! The translation of ""I am Fijian"" into Italian is ""Sono figiano."""
I am French.,,,Sono francese.,"Sure! The translation of ""I am French"" into Italian is ""Sono francese."""
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"Sure! The translation of ""I am Micronesian"" into Italian is ""Io sono micronesian."""
I am Gabonese.,,,Sono gabonese.,"Sure! The translation of ""I am Gabonese"" into Italian is ""Io sono gabonese."""
I am British.,Sono britannico.,Sono britannica.,,"Sure! The translation of ""I am British"" into Italian is ""Sono britannico"" for a male speaker or ""Sono britannica"" for a female speaker."
I am Georgian.,Sono georgiano.,Sono georgiana.,,"Sure! The translation of ""I am Georgian"" into Italian is ""Sono georgiano/a"" depending on the gender of the speaker."
I am Ghanaian.,,,Sono ghanese.,"Sure! The translation of ""I am Ghanaian"" into Italian is ""Sono ghanese""."
I am Guinean.,Sono guineano.,Sono guineana.,,"Sure! The translation of ""I am Guinean"" into Italian is ""Io sono guineano."""
I am Gambian.,Sono gambiano.,Sono gambiana.,,"Sure! The translation of ""I am Gambian"" into Italian is ""Sono gambiano."""
I am Guinea-Bissauan.,,,Sono guineense.,"Sure! The translation of ""I am Guinea-Bissauan"" in Italian is ""Sono guineano-bissauiano""."
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"Sure! The translation of ""I am Equatorial Guinean"" into Italian is ""Sono guineano equatoriale""."
I am Greek.,Sono greco.,Sono greca.,,"Sure! The translation of ""I am Greek"" into Italian is ""Sono greco."""
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"Sure! The translation of ""I am Grenadian"" into Italian is ""Io sono grenadino/a""."
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"Sure! The translation of ""I am Guatemalan"" in Italian is ""Sono guatemalteco/a""."
I am Guyanese.,,,Sono guyanese.,"Sure! The translation of ""I am Guyanese"" into Italian is ""Io sono guyanese""."
I am Honduran.,Sono honduregno.,Sono honduregna.,,"Sure! The translation of ""I am Honduran"" into Italian is ""Sono honduregno."""
I am Croatian.,Sono croato.,Sono croata.,,"Sure! The translation of ""I am Croatian"" into Italian is ""Sono croato/a."""
I am Haitian.,Sono haitiano.,Sono haitiana.,,"Sure! The translation of ""I am Haitian"" into Italian is ""Sono haitiano/a""."
I am Hungarian.,,,Sono ungherese.,"Sure! The translation of ""I am Hungarian"" into Italian is ""Sono ungherese""."
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"Sure! The translation of ""I am Indonesian"" into Italian is ""Sono indonesiano/a""."
I am Indian.,Sono indiano.,Sono indiana.,,"Sure! The translation of ""I am Indian"" into Italian is ""Sono indiano."""
