eng,spa_m,spa_f,spa_n,extracted,is_m,is_f,is_n
I am Afghan.,Soy afgano.,Soy afgana.,,"['Soy afgano.', 'Soy afgana.']",True,True,False
I am Angolan.,Soy angoleño.,Soy angoleña.,,"['Soy angoleño.', 'Soy angoleña.']",True,True,False
I am Albanian.,Soy albanés.,Soy albanésa.,,"['Soy albanés.', 'Soy albanesa.']",True,False,False
I am Andorran.,Soy andorrano.,Soy andorrana.,,"['Soy andorrano.', 'Soy andorrana.']",True,True,False
I am Emirati.,,,Soy emiratí.,['Soy emiratí.'],False,False,True
I am Argentine.,Soy argentino.,Soy argentina.,,"['Soy argentino.', 'Soy argentina.']",True,True,False
I am Armenian.,Soy armenio.,Soy armenia.,,"['Soy armenio.', 'Soy armenia.']",True,True,False
I am Antiguan.,Soy antiguano.,Soy antiguana.,,"['Soy antiguano.', 'Soy antiguana.']",True,True,False
I am Australian.,Soy australiano.,Soy australiana.,,"['Soy australiano.', 'Soy australiana.']",True,True,False
I am Austrian.,Soy austriaco.,Soy austriaca.,,"['Soy austriaco.', 'Soy austriaca.']",True,True,False
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"['Soy azerbaiyano.', 'Soy azerbaiyana.']",True,True,False
I am Burundian.,Soy burundés.,Soy burundésa.,,['Soy burundés.'],True,False,False
I am Belgian.,,,Soy belga.,['Soy belga.'],False,False,True
I am Beninese.,Soy beninés.,Soy beninésa.,,['Soy beninés.'],True,False,False
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,['Soy burkinabé.'],False,False,False
I am Bangladeshi.,,,Soy bangladesí.,['Soy bangladesí.'],False,False,True
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"['Soy búlgaro.', 'Soy búlgara.']",True,True,False
I am Bahraini.,,,Soy bareiní.,['Soy bahreiní.'],False,False,False
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"['Soy bahameño.', 'Soy bahameña.']",True,True,False
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"['Soy bosnio.', 'Soy bosnia.']",False,False,False
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"['Soy bielorruso.', 'Soy bielorrusa.']",True,True,False
I am Belizean.,Soy beliceño.,Soy beliceña.,,"['Soy beliceño.', 'Soy beliceña.']",True,True,False
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"['Soy boliviano.', 'Soy boliviana.']",True,True,False
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"['Soy brasileño.', 'Soy brasileña.']",True,True,False
I am Barbadian.,,,Soy barbadense.,['Soy barbadense.'],False,False,True
I am Bruneian.,Soy bruneano.,Soy bruneana.,,['Soy de Brunéi.'],False,False,False
I am Bhutanese.,Soy butanés.,Soy butanésa.,,['Soy de Bután.'],False,False,False
I am Motswana.,Soy botsuano.,Soy botsuana.,,['Soy Motswana.'],False,False,False
I am Central African.,Soy centroafricano.,Soy centroafricana.,,"['Soy centroafricano.', 'Soy centroafricana.']",True,True,False
I am Canadian.,,,Soy canadiense.,['Soy canadiense.'],False,False,True
I am Swiss.,Soy suizo.,Soy suiza.,,['Soy suizo.'],True,False,False
I am Chilean.,Soy chileno.,Soy chilena.,,"['Soy chileno.', 'Soy chilena.']",True,True,False
I am Chinese.,Soy chino.,Soy china.,,"['Soy chino.', 'Soy china.']",True,True,False
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,"['Soy marfileño.', 'Soy marfileña.']",False,False,False
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,['Soy camerunés.'],True,False,False
