eng,it_m,it_f,it_n,output
I am Afghan.,Sono afghano.,Sono afghana.,,"Sure, the translation of ""I am Afghan"" into Italian is ""Sono afghano"" if you are male, or ""Sono afghana"" if you are female."
I am Angolan.,Sono angolano.,Sono angolana.,,"Sure, the translation of ""I am Angolan"" into Italian is ""Sono angolano"" if you are male, or ""Sono angolana"" if you are female."
I am Albanian.,,,Sono albanese.,"Sure! The translation of ""I am Albanian"" into Italian is ""Sono albanese."""
I am Andorran.,Sono andorrano.,Sono andorrana.,,"Sure! The translation of ""I am Andorran"" into Italian is ""Sono andorrano."""
I am Emirati.,Sono emiratino.,Sono emiratina.,,"Sure! The translation of ""I am Emirati"" into Italian is ""Sono emiratino."""
I am Argentine.,Sono argentino.,Sono argentina.,,"Sure! The translation of ""I am Argentine"" into Italian is ""Sono argentino"" if you are male, or ""Sono argentina"" if you are female."
I am Armenian.,Sono armeno.,Sono armena.,,"Sure! The translation of ""I am Armenian"" into Italian is ""Sono armeno"" if you are male and ""Sono armena"" if you are female."
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"Sure! The translation of ""I am Antiguan"" into Italian is ""Sono antiguo."""
I am Australian.,Sono australiano.,Sono australiana.,,"Sure! The translation of ""I am Australian"" into Italian is ""Sono australiano."" If you are female, you would say ""Sono australiana."""
I am Austrian.,Sono austriaco.,Sono austriaca.,,"Certainly! The translation of ""I am Austrian"" into Italian is ""Sono austriaco"" if you are male, or ""Sono austriaca"" if you are female."
I am Azerbaijani.,Sono azero.,Sono azera.,,"Sure! The translation of ""I am Azerbaijani"" into Italian is ""Sono azero."""
I am Burundian.,,,Sono burundese.,"Sure, the translation of ""I am Burundian"" into Italian is ""Sono burundese."""
I am Belgian.,,,Sono belga.,"Sure, the translation of ""I am Belgian"" into Italian is ""Sono belga."""
I am Beninese.,,,Sono beninese.,"Sure, the translation of ""I am Beninese"" into Italian is ""Sono beninese."""
I am Burkinabe.,,,,"Sure, the translation of ""I am Burkinabe"" into Italian is ""Sono burkinabé."""
I am Bangladeshi.,,,Sono bangladese.,"Sure, the translation of ""I am Bangladeshi"" into Italian is ""Sono bengalese."""
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"Certainly! The translation of ""I am Bulgarian"" into Italian is: ""Sono bulgaro"" (if you are male) or ""Sono bulgara"" (if you are female)."
I am Bahraini.,,,Sono bahreinita.,"Sure, the translation of ""I am Bahraini"" into Italian is ""Sono bahreinita."""
I am Bahamian.,,,Sono bahamense.,"Sure! The translation of ""I am Bahamian"" into Italian is ""Sono bahamense."""
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"Sure, the translation of ""I am Bosnian"" into Italian is ""Sono bosniaco"" if you are male, or ""Sono bosniaca"" if you are female."
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"Sure, the translation of ""I am Belarusian"" into Italian is ""Sono bielorusso"" if you are male, or ""Sono bielorussa"" if you are female."
