eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"[TextBlock(text='In French, ""I am Afghan"" would be:\n\n""Je suis Afghan."" (for a male)\n""Je suis Afghane."" (for a female)', type='text')]"
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Angolais. (if you're a male)\nJe suis Angolaise. (if you're a female)"", type='text')]"
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"[TextBlock(text='Here\'s the translation:\n\n""Je suis albanais."" (if you\'re male)\n""Je suis albanaise."" (if you\'re female)', type='text')]"
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"[TextBlock(text=""Here's the translation:\n\nJe suis Andorran. (masculine)\nJe suis Andorrane. (feminine)\n\nNote: The gender of the adjective changes depending on whether you are male or female."", type='text')]"
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"[TextBlock(text='In French, ""I am Emirati"" would be:\n\n""Je suis Émirati"" (for a male)\nor\n""Je suis Émiratie"" (for a female)', type='text')]"
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"[TextBlock(text=""Here's the translation:\n\nJe suis argentin. (if you're male)\nJe suis argentine. (if you're female)\n\nNote: The adjective changes depending on the gender of the speaker."", type='text')]"
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis arménien. (if you're male)\nJe suis arménienne. (if you're female)"", type='text')]"
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,"[TextBlock(text='Here\'s the translation:\n\nJe suis Antiguéen(ne).\n\nNote: \n- ""Je suis"" means ""I am""\n- ""Antiguéen"" is the masculine form\n- ""Antiguéenne"" is the feminine form', type='text')]"
I am Australian.,Je suis Australien.,Je suis Australienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis australien. (if you're male)\nJe suis australienne. (if you're female)"", type='text')]"
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"[TextBlock(text=""Here's the translation:\n\nJe suis autrichien. (if you're male)\nJe suis autrichienne. (if you're female)"", type='text')]"
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"[TextBlock(text=""Here's the translation:\n\nJe suis azerbaïdjanais. (if you're male)\nJe suis azerbaïdjanaise. (if you're female)"", type='text')]"
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"[TextBlock(text='In French, ""I am Burundian"" would be:\n\n""Je suis Burundais."" (if you are male)\n""Je suis Burundaise."" (if you are female)', type='text')]"
I am Belgian.,Je suis Belge.,Je suis Belge.,,"[TextBlock(text=""Here's the translation:\n\nJe suis belge."", type='text')]"
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"[TextBlock(text='In French, ""I am Beninese"" would be:\n\n""Je suis Béninois."" (if you are male)\n""Je suis Béninoise."" (if you are female)', type='text')]"
