eng,spa_m,spa_f,spa_n,output
I am Afghan.,Soy afgano.,Soy afgana.,,"The translation of ""I am Afghan"" into Spanish is ""Soy afgano"" if you are male, or ""Soy afgana"" if you are female."
I am Angolan.,Soy angoleño.,Soy angoleña.,,"The translation of ""I am Angolan"" into Spanish is ""Soy angoleño"" if you are male, or ""Soy angoleña"" if you are female."
I am Albanian.,Soy albanés.,Soy albanésa.,,"Sure! The translation of ""I am Albanian"" into Spanish is ""Soy albanés"" if you are male, or ""Soy albanesa"" if you are female."
I am Andorran.,Soy andorrano.,Soy andorrana.,,Soy andorrano.
I am Emirati.,,,Soy emiratí.,"The translation of ""I am Emirati"" into Spanish is ""Soy emiratí."""
I am Argentine.,Soy argentino.,Soy argentina.,,"The translation of ""I am Argentine"" into Spanish is ""Soy argentino"" if you are male, or ""Soy argentina"" if you are female."
I am Armenian.,Soy armenio.,Soy armenia.,,"The translation of ""I am Armenian"" into Spanish is ""Soy armenio"" if you are male, or ""Soy armenia"" if you are female."
I am Antiguan.,Soy antiguano.,Soy antiguana.,,Soy antiguano.
I am Australian.,Soy australiano.,Soy australiana.,,"Sure! The translation of ""I am Australian"" into Spanish is ""Soy australiano"" if you are male, or ""Soy australiana"" if you are female."
I am Austrian.,Soy austriaco.,Soy austriaca.,,"The translation of ""I am Austrian"" into Spanish is ""Soy austriaco"" if you are male, or ""Soy austriaca"" if you are female."
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"The translation of ""I am Azerbaijani"" into Spanish is ""Soy azerbaiyano"" if you are male, or ""Soy azerbaiyana"" if you are female."
I am Burundian.,Soy burundés.,Soy burundésa.,,"The translation of ""I am Burundian"" into Spanish is ""Soy burundés"" if you are male, or ""Soy burundesa"" if you are female."
I am Belgian.,,,Soy belga.,"The translation of ""I am Belgian"" into Spanish is ""Soy belga."""
I am Beninese.,Soy beninés.,Soy beninésa.,,"Sure! The translation of ""I am Beninese"" into Spanish is ""Soy beninés"" if you are male, or ""Soy beninesa"" if you are female."
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,"Sure! The translation of ""I am Burkinabe"" into Spanish is ""Soy burkinés"" if you are male, or ""Soy burkinesa"" if you are female."
I am Bangladeshi.,,,Soy bangladesí.,"The translation of ""I am Bangladeshi"" into Spanish is ""Soy bangladesí."""
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"The translation of ""I am Bulgarian"" into Spanish is ""Soy búlgaro"" if you are male, or ""Soy búlgara"" if you are female."
I am Bahraini.,,,Soy bareiní.,"The translation of ""I am Bahraini"" into Spanish is ""Soy bareiní."""
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"The translation of ""I am Bahamian"" into Spanish is ""Soy bahameño"" if you are male, or ""Soy bahameña"" if you are female."
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"Sure! The translation of ""I am Bosnian"" into Spanish is ""Soy bosnio"" if you are male, or ""Soy bosnia"" if you are female."
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"The translation of ""I am Belarusian"" into Spanish is ""Soy bielorruso"" if you are male, or ""Soy bielorrusa"" if you are female."
I am Belizean.,Soy beliceño.,Soy beliceña.,,"The translation of ""I am Belizean"" into Spanish is ""Soy beliceño"" if you are male, or ""Soy beliceña"" if you are female."
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"Sure! The translation of ""I am Bolivian"" into Spanish is ""Soy boliviano"" if you are male, or ""Soy boliviana"" if you are female."
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"Sure! The sentence ""I am Brazilian"" can be translated into Spanish as ""Soy brasileño"" if you are male, or ""Soy brasileña"" if you are female."
I am Barbadian.,,,Soy barbadense.,"The translation of ""I am Barbadian"" into Spanish is ""Soy barbadense."""
I am Bruneian.,Soy bruneano.,Soy bruneana.,,"The translation of ""I am Bruneian"" into Spanish is ""Soy de Brunéi."""
I am Bhutanese.,Soy butanés.,Soy butanésa.,,"The translation of ""I am Bhutanese"" into Spanish is ""Soy butanés"" if you are male, or ""Soy butanesa"" if you are female."
I am Motswana.,Soy botsuano.,Soy botsuana.,,"The translation of ""I am Motswana"" into Spanish is ""Soy Motswana."""
I am Central African.,Soy centroafricano.,Soy centroafricana.,,"The translation of ""I am Central African"" into Spanish is ""Soy centroafricano"" if you are male, or ""Soy centroafricana"" if you are female."
I am Canadian.,,,Soy canadiense.,"Sure! The translation of ""I am Canadian"" into Spanish is ""Soy canadiense."""
I am Swiss.,Soy suizo.,Soy suiza.,,"The translation of ""I am Swiss"" into Spanish is ""Soy suizo"" if you are male, or ""Soy suiza"" if you are female."
I am Chilean.,Soy chileno.,Soy chilena.,,"Sure! The sentence ""I am Chilean"" translates to ""Soy chileno"" in Spanish if you are male, or ""Soy chilena"" if you are female."
I am Chinese.,Soy chino.,Soy china.,,"The translation of ""I am Chinese"" into Spanish is ""Soy chino"" if you are male, or ""Soy china"" if you are female."
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,"The translation of ""I am Ivorian"" into Spanish is ""Soy marfileño"" if you are male, or ""Soy marfileña"" if you are female."
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,Soy camerunés.
I am Congolese.,Soy congoleño.,Soy congoleña.,,"The translation of ""I am Congolese"" into Spanish is ""Soy congoleño"" if you are male, or ""Soy congoleña"" if you are female."
I am Congolese.,Soy congoleño.,Soy congoleña.,,"The translation of ""I am Congolese"" into Spanish is ""Soy congoleño"" if you are male, or ""Soy congoleña"" if you are female."
I am Colombian.,Soy colombiano.,Soy colombiana.,,"Sure! The translation of ""I am Colombian"" into Spanish is ""Soy colombiano"" if you are male, or ""Soy colombiana"" if you are female."
I am Comoran.,,,Soy comorense.,"The translation of ""I am Comoran"" into Spanish is ""Soy comorense."""
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,"Certainly! The translation of ""I am Cape Verdian"" into Spanish is ""Soy caboverdiano"" if you are male, or ""Soy caboverdiana"" if you are female."
I am Costa Rican.,,,Soy costarricense.,"The translation of ""I am Costa Rican"" into Spanish is ""Soy costarricense."""
I am Cuban.,Soy cubano.,Soy cubana.,,"Sure! The translation of ""I am Cuban"" into Spanish is ""Soy cubano"" if you are male, or ""Soy cubana"" if you are female."
I am Cypriot.,,,Soy chipriota.,"The translation of ""I am Cypriot"" into Spanish is ""Soy chipriota."""
I am Czech.,Soy checo.,Soy checa.,,"The translation of ""I am Czech"" into Spanish is ""Soy checo"" if you are male, or ""Soy checa"" if you are female."
I am German.,Soy alemán.,,,"The translation of ""I am German"" into Spanish is ""Soy alemán"" if you are male, or ""Soy alemana"" if you are female."
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,"The translation of ""I am Djibouti"" into Spanish is ""Soy Djibouti."""
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"Sure! The translation of ""I am Dominican"" into Spanish is ""Soy dominicano"" if you are male, or ""Soy dominicana"" if you are female."
I am Danish.,Soy danés.,Soy danésa.,,"The translation of ""I am Danish"" into Spanish is ""Soy danés"" if you are male, or ""Soy danesa"" if you are female."
I am Dominican.,Soy dominicano.,Soy dominicana.,,"Sure! The translation of ""I am Dominican"" into Spanish is ""Soy dominicano"" if you are male, or ""Soy dominicana"" if you are female."
I am Algerian.,Soy argelino.,Soy argelina.,,"The translation of ""I am Algerian"" into Spanish is ""Soy argelino"" if you are male, or ""Soy argelina"" if you are female."
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,"Certainly! The translation of ""I am Ecuadorean"" into Spanish is ""Soy ecuatoriano"" if you are male, or ""Soy ecuatoriana"" if you are female."
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"The translation of ""I am Egyptian"" into Spanish is ""Soy egipcio"" if you are male, or ""Soy egipcia"" if you are female."
I am Eritrean.,Soy eritreo.,Soy eritra.,,"The translation of ""I am Eritrean"" into Spanish is ""Soy eritreo"" if you are male, or ""Soy eritrea"" if you are female."
I am Spanish.,Soy español.,,,"The translation of ""I am Spanish"" into Spanish is ""Soy español"" if you are male, or ""Soy española"" if you are female."
I am Estonian.,Soy estonio.,Soy estona.,,"The translation of ""I am Estonian"" into Spanish is ""Soy estonio"" if you are male, or ""Soy estonia"" if you are female."
I am Ethiopian.,,,Soy etíope.,"Sure! The translation of ""I am Ethiopian"" into Spanish is ""Soy etíope."""
I am Finnish.,Soy finlandés.,Soy finlandésa.,,"The translation of ""I am Finnish"" into Spanish is ""Soy finlandés"" if you are male, or ""Soy finlandesa"" if you are female."
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,"The translation of ""I am Fijian"" into Spanish is ""Soy fiyiano"" if you are male, or ""Soy fiyiana"" if you are female."
I am French.,Soy francés.,Soy francésa.,,"Sure! The translation of ""I am French"" into Spanish is ""Soy francés"" if you are male, or ""Soy francesa"" if you are female."
I am Micronesian.,Soy micronesio.,Soy micronesia.,,"The translation of ""I am Micronesian"" into Spanish is ""Soy micronesio"" if you are male, or ""Soy micronesia"" if you are female."
I am Gabonese.,Soy gabonés.,Soy gabonésa.,,"The translation of ""I am Gabonese"" into Spanish is ""Soy gabonés"" if you are male, or ""Soy gabonesa"" if you are female."
I am British.,Soy británico.,Soy británia.,,"The translation of ""I am British"" into Spanish is ""Soy británico"" if you are male, or ""Soy británica"" if you are female."
I am Georgian.,Soy georgiano.,Soy georgiana.,,"The translation of ""I am Georgian"" into Spanish is ""Soy georgiano"" if you are male, or ""Soy georgiana"" if you are female."
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,,"The translation of ""I am Ghanaian"" into Spanish is ""Soy ghanés"" if you are male, or ""Soy ghanesa"" if you are female."
I am Guinean.,Soy guineano.,Soy guineana.,,"The translation of ""I am Guinean"" into Spanish is ""Soy guineano"" if you are male, or ""Soy guineana"" if you are female."
I am Gambian.,Soy gambiano.,Soy gambiana.,,"The translation of ""I am Gambian"" into Spanish is ""Soy gambiano"" if you are male, or ""Soy gambiana"" if you are female."
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.,"The translation of ""I am Guinea-Bissauan"" into Spanish is ""Soy de Guinea-Bisáu."""
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,,"The translation of ""I am Equatorial Guinean"" into Spanish is ""Soy ecuatoguineano"" if you are male, or ""Soy ecuatoguineana"" if you are female."
I am Greek.,Soy griego.,Soy griega.,,"The translation of ""I am Greek"" into Spanish is ""Soy griego"" if you are male, or ""Soy griega"" if you are female."
I am Grenadian.,Soy granadino.,Soy granadina.,,"The translation of ""I am Grenadian"" into Spanish is ""Soy granadino"" if you are male, or ""Soy granadina"" if you are female."
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"The translation of ""I am Guatemalan"" into Spanish is ""Soy guatemalteco"" if you are male, or ""Soy guatemalteca"" if you are female."
I am Guyanese.,Soy guyanés.,Soy guyanésa.,,"The translation of ""I am Guyanese"" into Spanish is ""Soy guyanés"" if you are male, or ""Soy guyanesa"" if you are female."
I am Honduran.,Soy hondureño.,Soy hondureña.,,"Sure! The translation of ""I am Honduran"" into Spanish is ""Soy hondureño"" if you are male, or ""Soy hondureña"" if you are female."
I am Croatian.,,,Soy croata.,"The translation of ""I am Croatian"" into Spanish is ""Soy croata."""
I am Haitian.,Soy haitiano.,Soy haitiana.,,"The translation of ""I am Haitian"" into Spanish is ""Soy haitiano"" if you are male, or ""Soy haitiana"" if you are female."
I am Hungarian.,Soy húngaro.,Soy húngara.,,"The translation of ""I am Hungarian"" into Spanish is ""Soy húngaro"" if you are male, or ""Soy húngara"" if you are female."
I am Indonesian.,Soy indonesio.,Soy indonesia.,,"Sure! The translation of ""I am Indonesian"" into Spanish is ""Soy indonesio"" if you are male, or ""Soy indonesia"" if you are female."
I am Indian.,Soy indio.,Soy india.,,"The translation of ""I am Indian"" into Spanish is ""Soy indio"" if you are male, or ""Soy india"" if you are female."
I am Irish.,Soy irlandés.,Soy irlandésa.,,"The translation of ""I am Irish"" into Spanish is ""Soy irlandés"" if you are male, or ""Soy irlandesa"" if you are female."
