eng,deu_m,deu_f,deu_n,extracted
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,['Ich bin Afghane.']
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,['Ich bin Angolaner.']
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,['Ich bin Albaner.']
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,['Ich bin Andorraner.']
I am Emirati.,,,,['Ich bin Emirati.']
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,['Ich bin Argentinier.']
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,['Ich bin Armenier.']
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,['Ich bin Antiguaner.']
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,['Ich bin Australier.']
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,['Ich bin Österreicher.']
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,['Ich bin Aserbaidschaner.']
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,['Ich bin Burundier']
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,['Ich bin Belgier.']
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,['Ich bin Beniner.']
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,['Ich bin Burkiner.']
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"['Ich bin Bangladescher', 'Ich bin Bangladescherin']"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"['Ich bin Bulgare.', 'Ich bin Bulgarin.']"
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,['Ich bin Bahrainer.']
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"['Ich bin Bahamaer.', 'Ich bin Bahamaerin.']"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"['Ich bin Bosnier.', 'Ich bin Bosnierin.']"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,['Ich bin Weißrussisch.']
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"['Ich bin Belizeaner.', 'Ich bin Belizeanerin.']"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,['Ich bin Bolivianer.']
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,['Ich bin Brasilianer.']
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,['Ich bin Barbadier.']
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,['Ich bin Bruneier.']
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,['Ich bin Bhutaner.']
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,['Ich bin Motswana.']
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,['Ich bin Zentralafrikaner.']
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,['Ich bin Kanadier.']
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,['Ich bin Schweizer.']
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,['Ich bin Chilene.']
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,['Ich bin Chinese.']
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,['Ich bin Ivorer.']
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,['Ich bin Kameruner.']
