eng,deu_m,deu_f,deu_n,output
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Afghane."" (if you\'re male)\n""Ich bin Afghanin."" (if you\'re female)', type='text')]"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Angolaner."" (if you\'re a male)\n""Ich bin Angolanerin."" (if you\'re a female)', type='text')]"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Albaner."" (if you\'re male)\n""Ich bin Albanerin."" (if you\'re female)', type='text')]"
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Andorraner. (if you're male)\nIch bin Andorranerin. (if you're female)"", type='text')]"
I am Emirati.,,,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Emirater."" (if you\'re male)\n""Ich bin Emiratin."" (if you\'re female)', type='text')]"
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Argentinier."" (if you\'re male)\n""Ich bin Argentinierin."" (if you\'re female)', type='text')]"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Armenier."" (if you\'re a male)\n""Ich bin Armenierin."" (if you\'re a female)', type='text')]"
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Antiguaner."" (male)\n""Ich bin Antiguanerin."" (female)', type='text')]"
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Australier. (if you're male)\nIch bin Australierin. (if you're female)"", type='text')]"
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Österreicher. (if you're a male)\nIch bin Österreicherin. (if you're a female)"", type='text')]"
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Aserbaidschaner."" (if you\'re male)\n""Ich bin Aserbaidschanerin."" (if you\'re female)', type='text')]"
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Burundier."" (if you\'re male)\n""Ich bin Burundische."" (if you\'re female)', type='text')]"
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Belgier. (if you're male)\nIch bin Belgierin. (if you're female)\n\nThe most common and neutral version is: Ich bin Belgier."", type='text')]"
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Beniner."" (for a male)\n""Ich bin Beninerin."" (for a female)\n\nNote: ""Beniner"" is the German term for someone from Benin.', type='text')]"
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Burkiner"" or ""Ich bin Burkinabe""\n\nNote: ""Burkiner"" is the German term for someone from Burkina Faso, while ""Burkinabe"" is the original term used in French.', type='text')]"
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Bangladesche"" (if you\'re female)\nor\n""Ich bin Bangladeschi"" (if you\'re male)\n\nThe most common and neutral version would be:\n""Ich bin Bangladeshi""', type='text')]"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Bulgare."" (if you\'re a male)\n""Ich bin Bulgarin."" (if you\'re a female)', type='text')]"
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Bahrainer."" (masculine)\n""Ich bin Bahrainerin."" (feminine)', type='text')]"
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Bahamianer."" (if you\'re male)\n""Ich bin Bahamianerin."" (if you\'re female)', type='text')]"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Bosnier."" (if you\'re male)\n""Ich bin Bosnierin."" (if you\'re female)', type='text')]"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Belarusse."" (if you\'re male)\n""Ich bin Belarussin."" (if you\'re female)', type='text')]"
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Belizer."" (male)\n""Ich bin Belizerin."" (female)\n\nNote: The nationality ""Belizean"" is derived from the country Belize, and in German, nationality terms often have different endings for male and female speakers.', type='text')]"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Bolivianer."" (if you\'re male)\n""Ich bin Bolivianerin."" (if you\'re female)', type='text')]"
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Brasilianer. (if you're a male)\nIch bin Brasilianerin. (if you're a female)"", type='text')]"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Barbadianer."" (male)\n""Ich bin Barbadianerin."" (female)', type='text')]"
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Bruneianer."" (male)\n""Ich bin Bruneierin."" (female)', type='text')]"
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Bhutanese.""\n\nNote: Since ""Bhutanese"" refers to a nationality, in German you might also say:\n\n""Ich bin aus Bhutan"" (I am from Bhutan)', type='text')]"
