eng,deu_m,deu_f,deu_n,extracted
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"['Ich bin Afghanin.', 'Ich bin Afghane.\n\n* **Ich bin Afghanin** is used if the speaker is female.\n* **Ich bin Afghane** is used if the speaker is male.']"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"['Ich bin Angolaner.', 'Ich bin Angolanerin.\n\n* **Angolaner** is used for a male Angolan.\n* **Angolanerin** is used for a female Angolan.']"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"['Ich bin Albaner.', 'Ich bin Albanerin.\n\n* **Ich bin Albaner:**  This is used by a male speaker.\n* **Ich bin Albanerin:** This is used by a female speaker.']"
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"['Ich bin Andorraner.', 'Ich bin Andorranerin.']"
I am Emirati.,,,,['Ich bin Emirati.']
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"['Ich bin Argentinier.\n\n* **Argentinier** is used for a male.\n* **Argentinierin** is used for a female.', 'Ich bin Argentinierin.\n\n* **Argentinier** is used for a male.\n* **Argentinierin** is used for a female.']"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"['Ich bin Armenier.', 'Ich bin Armenierin.']"
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,[]
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"['Ich bin Australier.', 'Ich bin Australierin.']"
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"['Ich bin Österreicher.\n\n* **Österreicher** is used for a male Austrian.\n* **Österreicherin** is used for a female Austrian.', 'Ich bin Österreicherin.\n\n* **Österreicher** is used for a male Austrian.\n* **Österreicherin** is used for a female Austrian.']"
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"['Ich bin Aserbaidschaner.\n\n* **Aserbaidschaner** is used for a male Azerbaijani.\n* **Aserbaidschanerin** is used for a female Azerbaijani.', 'Ich bin Aserbaidschanerin.\n\n* **Aserbaidschaner** is used for a male Azerbaijani.\n* **Aserbaidschanerin** is used for a female Azerbaijani.']"
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,['Ich bin Burundier.']
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"['Ich bin Belgier.', 'Ich bin Belgierin.', 'Ich bin belgisch.']"
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"['Ich bin Beniner.', 'Ich bin Beninerin.']"
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,['Ich bin Burkinabé.']
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"['Ich bin Bangladescher.', 'Ich bin Bangladeschin.\n\n* **Ich bin Bangladescher** is used by men.\n* **Ich bin Bangladeschin** is used by women.']"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,['Ich bin Bulgare. (masculine)\nIch bin Bulgarin. (feminine)']
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"['Ich bin Bahrainer.', 'Ich bin Bahrainerin.']"
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"['The most straightforward translation is: **Ich bin Bahamianer.**  (or, less common but also correct: **Ich bin Bahamainer**)']"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"['Ich bin Bosnier.', 'Ich bin Bosnierin.\n\n* **Ich bin Bosnier** is used for a male speaker.\n* **Ich bin Bosnierin** is used for a female speaker.']"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"['Ich bin Belarussin.', 'Ich bin Belarusse.\n\n* **Ich bin Belarussin** is used by women.\n* **Ich bin Belarusse** is used by men.']"
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"['The most straightforward translation is: **Ich bin Belizeaner.**', '**Ich bin Belizeanerin.**']"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"['Ich bin Bolivianer.\n\n* **Bolivianer** is used for a male Bolivian.\n* **Bolivianerin** is used for a female Bolivian.', 'Ich bin Bolivianerin.\n\n* **Bolivianer** is used for a male Bolivian.\n* **Bolivianerin** is used for a female Bolivian.']"
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"['Ich bin Brasilianer.', 'Ich bin Brasilianerin.\n\n* **Brasilianer** is used for a male Brazilian.\n* **Brasilianerin** is used for a female Brazilian.']"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"['Ich bin Barbadianer.\n\n* **Barbadianer** is used for a male Barbadian.\n* **Barbadianerin** is used for a female Barbadian.  You need to choose the correct one based on your gender.', 'Ich bin Barbadianerin.\n\n* **Barbadianer** is used for a male Barbadian.\n* **Barbadianerin** is used for a female Barbadian.  You need to choose the correct one based on your gender.']"
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"['Ich bin Brunei-Bürger.', 'You could also say:\n\n* Ich bin aus Brunei.', 'The first option is preferred if you want to emphasize your citizenship. The second is suitable for general conversation.  The gendered ending', 'should be chosen to match your gender.', 'Ich bin Brunei-Bürgerin.', 'You could also say:\n\n* Ich bin aus Brunei.', 'The first option is preferred if you want to emphasize your citizenship. The second is suitable for general conversation.  The gendered ending', 'should be chosen to match your gender.']"
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"['Ich bin Bhutaner.\n\n* **Ich bin Bhutaner** is used for a male speaker.\n* **Ich bin Bhutanerin** is used for a female speaker.', 'Ich bin Bhutanerin.\n\n* **Ich bin Bhutaner** is used for a male speaker.\n* **Ich bin Bhutanerin** is used for a female speaker.']"
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,['Ich bin Motswana.']
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,['The most straightforward translation is: **Ich bin zentralafrikanisch.**']
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"['Ich bin Kanadier.', 'Ich bin Kanadierin.', 'Ich bin kanadisch.']"
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"['Ich bin Schweizer.', 'Ich bin Schweizerin.', 'Ich bin Schweizern.']"
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"['Ich bin Chilene.', 'Ich bin Chilener.\n\n* **Ich bin Chilene:** This is used by a female speaker.\n* **Ich bin Chilener:** This is used by a male speaker.']"
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,['Ich bin Chinese.']
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,['Ich bin Ivorer.']
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"['Ich bin Kameruner.', 'Ich bin Kamerunerin.']"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,['Ich bin Kongolese.']
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,['Ich bin Kongolese.']
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"['Ich bin Kolumbianer.', 'Ich bin Kolumbianerin.\n\n* **Kolumbianer** is used for a male speaker.\n* **Kolumbianerin** is used for a female speaker.']"
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,['The most straightforward translation is: **Ich bin Komorer.**']
I am Cape Verdian.,,,,['The most straightforward translation is: **Ich bin kapverdisch.**']
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,['Ich bin costa-ricanisch.']
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"['Ich bin Kubaner.', 'Ich bin Kubanerin.\n\n* **Ich bin Kubaner** is used by men.\n* **Ich bin Kubanerin** is used by women.']"
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"['Ich bin Zyprer.', 'Ich bin Zypriotin.\n\n* **Zyprer** is used for a male Cypriot.\n* **Zypriotin** is used for a female Cypriot.']"
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"['Ich bin Tscheche.', 'Ich bin Tschechin.']"
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,['Ich bin Deutsch.']
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,['Djibouti.']
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"['The most straightforward translation is: **Ich bin Dominikaner.**\n\n* **Dominikaner** is used for a male Dominican.\n* **Dominikanerin** is used for a female Dominican.\n  \nYou would choose the appropriate form based on your gender.', 'The most straightforward translation is: **Ich bin Dominikanerin.**\n\n* **Dominikaner** is used for a male Dominican.\n* **Dominikanerin** is used for a female Dominican.\n  \nYou would choose the appropriate form based on your gender.']"
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,['Ich bin Däne. (masculine)\nIch bin Dänin. (feminine)\n\nYou need to use the masculine or feminine form depending on your gender.']
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"['The most straightforward translation is: **Ich bin Dominikaner.**\n\n* **Dominikaner** is used for a male Dominican.\n* **Dominikanerin** is used for a female Dominican.\n  \nYou would choose the appropriate form based on your gender.', 'The most straightforward translation is: **Ich bin Dominikanerin.**\n\n* **Dominikaner** is used for a male Dominican.\n* **Dominikanerin** is used for a female Dominican.\n  \nYou would choose the appropriate form based on your gender.']"
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"['Ich bin Algerier.', 'Ich bin Algerierin.']"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"['Ich bin Ecuadorianer.\n\n* **Ecuadorianer** is used for a male Ecuadorian.\n* **Ecuadorianerin** is used for a female Ecuadorian.', 'Ich bin Ecuadorianerin.\n\n* **Ecuadorianer** is used for a male Ecuadorian.\n* **Ecuadorianerin** is used for a female Ecuadorian.']"
