eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"The translation of ""I am Afghan"" into French is ""Je suis Afghan"" if you are male, or ""Je suis Afghane"" if you are female."
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"The translation of ""I am Angolan"" into French is ""Je suis Angolais"" if you are male, or ""Je suis Angolaise"" if you are female."
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"The translation of ""I am Albanian"" into French is ""Je suis Albanais"" if you are male, or ""Je suis Albanaise"" if you are female."
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"The translation of ""I am Andorran"" into French is ""Je suis Andorran"" for a male speaker, or ""Je suis Andorrane"" for a female speaker."
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"The translation of ""I am Emirati"" into French is ""Je suis Émirati."""
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"Certainly! The translation of ""I am Argentine"" into French is ""Je suis Argentin"" if you are male, or ""Je suis Argentine"" if you are female."
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"The translation of ""I am Armenian"" into French is ""Je suis arménien"" if you are male, or ""Je suis arménienne"" if you are female."
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,"The translation of ""I am Antiguan"" into French is ""Je suis Antiguais"" if you are male, or ""Je suis Antiguaise"" if you are female."
I am Australian.,Je suis Australien.,Je suis Australienne.,,"The translation of ""I am Australian"" into French is ""Je suis Australien"" if you are male, or ""Je suis Australienne"" if you are female."
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"The translation of ""I am Austrian"" into French is ""Je suis autrichien"" if you are male, or ""Je suis autrichienne"" if you are female."
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"The translation of ""I am Azerbaijani"" into French is ""Je suis Azerbaïdjanais"" if you are male, or ""Je suis Azerbaïdjanaise"" if you are female."
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"The translation of ""I am Burundian"" into French is ""Je suis Burundais"" if you are male, or ""Je suis Burundaise"" if you are female."
I am Belgian.,Je suis Belge.,Je suis Belge.,,"The translation of ""I am Belgian"" into French is ""Je suis belge."""
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"The translation of ""I am Beninese"" into French is ""Je suis béninois"" if you are male, or ""Je suis béninoise"" if you are female."
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"The translation of ""I am Burkinabe"" into French is ""Je suis Burkinabé."""
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"The translation of ""I am Bangladeshi"" into French is ""Je suis Bangladais"" for a male speaker or ""Je suis Bangladaise"" for a female speaker."
