eng,it_m,it_f,it_n,extracted
I am Afghan.,Sono afghano.,Sono afghana.,,"['Sono afghano.', 'Sono afghana.']"
I am Angolan.,Sono angolano.,Sono angolana.,,"['Sono angolano.', 'Sono angolana.']"
I am Albanian.,,,Sono albanese.,['Sono albanese.']
I am Andorran.,Sono andorrano.,Sono andorrana.,,['Io sono andorrano.']
I am Emirati.,Sono emiratino.,Sono emiratina.,,"['Io sono emiratino.', 'Io sono emiratina.']"
I am Argentine.,Sono argentino.,Sono argentina.,,"['Sono argentino.', 'Sono argentina.']"
I am Armenian.,Sono armeno.,Sono armena.,,"['Sono armeno.', 'Sono armena.']"
I am Antiguan.,Sono antiguano.,Sono antiguana.,,['Io sono antiguo.']
I am Australian.,Sono australiano.,Sono australiana.,,"['Sono australiano.', 'Sono australiana.']"
I am Austrian.,Sono austriaco.,Sono austriaca.,,"['Sono austriaco.', 'Sono austriaca.']"
I am Azerbaijani.,Sono azero.,Sono azera.,,['Sono azero.']
I am Burundian.,,,Sono burundese.,['Sono burundese.']
I am Belgian.,,,Sono belga.,['Sono belga.']
I am Beninese.,,,Sono beninese.,['Io sono beninese.']
I am Burkinabe.,,,,['Io sono burkinabé.']
I am Bangladeshi.,,,Sono bangladese.,['Sono bangladese.']
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"['Sono bulgaro.', 'Sono bulgara.']"
I am Bahraini.,,,Sono bahreinita.,"['Sono bahrainiano.', 'Sono bahrainiana.']"
I am Bahamian.,,,Sono bahamense.,['Sono delle Bahamas.']
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"['Sono bosniaco.', 'Sono bosniaca.']"
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"['Sono bielorusso.', 'Sono bielorussa.']"
I am Belizean.,Sono beliziano.,Sono beliziana.,,"['Sono beliziano.', 'Sono beliziana.']"
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"['Sono boliviano.', 'Sono boliviana.']"
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"['Sono brasiliano.', 'Sono brasiliana.']"
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"['Sono barbadiano.', 'Sono barbadiana.']"
I am Bruneian.,,,,"['Sono bruneiano.', 'Sono bruneiana.']"
I am Bhutanese.,,,Sono bhutanese.,['Io sono bhutanese.']
I am Motswana.,Sono botswano.,Sono botswana.,,['Io sono Motswana.']
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"['Io sono centroafricano.', 'Io sono centroafricana.']"
I am Canadian.,,,Sono canadese.,['Sono canadese.']
I am Swiss.,Sono svizzero.,Sono svizzera.,,"['Io sono svizzero.', 'Io sono svizzera.']"
I am Chilean.,Sono cileno.,Sono cilena.,,"['Sono cileno.', 'Sono cilena.']"
I am Chinese.,,,Sono cinese.,['Sono cinese.']
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"['Io sono ivoriano.', 'Io sono ivoriana.']"
I am Cameroonian.,,,Sono camerunese.,['Sono camerunese.']
I am Congolese.,,,Sono congolese.,['Sono congolese.']
I am Congolese.,,,Sono congolese.,['Sono congolese.']
I am Colombian.,Sono colombiano.,Sono colombiana.,,"['Sono colombiano.', 'Sono colombiana.']"
I am Comoran.,Sono comoriano.,Sono comoriana.,,['Io sono comoriano.']
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"['Sono capoverdiano.', 'Sono capoverdiana.']"
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"['Sono costaricano.', 'Sono costaricana.']"
I am Cuban.,Sono cubano.,Sono cubana.,,"['Sono cubano.', 'Sono cubana.']"
I am Cypriot.,,,Sono cipriota.,['Sono cipriota.']
I am Czech.,Sono ceco.,Sono ceca.,,['Sono ceco.']
I am German.,Sono tedesco.,Sono tedesca.,,['Io sono tedesco.']
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,['Io sono di Gibuti.']
I am Dominican.,Sono dominicano.,Sono dominicana.,,"['Sono dominicano.', 'Sono dominicana.']"
I am Danish.,,,Sono danese.,['Sono danese.']
I am Dominican.,Sono dominicano.,Sono dominicana.,,"['Sono dominicano.', 'Sono dominicana.']"
I am Algerian.,Sono algerino.,Sono algerina.,,"['Sono algerino.', 'Sono algerina.']"
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,['Io sono ecuadoriano.']
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"['Sono egiziano.', 'Sono egiziana.']"
I am Eritrean.,Sono eritreo.,Sono eritrea.,,['Io sono eritreo.']
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"['Sono spagnolo.', 'Sono spagnola.']"
I am Estonian.,,,Sono estone.,['Sono estone.']
I am Ethiopian.,,,Sono etiope.,['Sono etiope.']
I am Finnish.,,,Sono finlandese.,['Io sono finlandese.']
I am Fijian.,Sono figiano.,Sono figiana.,,['Sono figiano.']
I am French.,,,Sono francese.,['Sono francese.']
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,['Io sono micronesian.']
I am Gabonese.,,,Sono gabonese.,['Io sono gabonese.']
I am British.,Sono britannico.,Sono britannica.,,"['Sono britannico.', 'Sono britannica.']"
I am Georgian.,Sono georgiano.,Sono georgiana.,,"['Sono georgiano.', 'Sono georgiana.']"
I am Ghanaian.,,,Sono ghanese.,['Sono ghanese.']
I am Guinean.,Sono guineano.,Sono guineana.,,['Io sono guineano.']
I am Gambian.,Sono gambiano.,Sono gambiana.,,['Sono gambiano.']
