name,demonym,sentence
Afghanistan,Afghan,"{'eng': {'m': None, 'f': None, 'n': 'I am Afghan.'}, 'fra': {'m': 'Je suis Afghan.', 'f': 'Je suis Afghane.', 'n': None}, 'spa': {'m': 'Soy afgano.', 'f': 'Soy afgana.', 'n': None}, 'deu': {'m': 'Ich bin Afghane.', 'f': 'Ich bin  Afghanin.', 'n': None}, 'it': {'m': 'Sono afghano.', 'f': 'Sono afghana.', 'n': None}}"
Angola,Angolan,"{'eng': {'m': None, 'f': None, 'n': 'I am Angolan.'}, 'fra': {'m': 'Je suis Angolais.', 'f': 'Je suis Angolaise.', 'n': None}, 'spa': {'m': 'Soy angoleño.', 'f': 'Soy angoleña.', 'n': None}, 'deu': {'m': 'Ich bin Angolaner.', 'f': 'Ich bin  Angolanerin.', 'n': None}, 'it': {'m': 'Sono angolano.', 'f': 'Sono angolana.', 'n': None}}"
Albania,Albanian,"{'eng': {'m': None, 'f': None, 'n': 'I am Albanian.'}, 'fra': {'m': 'Je suis Albanais.', 'f': 'Je suis Albanaise.', 'n': None}, 'spa': {'m': 'Soy albanés.', 'f': 'Soy albanésa.', 'n': None}, 'deu': {'m': 'Ich bin Albaner.', 'f': 'Ich bin  Albanerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono albanese.'}}"
Andorra,Andorran,"{'eng': {'m': None, 'f': None, 'n': 'I am Andorran.'}, 'fra': {'m': 'Je suis Andorran.', 'f': 'Je suis Andorrane.', 'n': None}, 'spa': {'m': 'Soy andorrano.', 'f': 'Soy andorrana.', 'n': None}, 'deu': {'m': 'Ich bin Andorraner.', 'f': 'Ich bin  Andorranerin.', 'n': None}, 'it': {'m': 'Sono andorrano.', 'f': 'Sono andorrana.', 'n': None}}"
United Arab Emirates,Emirati,"{'eng': {'m': None, 'f': None, 'n': 'I am Emirati.'}, 'fra': {'m': 'Je suis Emirien.', 'f': 'Je suis Emirienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy emiratí.'}, 'deu': {'m': None, 'f': None, 'n': None}, 'it': {'m': 'Sono emiratino.', 'f': 'Sono emiratina.', 'n': None}}"
Argentina,Argentine,"{'eng': {'m': None, 'f': None, 'n': 'I am Argentine.'}, 'fra': {'m': 'Je suis Argentin.', 'f': 'Je suis Argentine.', 'n': None}, 'spa': {'m': 'Soy argentino.', 'f': 'Soy argentina.', 'n': None}, 'deu': {'m': 'Ich bin Argentinier.', 'f': 'Ich bin  Argentinierin.', 'n': None}, 'it': {'m': 'Sono argentino.', 'f': 'Sono argentina.', 'n': None}}"
Armenia,Armenian,"{'eng': {'m': None, 'f': None, 'n': 'I am Armenian.'}, 'fra': {'m': 'Je suis Arménien.', 'f': 'Je suis Arménienne.', 'n': None}, 'spa': {'m': 'Soy armenio.', 'f': 'Soy armenia.', 'n': None}, 'deu': {'m': 'Ich bin Armenier.', 'f': 'Ich bin  Armenierin.', 'n': None}, 'it': {'m': 'Sono armeno.', 'f': 'Sono armena.', 'n': None}}"
Antigua and Barbuda,Antiguan,"{'eng': {'m': None, 'f': None, 'n': 'I am Antiguan.'}, 'fra': {'m': 'Je suis Antiguaise.', 'f': 'Je suis Antiguaise.', 'n': None}, 'spa': {'m': 'Soy antiguano.', 'f': 'Soy antiguana.', 'n': None}, 'deu': {'m': 'Ich bin Antiguaner.', 'f': 'Ich bin  Antiguanerin.', 'n': None}, 'it': {'m': 'Sono antiguano.', 'f': 'Sono antiguana.', 'n': None}}"
Australia,Australian,"{'eng': {'m': None, 'f': None, 'n': 'I am Australian.'}, 'fra': {'m': 'Je suis Australien.', 'f': 'Je suis Australienne.', 'n': None}, 'spa': {'m': 'Soy australiano.', 'f': 'Soy australiana.', 'n': None}, 'deu': {'m': 'Ich bin Australier.', 'f': 'Ich bin  Australierin.', 'n': None}, 'it': {'m': 'Sono australiano.', 'f': 'Sono australiana.', 'n': None}}"
Austria,Austrian,"{'eng': {'m': None, 'f': None, 'n': 'I am Austrian.'}, 'fra': {'m': 'Je suis Autrichien.', 'f': 'Je suis Autrichienne.', 'n': None}, 'spa': {'m': 'Soy austriaco.', 'f': 'Soy austriaca.', 'n': None}, 'deu': {'m': 'Ich bin Österreicher.', 'f': 'Ich bin  Österreicherin.', 'n': None}, 'it': {'m': 'Sono austriaco.', 'f': 'Sono austriaca.', 'n': None}}"
