No,Language
1,Afrikaans
2,Albanian
3,Amharic
4,Arabic
5,Armenian
6,Assamese
7,Azerbaijani
8,Basque
9,Belarusian
10,Bengali
11,Bosnian
12,Bulgarian
13,Burmese
14,Catalan
15,Cebuano
16,Chichewa
17,Chinese (Simplified)
18,Chinese (Traditional)
19,Corsican
20,Croatian
21,Czech
22,Danish
23,Dutch
24,English
25,Esperanto
26,Estonian
27,Filipino
28,Finnish
29,French
30,Frisian
31,Galician
32,Georgian
33,German
34,Greek
35,Gujarati
36,Haitian Creole
37,Hausa
38,Hawaiian
39,Hebrew
40,Hindi
41,Hmong
42,Hungarian
43,Icelandic
44,Igbo
45,Indonesian
46,Irish
47,Italian
48,Japanese
49,Javanese
50,Kannada
51,Kazakh
52,Khmer
53,Kinyarwanda
54,Korean
55,Kurdish (Kurmanji)
56,Kyrgyz
57,Lao
58,Latin
59,Latvian
60,Lithuanian
61,Luxembourgish
62,Macedonian
63,Malagasy
64,Malay
65,Malayalam
66,Maltese
67,Maori
68,Marathi
69,Mongolian
70,Nepali
71,Norwegian
72,Odia (Oriya)
73,Pashto
74,Persian
75,Polish
76,Portuguese
77,Punjabi
78,Romanian
79,Russian
80,Samoan
81,Scots Gaelic
82,Serbian
83,Sesotho
84,Shona
85,Sindhi
86,Sinhala
87,Slovak
88,Slovenian
89,Somali
90,Spanish
91,Sundanese
92,Swahili
93,Swedish
94,Tajik
95,Tamil
96,Tatar
97,Telugu
98,Thai
99,Turkish
100,Turkmen
101,Ukrainian
102,Urdu
103,Uyghur
104,Uzbek
105,Vietnamese
106,Welsh
107,Xhosa
108,Yiddish
109,Yoruba
110,Zulu
