eng,spa_m,spa_f,spa_n,output
I am Afghan.,Soy afgano.,Soy afgana.,,"[TextBlock(text='In Spanish, ""I am Afghan"" is translated as:\n\nSoy afgano. (masculine)\nSoy afgana. (feminine)\n\nThe adjective ""afgano/afgana"" agrees with the gender of the speaker. If the speaker is male, use ""afgano,"" and if the speaker is female, use ""afgana.""', type='text')]"
I am Angolan.,Soy angoleño.,Soy angoleña.,,"[TextBlock(text='In Spanish, ""I am Angolan"" is translated as:\n\nSoy angoleño. (masculine)\nSoy angoleña. (feminine)\n\nThe word ""angoleño"" is used when the speaker is male, and ""angoleña"" is used when the speaker is female.', type='text')]"
I am Albanian.,Soy albanés.,Soy albanésa.,,"[TextBlock(text='In Spanish, ""I am Albanian"" is:\n\nSoy albanés. (masculine)\nSoy albanesa. (feminine)\n\nThe word ""albanés"" is used when the speaker is male, while ""albanesa"" is used when the speaker is female.', type='text')]"
I am Andorran.,Soy andorrano.,Soy andorrana.,,"[TextBlock(text='In Spanish, ""I am Andorran"" is:\n\nSoy andorrano. (masculine)\nSoy andorrana. (feminine)\n\nIn Spanish, adjectives of nationality change their ending to match the gender of the person they refer to. So, a man would say ""Soy andorrano,"" while a woman would say ""Soy andorrana.""', type='text')]"
I am Emirati.,,,Soy emiratí.,"[TextBlock(text='In Spanish, ""I am Emirati"" can be translated as:\n\nSoy emiratí. (masculine)\nSoy emiratí. (feminine)\n\nIn Spanish, the word ""emiratí"" is used as both the masculine and feminine form of the adjective and noun referring to someone from the United Arab Emirates (UAE).', type='text')]"
I am Argentine.,Soy argentino.,Soy argentina.,,"[TextBlock(text='In Spanish, ""I am Argentine"" is:\n\nSoy argentino. (masculine)\nSoy argentina. (feminine)\n\nThe adjective ""argentino/argentina"" agrees in gender with the subject. So, if you identify as male, you would say ""Soy argentino,"" and if you identify as female, you would say ""Soy argentina.""', type='text')]"
I am Armenian.,Soy armenio.,Soy armenia.,,"[TextBlock(text='In Spanish, ""I am Armenian"" is translated as:\n\nSoy armenio. (masculine)\nSoy armenia. (feminine)\n\nThe word ""soy"" means ""I am,"" and the adjective ""armenio"" or ""armenia"" agrees with the gender of the speaker.', type='text')]"
I am Antiguan.,Soy antiguano.,Soy antiguana.,,"[TextBlock(text='In Spanish, ""I am Antiguan"" can be translated as:\n\nSoy de Antigua.\n\nor\n\nSoy antigüense.\n\nNote: ""Antigüense"" is the demonym used to refer to people from Antigua and Barbuda.', type='text')]"
I am Australian.,Soy australiano.,Soy australiana.,,"[TextBlock(text='In Spanish, ""I am Australian"" is:\n\nSoy australiano. (masculine)\nSoy australiana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""Soy australiano,"" and if you are a woman, you would say ""Soy australiana.""', type='text')]"
I am Austrian.,Soy austriaco.,Soy austriaca.,,"[TextBlock(text='In Spanish, ""I am Austrian"" is:\n\nSoy austriaco. (masculine)\nSoy austriaca. (feminine)\n\nThe adjective changes depending on whether the speaker is male (austriaco) or female (austriaca).', type='text')]"
