eng,deu_m,deu_f,deu_n,extracted,is_m,is_f,is_n
I am Afghan.,Ich bin Afghane.,Ich bin Afghanin.,,"['Ich bin Afghane.', 'Ich bin Afghanin.']",True,True,False
I am Angolan.,Ich bin Angolaner.,Ich bin Angolanerin.,,['Ich bin Angolaner.'],True,False,False
I am Albanian.,Ich bin Albaner.,Ich bin Albanerin.,,['Ich bin Albaner.'],True,False,False
I am Andorran.,Ich bin Andorraner.,Ich bin Andorranerin.,,['Ich bin Andorraner.'],True,False,False
I am Emirati.,,,,['Ich bin Emirati.'],False,False,False
I am Argentine.,Ich bin Argentinier.,Ich bin Argentinierin.,,"['Ich bin Argentinier.', 'Ich bin Argentinierin.']",True,True,False
I am Armenian.,Ich bin Armenier.,Ich bin Armenierin.,,"['Ich bin Armenier.', 'Ich bin Armenierin.']",True,True,False
I am Antiguan.,Ich bin Antiguaner.,Ich bin Antiguanerin.,,['Ich bin Antiguaner.'],True,False,False
I am Australian.,Ich bin Australier.,Ich bin Australierin.,,"['Ich bin Australier.', 'Ich bin Australierin.']",True,True,False
I am Austrian.,Ich bin Österreicher.,Ich bin Österreicherin.,,"['Ich bin Österreicher.', 'Ich bin Österreicherin.']",True,True,False
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin Aserbaidschanerin.,,['Ich bin Aserbaidschaner.'],True,False,False
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,['Ich bin Burundier.'],True,False,False
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"['Ich bin Belgier.', 'Ich bin Belgierin.']",True,True,False
I am Beninese.,Ich bin Beniner.,Ich bin Beninerin.,,['Ich bin Beniner.'],True,False,False
I am Burkinabe.,Ich bin Burkiner.,Ich bin Burkinerin.,,['Ich bin Burkinabé.'],False,False,False
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin Bangladescherin.,,"['Ich bin Bangladescher.', 'Ich bin Bangladescherin.']",True,True,False
I am Bulgarian.,Ich bin Bulgare.,Ich bin Bulgarin.,,"['Ich bin Bulgare.', 'Ich bin Bulgarin.']",True,True,False
I am Bahraini.,Ich bin Bahrainer.,Ich bin Bahrainerin.,,['Ich bin Bahrainer.'],True,False,False
I am Bahamian.,Ich bin Bahamaer.,Ich bin Bahamaerin.,,['Ich bin Bahamaer.'],True,False,False
I am Bosnian.,Ich bin Bosnier.,Ich bin Bosnierin.,,['Ich bin Bosnier.'],True,False,False
