eng,deu_m,deu_f,deu_n,output
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"[TextBlock(text='In German, ""I am Afghan"" can be translated as:\n\nIch bin Afghane. (masculine)\nIch bin Afghanin. (feminine)\n\nNote that the German language has grammatical gender, so the ending of the noun changes depending on whether the speaker is male or female.', type='text')]"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"[TextBlock(text='In German, ""I am Angolan"" can be translated as:\n\nIch bin Angolaner. (masculine)\nIch bin Angolanerin. (feminine)\n\nNote that the German translation varies based on the gender of the speaker. ""Angolaner"" is used for a male speaker, while ""Angolanerin"" is used for a female speaker.', type='text')]"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Albanian"" is:\n\nIch bin Albaner. (masculine)\nIch bin Albanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Albaner"" is used for a male Albanian, while ""Albanerin"" is used for a female Albanian.', type='text')]"
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"[TextBlock(text='Sure! The German translation of ""I am Andorran"" is:\n\nIch bin Andorraner. (masculine)\nIch bin Andorranerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you are a male, you would say ""Ich bin Andorraner,"" and if you are a female, you would say ""Ich bin Andorranerin.""', type='text')]"
I am Emirati.,,,,"[TextBlock(text='Sure! The German translation of ""I am Emirati"" is:\n\nIch bin Emirater. (masculine)\nIch bin Emiraterin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Emirater"" is used for a male Emirati person, while ""Emiraterin"" is used for a female Emirati person.', type='text')]"
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"[TextBlock(text='Sure! The German translation of ""I am Argentine"" is:\n\nIch bin Argentinier. (masculine)\nIch bin Argentinierin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you are a man, you would say ""Ich bin Argentinier,"" and if you are a woman, you would say ""Ich bin Argentinierin.""', type='text')]"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"[TextBlock(text='Sure! The German translation of ""I am Armenian"" is:\n\nIch bin Armenier. (male)\nIch bin Armenierin. (female)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Armenier"" is used for a male Armenian, while ""Armenierin"" is used for a female Armenian.', type='text')]"
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"[TextBlock(text='The German translation of ""I am Antiguan"" is:\n\nIch bin Antiguaner. (masculine)\nIch bin Antiguanerin. (feminine)\n\nNote that the ending of the word changes depending on the gender of the speaker. If you are a man, you would say ""Ich bin Antiguaner,"" and if you are a woman, you would say ""Ich bin Antiguanerin.""', type='text')]"
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"[TextBlock(text='Sure, the German translation of ""I am Australian"" is:\n\nIch bin Australier. (male)\nIch bin Australierin. (female)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Australier"" is used for a male, while ""Australierin"" is used for a female.', type='text')]"
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"[TextBlock(text='Sure! The German translation of ""I am Austrian"" is:\n\nIch bin Österreicher. (masculine)\nIch bin Österreicherin. (feminine)\n\nIn German, the word for ""Austrian"" changes depending on the gender of the person. ""Österreicher"" is used for a male Austrian, while ""Österreicherin"" is used for a female Austrian.', type='text')]"
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Azerbaijani"" is:\n\nIch bin Aserbaidschaner. (masculine)\nIch bin Aserbaidschanerin. (feminine)\n\nIn German, the noun referring to a person\'s nationality or ethnicity changes based on their gender. ""Aserbaidschaner"" is used for a male Azerbaijani, while ""Aserbaidschanerin"" is used for a female', type='text')]"
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"[TextBlock(text='In German, ""I am Burundian"" can be translated as:\n\nIch bin Burundier. (male)\nIch bin Burundierin. (female)\n\nNote that the German translation has different endings based on the gender of the speaker. ""-er"" is used for males, while ""-in"" is added to the end of the nationality for females.', type='text')]"
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"[TextBlock(text='Sure! The German translation of ""I am Belgian"" is:\n\nIch bin Belgier. (masculine)\nIch bin Belgierin. (feminine)\n\nIn German, the word for ""Belgian"" changes depending on the gender of the person. ""Belgier"" is used for a male, while ""Belgierin"" is used for a female.', type='text')]"
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"[TextBlock(text='The German translation of ""I am Beninese"" is:\n\nIch bin Beniner. (masculine)\nIch bin Beninerin. (feminine)\n\nIn German, the nationality adjective changes depending on the gender of the person. ""Beniner"" is used for a male, while ""Beninerin"" is used for a female.', type='text')]"
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"[TextBlock(text='The German translation of ""I am Burkinabe"" is:\n\nIch bin Burkiner. (male)\nIch bin Burkinerin. (female)\n\nIn German, nationalities and other nouns referring to a person\'s origin or identity often have different forms depending on the person\'s gender. In this case, ""Burkiner"" is the male form, and ""Burkinerin"" is the female form.', type='text')]"
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"[TextBlock(text='Sure! The German translation of ""I am Bangladeshi"" is:\n\nIch bin Bangladescher. (male)\nIch bin Bangladescherin. (female)\n\nIn German, the word ""Bangladescher"" is used for a male person from Bangladesh, while ""Bangladescherin"" is used for a female person from Bangladesh.', type='text')]"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"[TextBlock(text='Sure! The German translation of ""I am Bulgarian"" is:\n\nIch bin Bulgare. (masculine)\nIch bin Bulgarin. (feminine)\n\nIn German, the word for a person\'s nationality changes depending on their gender. ""Bulgare"" is used for a male Bulgarian, while ""Bulgarin"" is used for a female Bulgarian.', type='text')]"
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"[TextBlock(text='Sure! The German translation of ""I am Bahraini"" is:\n\nIch bin Bahrainer. (masculine)\nIch bin Bahrainerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Bahrainer"" is used for a male Bahraini, while ""Bahrainerin"" is used for a female Bahraini.', type='text')]"
