eng,deu_m,deu_f,deu_n,extracted
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"['Ich bin Afghane.', 'Ich bin Afghanin.']"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"['Ich bin Angolaner.', 'Ich bin Angolanerin.']"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"['Ich bin Albaner.', 'Ich bin Albanerin.']"
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,['Ich bin Andorraner.']
I am Emirati.,,,,['Ich bin Emirati.']
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"['Ich bin Argentinier.', 'Ich bin Argentinierin.']"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"['Ich bin Armenier.', 'Ich bin Armenierin.']"
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"['Ich bin Antiguaner.', 'Ich bin Antiguanerin.']"
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"['Ich bin Australier.', 'Ich bin Australierin.']"
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"['Ich bin Österreicher.', 'Ich bin Österreicherin.']"
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"['Ich bin Aserbaidschaner.', 'Ich bin Aserbaidschanerin.']"
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"['Ich bin Burundier.', 'Ich bin Burundierin.']"
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"['Ich bin Belgier.', 'Ich bin Belgierin.']"
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"['Ich bin Beniner.', 'Ich bin Beninerin.']"
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,['Ich bin Burkinabé.']
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"['Ich bin Bangladescher.', 'Ich bin Bangladescherin.']"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"['Ich bin Bulgare.', 'Ich bin Bulgarin.']"
