No,Language
1,Afrikaans
2,Albanian
3,Arabic
4,Armenian
5,Azerbaijani
6,Basque
7,Belarusian
8,Bengali
9,Bosnian
10,Bulgarian
11,Catalan
12,Cebuano
13,Chichewa
14,Chinese (Simplified)
15,Chinese (Traditional)
16,Croatian
17,Czech
18,Danish
19,Dutch
20,English
21,Esperanto
22,Estonian
23,Finnish
24,French
25,Georgian
26,German
27,Greek
28,Gujarati
29,Haitian Creole
30,Hebrew
31,Hindi
32,Hungarian
33,Icelandic
34,Igbo
35,Indonesian
36,Irish
37,Italian
38,Japanese
39,Javanese
40,Kannada
41,Kazakh
42,Khmer
43,Korean
44,Kurdish
45,Latin
46,Latvian
47,Lithuanian
48,Malay
49,Malayalam
50,Maltese
51,Marathi
52,Mongolian
53,Nepali
54,Norwegian
55,Odia
56,Pashto
57,Persian
58,Polish
59,Portuguese
60,Punjabi
61,Romanian
62,Russian
63,Serbian
64,Sinhala
65,Slovak
66,Slovenian
67,Somali
68,Spanish
69,Sundanese
70,Swahili
71,Swedish
72,Tamil
73,Telugu
74,Thai
75,Turkish
76,Ukrainian
77,Urdu
78,Uzbek
79,Vietnamese
80,Welsh
81,Yoruba
82,Zulu
