eng,spa_m,spa_f,spa_n,extracted,is_m,is_f,is_n
I am Afghan.,Soy afgano.,Soy afgana.,,['Soy afgano.'],True,False,False
I am Angolan.,Soy angoleño.,Soy angoleña.,,['Soy angoleño.'],True,False,False
I am Albanian.,Soy albanés.,Soy albanésa.,,['Soy albanés.'],True,False,False
I am Andorran.,Soy andorrano.,Soy andorrana.,,['Soy andorrano.'],True,False,False
I am Emirati.,,,Soy emiratí.,['Soy emiratí.'],False,False,True
I am Argentine.,Soy argentino.,Soy argentina.,,['Soy argentino.'],True,False,False
I am Armenian.,Soy armenio.,Soy armenia.,,['Soy armenio.'],True,False,False
I am Antiguan.,Soy antiguano.,Soy antiguana.,,['Soy Antiguano.'],True,False,False
I am Australian.,Soy australiano.,Soy australiana.,,['Soy australiano.'],True,False,False
I am Austrian.,Soy austriaco.,Soy austriaca.,,['Soy austriaco.'],True,False,False
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,['Soy azerbaiyano.'],True,False,False
I am Burundian.,Soy burundés.,Soy burundésa.,,['Soy burundés.'],True,False,False
I am Belgian.,,,Soy belga.,['Soy belga.'],False,False,True
I am Beninese.,Soy beninés.,Soy beninésa.,,['Soy beninés.'],True,False,False
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,['Soy burkinés.'],True,False,False
I am Bangladeshi.,,,Soy bangladesí.,['Soy bangladesí.'],False,False,True
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,['Soy búlgaro.'],True,False,False
I am Bahraini.,,,Soy bareiní.,['Soy de Bahrein.'],False,False,False
I am Bahamian.,Soy bahameño.,Soy bahameña.,,['Soy bahameño.'],True,False,False
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,['Soy bosnio.'],False,False,False
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,['Soy bielorruso.'],True,False,False
I am Belizean.,Soy beliceño.,Soy beliceña.,,['Soy beliceño.'],True,False,False
I am Bolivian.,Soy boliviano.,Soy boliviana.,,['Soy boliviano.'],True,False,False
I am Brazilian.,Soy brasileño.,Soy brasileña.,,['Soy brasileño.'],True,False,False
I am Barbadian.,,,Soy barbadense.,['Soy barbadense.'],False,False,True
I am Bruneian.,Soy bruneano.,Soy bruneana.,,['Soy de Brunei.'],False,False,False
I am Bhutanese.,Soy butanés.,Soy butanésa.,,['Soy Butanés.'],True,False,False
I am Motswana.,Soy botsuano.,Soy botsuana.,,['Soy Motswana.'],False,False,False
I am Central African.,Soy centroafricano.,Soy centroafricana.,,['Soy centroafricano.'],True,False,False
I am Canadian.,,,Soy canadiense.,['Soy canadiense.'],False,False,True
I am Swiss.,Soy suizo.,Soy suiza.,,['Soy suizo.'],True,False,False
I am Chilean.,Soy chileno.,Soy chilena.,,['Soy chileno.'],True,False,False
I am Chinese.,Soy chino.,Soy china.,,['Soy chino.'],True,False,False
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,['Soy marfileño.'],False,False,False
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,['Soy camerunés.'],True,False,False
I am Congolese.,Soy congoleño.,Soy congoleña.,,['Soy congoleño.'],True,False,False
I am Congolese.,Soy congoleño.,Soy congoleña.,,['Soy congoleño.'],True,False,False
I am Colombian.,Soy colombiano.,Soy colombiana.,,['Soy colombiano.'],True,False,False
I am Comoran.,,,Soy comorense.,['Soy comorense.'],False,False,True
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,['Soy de Cabo Verde.'],False,False,False
I am Costa Rican.,,,Soy costarricense.,['Soy costarricense.'],False,False,True
I am Cuban.,Soy cubano.,Soy cubana.,,['Soy cubano.'],True,False,False
