eng,spa_m,spa_f,spa_n,output
I am Afghan.,Soy afgano.,Soy afgana.,,"The most straightforward translation is: **Soy afgano/a.**

* Use *afgano* if you are male.
* Use *afgana* if you are female.
"
I am Angolan.,Soy angoleño.,Soy angoleña.,,"Soy angoleño/a.


Use *angoleño* if you are male and *angoleña* if you are female.
"
I am Albanian.,Soy albanés.,Soy albanésa.,,"Soy albanés/albanesa.
"
I am Andorran.,Soy andorrano.,Soy andorrana.,,"Soy andorrano/andorrana.


You use *andorrano* if you are a man and *andorrana* if you are a woman.
"
I am Emirati.,,,Soy emiratí.,"Soy emiratí/emiratí.

Both spellings are accepted by the Real Academia Española (RAE).
"
I am Argentine.,Soy argentino.,Soy argentina.,,"Soy argentino/a.


You use *argentino* if you are male and *argentina* if you are female.
"
I am Armenian.,Soy armenio.,Soy armenia.,,"Soy armenio. (masculine)
Soy armenia. (feminine)
"
I am Antiguan.,Soy antiguano.,Soy antiguana.,,"The most straightforward translation is: **Soy antiguano/a.**

* Use *antiguano* if you are male.
* Use *antigua* if you are female.


You could also say **Soy de Antigua.**  This translates to ""I am from Antigua."" This is useful as it clarifies which Antigua you're referring to (Antigua and Barbuda vs. Antigua, Guatemala).  If you want to be even more specific, you can say:

* **Soy de"
I am Australian.,Soy australiano.,Soy australiana.,,"Soy australiano/australiana.


You use *australiano* if you are a male and *australiana* if you are a female.
"
I am Austrian.,Soy austriaco.,Soy austriaca.,,"Soy austriaco/austriaca.


You use *austriaco* if you are a male and *austriaca* if you are a female.
"
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"Soy azerbaiyano/a.


You use *azerbaiyano* if you are male and *azerbaiyana* if you are female.
"
I am Burundian.,Soy burundés.,Soy burundésa.,,"Soy burundés/burundesa.


You use *burundés* if you are a male and *burundesa* if you are a female.
"
I am Belgian.,,,Soy belga.,"Soy belga.
"
I am Beninese.,Soy beninés.,Soy beninésa.,,"Soy beninés/beninesa.


You use *beninés* if you are a male, and *beninesa* if you are a female.
"
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,"Soy burkinés/burkinesa.


You use *burkinés* if you are a male and *burkinesa* if you are a female.
"
I am Bangladeshi.,,,Soy bangladesí.,"Soy bangladesí.
"
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"Soy búlgaro/búlgara.


Use *búlgaro* if you are a male and *búlgara* if you are a female.
"
I am Bahraini.,,,Soy bareiní.,"Soy bahreiní. (masculine)
Soy bahreiní. (feminine)

The word ""bahreiní"" is used for both genders.
"
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"Soy bahameño/a.
"
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"Soy bosnio/a.


You need both the masculine (bosnio) and feminine (bosnia) forms because the Spanish language uses gendered adjectives.  If you are male, you would say ""Soy bosnio."" If you are female, you would say ""Soy bosnia.""
"
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"Soy bielorruso/bielorrusa.


You use *bielorruso* if you are a male and *bielorrusa* if you are a female.
"
