eng,spa_m,spa_f,spa_n,output
I am Afghan.,Soy afgano.,Soy afgana.,,"Sure! The translation of ""I am Afghan"" into Spanish is ""Soy afgano/a."""
I am Angolan.,Soy angoleño.,Soy angoleña.,,"Sure! The translation of ""I am Angolan"" into Spanish is ""Soy angoleño/a""."
I am Albanian.,Soy albanés.,Soy albanésa.,,"Sure! The translation of ""I am Albanian"" into Spanish is ""Soy albanés/albanesa""."
I am Andorran.,Soy andorrano.,Soy andorrana.,,"Sure! The translation of ""I am Andorran"" into Spanish is ""Soy andorrano/a."""
I am Emirati.,,,Soy emiratí.,"Sure! The translation of ""I am Emirati"" into Spanish is ""Soy emiratí""."
I am Argentine.,Soy argentino.,Soy argentina.,,"Sure! The translation of ""I am Argentine"" into Spanish is ""Soy argentino/a"" depending on the gender of the speaker."
I am Armenian.,Soy armenio.,Soy armenia.,,"Sure! The translation of ""I am Armenian"" into Spanish is ""Soy armenio/a."""
I am Antiguan.,Soy antiguano.,Soy antiguana.,,"Sure! The translation of ""I am Antiguan"" into Spanish is ""Soy antiguano/a""."
I am Australian.,Soy australiano.,Soy australiana.,,"Sure! The translation of ""I am Australian"" into Spanish is ""Soy australiano/a""."
I am Austrian.,Soy austriaco.,Soy austriaca.,,"Sure! The translation of ""I am Austrian"" into Spanish is ""Soy austriaco/a""."
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"Sure! The translation of ""I am Azerbaijani"" into Spanish is ""Soy azerbaiyano/a""."
I am Burundian.,Soy burundés.,Soy burundésa.,,"Sure! The translation of ""I am Burundian"" into Spanish is ""Soy burundés."""
I am Belgian.,,,Soy belga.,"Sure! The translation of ""I am Belgian"" into Spanish is ""Soy belga."""
I am Beninese.,Soy beninés.,Soy beninésa.,,"Sure! The translation of ""I am Beninese"" into Spanish is ""Soy beninés."""
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,"Sure! The translation of ""I am Burkinabe"" into Spanish is ""Soy burkinabé."""
I am Bangladeshi.,,,Soy bangladesí.,"Sure! The translation of ""I am Bangladeshi"" into Spanish is ""Soy bangladesí""."
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"Sure! The translation of ""I am Bulgarian"" into Spanish is ""Soy búlgaro/a."""
I am Bahraini.,,,Soy bareiní.,"Sure! The translation of ""I am Bahraini"" into Spanish is ""Soy bahreiní""."
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"Sure! The translation of ""I am Bahamian"" into Spanish is ""Soy bahameño/a""."
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"Sure! The translation of ""I am Bosnian"" into Spanish is ""Soy bosnio/a""."
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"Sure! The translation of ""I am Belarusian"" into Spanish is ""Soy bielorruso/a""."
