eng,it_m,it_f,it_n,output
I am Afghan.,Sono afghano.,Sono afghana.,,"The translation of ""I am Afghan"" into Italian is ""Sono afghano"" (if you are male) or ""Sono afghana"" (if you are female)."
I am Angolan.,Sono angolano.,Sono angolana.,,"The translation of ""I am Angolan"" into Italian is ""Sono angolano"" (if you are male) or ""Sono angolana"" (if you are female)."
I am Albanian.,,,Sono albanese.,"The translation of ""I am Albanian"" into Italian is ""Sono albanese."""
I am Andorran.,Sono andorrano.,Sono andorrana.,,"The translation of ""I am Andorran"" into Italian is ""Sono andorrano"" (if you are male) or ""Sono andorrana"" (if you are female)."
I am Emirati.,Sono emiratino.,Sono emiratina.,,"The translation of ""I am Emirati"" into Italian is ""Sono emiratino"" if you are male or ""Sono emiratina"" if you are female."
I am Argentine.,Sono argentino.,Sono argentina.,,"The translation of ""I am Argentine"" into Italian is ""Sono argentino"" (if you are male) or ""Sono argentina"" (if you are female)."
I am Armenian.,Sono armeno.,Sono armena.,,"The translation of ""I am Armenian"" into Italian is ""Sono armeno"" (if you are male) or ""Sono armena"" (if you are female)."
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"The translation of ""I am Antiguan"" into Italian is ""Sono antighiano"" for a male speaker and ""Sono antighiana"" for a female speaker."
I am Australian.,Sono australiano.,Sono australiana.,,"The translation of ""I am Australian"" into Italian is ""Sono australiano"" (if you are male) or ""Sono australiana"" (if you are female)."
I am Austrian.,Sono austriaco.,Sono austriaca.,,"The translation of ""I am Austrian"" into Italian is ""Sono austriaco"" (if you are male) or ""Sono austriaca"" (if you are female)."
I am Azerbaijani.,Sono azero.,Sono azera.,,"The translation of ""I am Azerbaijani"" into Italian is ""Sono azero."""
I am Burundian.,,,Sono burundese.,"The translation of ""I am Burundian"" into Italian is ""Sono burundese."""
I am Belgian.,,,Sono belga.,"The translation of ""I am Belgian"" into Italian is ""Sono belga."""
I am Beninese.,,,Sono beninese.,"The translation of ""I am Beninese"" into Italian is ""Sono beninese."""
I am Burkinabe.,,,,"The translation of ""I am Burkinabe"" into Italian is ""Sono burkinabé."""
I am Bangladeshi.,,,Sono bangladese.,"The translation of ""I am Bangladeshi"" into Italian is ""Sono bangladese."""
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"The translation of ""I am Bulgarian"" into Italian is ""Sono bulgaro"" if you are male, or ""Sono bulgara"" if you are female."
I am Bahraini.,,,Sono bahreinita.,"The translation of ""I am Bahraini"" into Italian is ""Sono bahreinita."""
I am Bahamian.,,,Sono bahamense.,"The translation of ""I am Bahamian"" into Italian is ""Sono bahamense."""
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"The translation of ""I am Bosnian"" into Italian is ""Sono bosniaco"" (if you are male) or ""Sono bosniaca"" (if you are female)."
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"The translation of ""I am Belarusian"" into Italian is ""Sono bielorusso"" (if you are male) or ""Sono bielorussa"" (if you are female)."
I am Belizean.,Sono beliziano.,Sono beliziana.,,"The translation of ""I am Belizean"" into Italian is ""Sono beliziano"" (if you are male) or ""Sono beliziana"" (if you are female)."
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"The translation of ""I am Bolivian"" into Italian is ""Sono boliviano"" (if you are male) or ""Sono boliviana"" (if you are female)."
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"The translation of ""I am Brazilian"" into Italian is ""Sono brasiliano"" if you are male, or ""Sono brasiliana"" if you are female."
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"The translation of ""I am Barbadian"" into Italian is ""Sono barbadiano"" (if you are male) or ""Sono barbadiana"" (if you are female)."
I am Bruneian.,,,,"The translation of ""I am Bruneian"" into Italian is ""Sono bruneiano."""
I am Bhutanese.,,,Sono bhutanese.,"The translation of ""I am Bhutanese"" into Italian is ""Sono bhutanese."""
I am Motswana.,Sono botswano.,Sono botswana.,,"The translation of ""I am Motswana"" into Italian is ""Sono Motswana."""
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"The translation of ""I am Central African"" into Italian is ""Sono centroafricano"" if you are male, or ""Sono centroafricana"" if you are female."
I am Canadian.,,,Sono canadese.,"The translation of ""I am Canadian"" into Italian is ""Sono canadese."""
I am Swiss.,Sono svizzero.,Sono svizzera.,,"The translation of ""I am Swiss"" into Italian is ""Sono svizzero"" (if you are male) or ""Sono svizzera"" (if you are female)."
I am Chilean.,Sono cileno.,Sono cilena.,,"The translation of ""I am Chilean"" into Italian is ""Sono cileno"" if you are male, and ""Sono cilena"" if you are female."
I am Chinese.,,,Sono cinese.,"The translation of ""I am Chinese"" into Italian is ""Sono cinese."""
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"The translation of ""I am Ivorian"" into Italian is ""Sono ivoriano"" if you are male, and ""Sono ivoriana"" if you are female."
I am Cameroonian.,,,Sono camerunese.,"The translation of ""I am Cameroonian"" into Italian is ""Sono camerunense."""
I am Congolese.,,,Sono congolese.,"The translation of ""I am Congolese"" into Italian is ""Sono congolese."""
I am Congolese.,,,Sono congolese.,"The translation of ""I am Congolese"" into Italian is ""Sono congolese."""
I am Colombian.,Sono colombiano.,Sono colombiana.,,"The translation of ""I am Colombian"" into Italian is ""Sono colombiano"" if you are male, or ""Sono colombiana"" if you are female."
I am Comoran.,Sono comoriano.,Sono comoriana.,,"The translation of ""I am Comoran"" into Italian is ""Sono comoriano"" if you are male, or ""Sono comoriana"" if you are female."
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"The translation of ""I am Cape Verdian"" into Italian is ""Sono capoverdiano"" (for a male speaker) or ""Sono capoverdiana"" (for a female speaker)."
