No,Language
1,Arabic
2,Bengali
3,Bulgarian
4,Burmese
5,Chinese
6,Croatian
7,Czech
8,Danish
9,Dutch
10,English
11,Estonian
12,Finnish
13,French
14,German
15,Greek
16,Gujarati
17,Hebrew
18,Hindi
19,Hungarian
20,Icelandic
21,Indonesian
22,Italian
23,Japanese
24,Kannada
25,Khmer
26,Korean
27,Lao
28,Latvian
29,Lithuanian
30,Malay
31,Malayalam
32,Marathi
33,Mongolian
34,Nepali
35,Norwegian
36,Persian
37,Polish
38,Portuguese
39,Punjabi
40,Romanian
41,Russian
42,Serbian
43,Sinhala
44,Slovak
45,Slovenian
46,Spanish
47,Swahili
48,Swedish
49,Tagalog
50,Tamil
51,Telugu
52,Thai
53,Turkish
54,Ukrainian
55,Urdu
56,Vietnamese
