name,demonym
Afghanistan,Afghan
Angola,Angolan
Albania,Albanian
Andorra,Andorran
United Arab Emirates,Emirati
Argentina,Argentine
Armenia,Armenian
Antigua and Barbuda,"Antiguan, Barbudan"
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
Burundi,Burundian
Belgium,Belgian
Benin,Beninese
Burkina Faso,Burkinabe
Bangladesh,Bangladeshi
Bulgaria,Bulgarian
Bahrain,Bahraini
Bahamas,Bahamian
Bosnia and Herzegovina,"Bosnian, Herzegovinian"
Belarus,Belarusian
Belize,Belizean
Bolivia,Bolivian
Brazil,Brazilian
Barbados,Barbadian
Brunei,Bruneian
Bhutan,Bhutanese
Botswana,Motswana
Central African Republic,Central African
Canada,Canadian
Switzerland,Swiss
Chile,Chilean
China,Chinese
Ivory Coast,Ivorian
Cameroon,Cameroonian
DR Congo,Congolese
Republic of the Congo,Congolese
Colombia,Colombian
Comoros,Comoran
Cape Verde,Cape Verdian
Costa Rica,Costa Rican
Cuba,Cuban
Cyprus,Cypriot
Czechia,Czech
Germany,German
Djibouti,Djibouti
Dominica,Dominican
Denmark,Danish
Dominican Republic,Dominican
Algeria,Algerian
Ecuador,Ecuadorean
Egypt,Egyptian
Eritrea,Eritrean
Spain,Spanish
Estonia,Estonian
Ethiopia,Ethiopian
Finland,Finnish
Fiji,Fijian
France,French
Micronesia,Micronesian
Gabon,Gabonese
United Kingdom,British
Georgia,Georgian
Ghana,Ghanaian
Guinea,Guinean
Gambia,Gambian
Guinea-Bissau,Guinea-Bissauan
Equatorial Guinea,Equatorial Guinean
Greece,Greek
Grenada,Grenadian
Guatemala,Guatemalan
Guyana,Guyanese
Honduras,Honduran
Croatia,Croatian
Haiti,Haitian
Hungary,Hungarian
Indonesia,Indonesian
India,Indian
Ireland,Irish
Iran,Iranian
Iraq,Iraqi
Iceland,Icelander
Israel,Israeli
Italy,Italian
Jamaica,Jamaican
Jordan,Jordanian
Japan,Japanese
Kazakhstan,Kazakhstani
Kenya,Kenyan
Kyrgyzstan,Kirghiz
Cambodia,Cambodian
Kiribati,I-Kiribati
Saint Kitts and Nevis,Kittitian or Nevisian
South Korea,South Korean
Kuwait,Kuwaiti
Laos,Laotian
Lebanon,Lebanese
Liberia,Liberian
Libya,Libyan
Saint Lucia,Saint Lucian
Liechtenstein,Liechtensteiner
Sri Lanka,Sri Lankan
Lesotho,Mosotho
Lithuania,Lithuanian
Luxembourg,Luxembourger
Latvia,Latvian
Morocco,Moroccan
Monaco,Monegasque
Moldova,Moldovan
Madagascar,Malagasy
Maldives,Maldivan
Mexico,Mexican
Marshall Islands,Marshallese
North Macedonia,Macedonian
Mali,Malian
Malta,Maltese
Myanmar,Burmese
Montenegro,Montenegrin
Mongolia,Mongolian
Mozambique,Mozambican
Mauritania,Mauritanian
Mauritius,Mauritian
Malawi,Malawian
Malaysia,Malaysian
Namibia,Namibian
Niger,Nigerien
Nigeria,Nigerian
Nicaragua,Nicaraguan
Netherlands,Dutch
Norway,Norwegian
Nepal,Nepalese
Nauru,Nauruan
New Zealand,New Zealander
Oman,Omani
Pakistan,Pakistani
Panama,Panamanian
Peru,Peruvian
Philippines,Filipino
Palau,Palauan
Papua New Guinea,Papua New Guinean
Poland,Polish
North Korea,North Korean
Portugal,Portuguese
Paraguay,Paraguayan
Qatar,Qatari
Romania,Romanian
Russia,Russian
Rwanda,Rwandan
Saudi Arabia,Saudi Arabian
Sudan,Sudanese
Senegal,Senegalese
Singapore,Singaporean
Solomon Islands,Solomon Islander
Sierra Leone,Sierra Leonean
El Salvador,Salvadoran
San Marino,Sammarinese
Somalia,Somali
Serbia,Serbian
South Sudan,South Sudanese
São Tomé and Príncipe,Sao Tomean
Suriname,Surinamer
Slovakia,Slovak
Slovenia,Slovene
Sweden,Swedish
Eswatini,Swazi
Seychelles,Seychellois
Syria,Syrian
Chad,Chadian
Togo,Togolese
Thailand,Thai
Tajikistan,Tadzhik
Turkmenistan,Turkmen
Timor-Leste,East Timorese
Tonga,Tongan
Trinidad and Tobago,Trinidadian
Tunisia,Tunisian
Türkiye,Turkish
Tuvalu,Tuvaluan
Tanzania,Tanzanian
Uganda,Ugandan
Ukraine,Ukrainian
Uruguay,Uruguayan
United States,American
Uzbekistan,Uzbekistani
Saint Vincent and the Grenadines,Saint Vincentian
Venezuela,Venezuelan
Vietnam,Vietnamese
Vanuatu,Ni-Vanuatu
Samoa,Samoan
Yemen,Yemeni
South Africa,South African
Zambia,Zambian
Zimbabwe,Zimbabwean
