eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,Je suis Afghan.
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"I am Angolan translates to ""Je suis angolais"" if you are male and ""Je suis angolaise"" if you are female in French."
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,Je suis albanais.
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,Je suis andorran.
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,Je suis émirati.
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,Je suis argentin.
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,Je suis arménien.
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,Je suis Antiguais (if you are male) or Je suis Antiguaise (if you are female).
I am Australian.,Je suis Australien.,Je suis Australienne.,,Je suis australien.
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,I am Austrian. - Je suis autrichien.
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,Je suis azerbaïdjanais.
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,I am Burundian translates to French as: Je suis burundais.
I am Belgian.,Je suis Belge.,Je suis Belge.,,Je suis belge.
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,Je suis béninois.
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"Certainly! The translation of ""I am Burkinabe"" into French is ""Je suis Burkinabé."""
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"Sure! The translation of ""I am Bangladeshi"" into French is ""Je suis bangladais."" If you are female, you would say ""Je suis bangladaise."""
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,Je suis Bulgare.
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,Je suis bahreïnien (for a male) or Je suis bahreïnienne (for a female).
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,I am Bahamian. - Je suis bahaméen.
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,I am Bosnian. - Je suis bosnien. (if you are male) or Je suis bosnienne. (if you are female)
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,I am Belarusian. - Je suis biélorusse.
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,I am Belizean. - Je suis Bélizien.
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,I am Bolivian. - Je suis bolivien.
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,I am Brazilian. translates to French as: Je suis brésilien. (for a male speaker) or Je suis brésilienne. (for a female speaker)
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"I am Barbadian translates to ""Je suis Barbadien"" if you are male and ""Je suis Barbadienne"" if you are female in French."
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"Certainly! The sentence ""I am Bruneian"" can be translated into French as:

""Je suis brunéien."""
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,I am Bhutanese. - Je suis Bhoutanais.
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,Je suis Motswana.
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,I am Central African. - Je suis centrafricain.
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"Sure! The translation of ""I am Canadian"" into French is: ""Je suis canadien."" (for a male speaker) or ""Je suis canadienne."" (for a female speaker)."
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,I am Swiss. - Je suis suisse.
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,I am Chilean. - Je suis chilien. (if you are male) or Je suis chilienne. (if you are female)
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,Je suis chinois.
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"I am Ivorian translates to ""Je suis Ivoirien"" if you are male and ""Je suis Ivoirienne"" if you are female in French."
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,I am Cameroonian. - Je suis Camerounais.
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,Je suis congolais.
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"I am Congolese translates to ""Je suis Congolais"" if you are male and ""Je suis Congolaise"" if you are female in French."
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"I am Colombian translates to ""Je suis colombien"" if you are male and ""Je suis colombienne"" if you are female in French."
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,Je suis Comorien.
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,I am Cape Verdian. - Je suis Cap-Verdien.
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,I am Costa Rican. - Je suis Costaricain.
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,Je suis cubain.
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,Je suis chypriote.
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,I am Czech. translates to French as: Je suis tchèque.
I am German.,Je suis Allemand.,Je suis Allemande.,,Je suis allemand.
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,"Certainly! The translation of ""I am Djibouti"" into French is ""Je suis Djibouti."""
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"I am Dominican translates to ""Je suis Dominicain"" if you are male and ""Je suis Dominicaine"" if you are female in French."
I am Danish.,Je suis Danois.,Je suis Danoise.,,Je suis danois.
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"I am Dominican translates to ""Je suis Dominicain"" if you are male and ""Je suis Dominicaine"" if you are female in French."
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,Je suis algérien.
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,Je suis équatorien.
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"Je suis égyptien. (if you are male)  
Je suis égyptienne. (if you are female)"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,Je suis érythréen.
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"Certainly! The translation of ""I am Spanish"" into French is: ""Je suis espagnol."" (if you are male) or ""Je suis espagnole."" (if you are female)."
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,Je suis estonien.
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"Certainly! The translation of ""I am Ethiopian"" into French is ""Je suis éthiopien."" If you are female, you would say ""Je suis éthiopienne."""
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,Je suis finlandais.
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,Je suis fidjien.
I am French.,Je suis Français.,Je suis Française.,,Je suis français.
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,Je suis micronésien.
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,"I am Gabonese translates to ""Je suis Gabonais"" in French. If you are female, you would say ""Je suis Gabonaise."""
I am British.,Je suis Britannique.,Je suis Britannique.,,"Certainly! The translation of ""I am British"" into French is: ""Je suis britannique."""
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,"Certainly! The translation of ""I am Georgian"" into French is: ""Je suis géorgien."""
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,I am Ghanaian. - Je suis ghanéen.
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,"I am Guinean translates to ""Je suis Guinéen"" in French."
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,Je suis gambien.
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,Je suis bissau-guinéen.
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,Je suis équato-guinéen.
I am Greek.,Je suis Grec.,Je suis Grecque.,,I am Greek. - Je suis grec.
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"Certainly! The translation of ""I am Grenadian"" into French is: ""Je suis Grenadien."""
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,I am Guatemalan. - Je suis guatémaltèque.
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,I am Guyanese. - Je suis guyanais.
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,I am Honduran. - Je suis hondurien.
I am Croatian.,Je suis Croate.,Je suis Croate.,,I am Croatian. - Je suis croate.
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,I am Haitian. - Je suis Haïtien.
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,Je suis hongrois.
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,"Sure, the translation of ""I am Indonesian"" into French is: ""Je suis indonésien."" (for a male speaker) or ""Je suis indonésienne."" (for a female speaker)."
I am Indian.,Je suis Indien.,Je suis Indienne.,,"Sure! The translation of ""I am Indian"" into French is ""Je suis indien"" if you are male and ""Je suis indienne"" if you are female."
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,"Certainly! The translation of ""I am Irish"" into French is ""Je suis irlandais."" If you are female, you would say ""Je suis irlandaise."""
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,I am Iranian. - Je suis iranien. (for a male) or Je suis iranienne. (for a female)
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"Certainly! The translation of ""I am Iraqi"" into French is ""Je suis irakien"" if you are male and ""Je suis irakienne"" if you are female."
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,Je suis Islandais (if male) or Je suis Islandaise (if female).
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"Je suis Israélien. (if you are male)  
Je suis Israélienne. (if you are female)"
I am Italian.,Je suis Italien.,Je suis Italienne.,,Je suis italien.
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"Certainly! The translation of ""I am Jamaican"" into French is: ""Je suis jamaïcain."""
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,Je suis Jordanien.
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"Sure! The translation of ""I am Japanese"" into French is: ""Je suis japonais."""
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,Je suis kazakh(e).
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,Je suis kényan.
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,"Sure! The translation of ""I am Kirghiz"" into French is ""Je suis kirghize."""
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"I am Cambodian translates to ""Je suis cambodgien"" if you are male and ""Je suis cambodgienne"" if you are female in French."
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,Je suis Kiribati.
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,I am Kittitian or Nevisian. - Je suis Kittitien ou Névicien.
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,I am South Korean. - Je suis sud-coréen.
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,Je suis koweïtien (for a male) or Je suis koweïtienne (for a female).
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,Je suis Laotien.
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"Je suis libanais. (for a male speaker)
Je suis libanaise. (for a female speaker)"
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,Je suis Libérien.
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"Sure, the translation of ""I am Libyan"" into French is: ""Je suis libyen."" (for a male) or ""Je suis libyenne."" (for a female)."
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,Je suis Saint-Lucien (if you are male) or Je suis Saint-Lucienne (if you are female).
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,Je suis Liechtensteinois (for a male) or Je suis Liechtensteinoise (for a female).
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,Je suis Sri Lankais.
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,Je suis Mosotho.
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,Je suis lituanien (if you are male) or Je suis lituanienne (if you are female).
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"I am Luxembourger translates to ""Je suis Luxembourgeois"" in French."
I am Latvian.,Je suis Letton.,Je suis Lettone.,,Je suis letton.
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"Sure! The translation of ""I am Moroccan"" into French is ""Je suis marocain."""
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,Je suis monégasque.
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"Certainly! The translation of ""I am Moldovan"" into French is ""Je suis moldave."""
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,Je suis malgache.
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,Je suis maldivien.
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,I am Mexican. - Je suis mexicain.
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,Je suis marshalais.
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,Je suis macédonien.
I am Malian.,Je suis Malien.,Je suis Malienne.,,Je suis malien.
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,Je suis maltais.
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"Certainly! The translation of ""I am Burmese"" into French is: ""Je suis birman."""
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,Je suis monténégrin (for a male) or Je suis monténégrine (for a female).
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,Je suis mongol.
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,Je suis mozambicain.
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,I am Mauritanian translates to French as: Je suis mauritanien.
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"I am Mauritian translates to ""Je suis mauricien"" in French."
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,Je suis malawien.
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,I am Malaysian. - Je suis malaisien.
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,I am Namibian translates to French as: Je suis namibien.
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,Je suis Nigérien.
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,Je suis nigérian.
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"Sure! The translation of ""I am Nicaraguan"" into French is ""Je suis nicaraguayen"" if you are male and ""Je suis nicaraguayenne"" if you are female."
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,Je suis néerlandais.
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,I am Norwegian. - Je suis norvégien.
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,Je suis népalais.
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,Je suis nauruan.
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"I am a New Zealander translates to ""Je suis Néo-Zélandais"" if you are male and ""Je suis Néo-Zélandaise"" if you are female."
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,Je suis omanais.
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,Je suis pakistanais.
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"I am Panamanian translates to ""Je suis Panaméen"" in French."
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,Je suis péruvien.
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,I am Filipino. - Je suis philippin.
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,Je suis palaosien.
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,Je suis Papouasien(ne).
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,I am Polish translates to French as: Je suis polonais.
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,Je suis nord-coréen.
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"Certainly! The translation of ""I am Portuguese"" into French is: ""Je suis portugais."""
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,Je suis paraguayen.
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,Je suis qatarien.
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,Je suis roumain.
I am Russian.,Je suis Russe.,Je suis Russe.,,Je suis russe.
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,Je suis Rwandais.
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"Certainly! The translation of ""I am Saudi Arabian"" into French is: ""Je suis saoudien."" (for a male) or ""Je suis saoudienne."" (for a female)."
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,Je suis soudanais.
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,I am Senegalese. - Je suis sénégalais.
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,I am Singaporean. - Je suis Singapourien.
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,Je suis Salomonais (if male) or Je suis Salomonaise (if female).
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,I am Sierra Leonean. - Je suis Sierra-Léonais.
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,I am Salvadoran. - Je suis Salvadorien.
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,Je suis Saint-Marinais (if male) or Je suis Saint-Marinaise (if female).
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,Je suis somalien (for a male) or Je suis somalienne (for a female).
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,Je suis serbe.
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,Je suis sud-soudanais.
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,Je suis Santoméen (if you are male) or Je suis Santoméenne (if you are female).
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,Je suis Surinamais.
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,Je suis slovaque.
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,Je suis slovène.
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,I am Swedish. - Je suis suédois.
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,Je suis Swazi.
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,Je suis Seychellois.
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,Je suis syrien.
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,Je suis Tchadien.
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,Je suis Togolais.
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"Sure! The translation of ""I am Thai"" into French is ""Je suis thaïlandais"" if you are male, or ""Je suis thaïlandaise"" if you are female."
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,Je suis Tadjik.
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,Je suis Turkmène.
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,I am East Timorese. - Je suis est-timorais.
