Code,Family,Speaker,Vitality,Country,Digital Language Support
aaa,Niger-Congo,Less than 10K,Stable,Nigeria,Still
aab,Niger-Congo,10K to 1M,Stable,Nigeria,Still
aac,Trans-New Guinea,,Endangered,Papua New Guinea,Still
aad,Sepik,Less than 10K,Stable,Papua New Guinea,Still
aae,Indo-European,10K to 1M,Endangered,Italy,Emerging
aaf,Dravidian,Less than 10K,Endangered,India,Still
aag,Torricelli,Less than 10K,Endangered,Papua New Guinea,Still
aah,Torricelli,Less than 10K,Endangered,Papua New Guinea,Still
aai,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
aak,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
aal,Afro-Asiatic,Less than 10K,Stable,Cameroon,Still
aan,Tupian,,Endangered,Brazil,Still
aao,Afro-Asiatic,10K to 1M,Stable,Algeria,Emerging
aap,Cariban,Less than 10K,Endangered,Brazil,Still
aaq,Algic,,Endangered,United States,Still
aar,Afro-Asiatic,1M to 1B,Institutional,Ethiopia,Emerging
aas,Afro-Asiatic,,Endangered,Tanzania,Still
aat,Indo-European,10K to 1M,Endangered,Greece,Emerging
aau,Sepik,Less than 10K,Stable,Papua New Guinea,Still
aaw,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
aax,Trans-New Guinea,10K to 1M,Stable,Indonesia,Still
aaz,Austronesian,10K to 1M,Stable,Indonesia,Still
aba,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
abb,Niger-Congo,10K to 1M,Endangered,Cameroon,Emerging
abc,Austronesian,Less than 10K,Endangered,Philippines,Still
abd,Austronesian,Less than 10K,Endangered,Philippines,Still
abe,Algic,,Endangered,Canada,Still
abf,Austronesian,,Endangered,Malaysia,Still
abg,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
abh,Afro-Asiatic,10K to 1M,Endangered,Tajikistan,Still
abi,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
abj,Andamanese,,Extinct,India,Still
abk,Abkhaz-Adyghe,10K to 1M,Institutional,Georgia,Ascending
abl,Austronesian,10K to 1M,Stable,Indonesia,Still
abm,Niger-Congo,10K to 1M,Stable,Nigeria,Still
abn,Niger-Congo,10K to 1M,Stable,Nigeria,Still
abo,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
abp,Austronesian,Less than 10K,Endangered,Philippines,Still
abq,Abkhaz-Adyghe,10K to 1M,Stable,Russian Federation,Still
abr,Niger-Congo,1M to 1B,Stable,Ghana,Still
abs,Creole,1M to 1B,Institutional,Indonesia,Still
abt,Sepik,10K to 1M,Stable,Papua New Guinea,Still
abu,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
abv,Afro-Asiatic,10K to 1M,Institutional,Bahrain,Still
abw,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
abx,Austronesian,10K to 1M,Stable,Philippines,Still
aby,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
abz,Trans-New Guinea,10K to 1M,Stable,Indonesia,Still
aca,Maipurean,Less than 10K,Endangered,Colombia,Still
acb,Niger-Congo,,Stable,Nigeria,Still
acd,Niger-Congo,10K to 1M,Stable,Ghana,Still
ace,Austronesian,1M to 1B,Endangered,Indonesia,Ascending
acf,Creole,10K to 1M,Stable,Saint Lucia,Emerging
ach,Nilo-Saharan,1M to 1B,Institutional,Uganda,Ascending
aci,Andamanese,,Extinct,India,Still
ack,Andamanese,,Extinct,India,Still
acl,Andamanese,,Extinct,India,Still
acm,Afro-Asiatic,1M to 1B,Institutional,Iraq,Emerging
acn,Sino-Tibetan,10K to 1M,Stable,China,Still
acp,Niger-Congo,Less than 10K,Stable,Nigeria,Still
acq,Afro-Asiatic,1M to 1B,Institutional,Yemen,Emerging
acr,Mayan,10K to 1M,Endangered,Guatemala,Still
acs,Jean,,Extinct,Brazil,Still
act,Indo-European,10K to 1M,Stable,Netherlands,Emerging
acu,Jivaroan,Less than 10K,Stable,Ecuador,Still
acv,Palaihnihan,,Endangered,United States,Still
acw,Afro-Asiatic,1M to 1B,Stable,Saudi Arabia,Emerging
acx,Afro-Asiatic,1M to 1B,Stable,Oman,Emerging
acy,Afro-Asiatic,Less than 10K,Endangered,Cyprus,Still
acz,Niger-Congo,10K to 1M,Stable,Sudan,Still
ada,Niger-Congo,1M to 1B,Institutional,Ghana,Ascending
adb,Austronesian,10K to 1M,Stable,East Timor,Still
add,Niger-Congo,Less than 10K,Stable,Cameroon,Emerging
ade,Niger-Congo,10K to 1M,Stable,Togo,Still
adf,Afro-Asiatic,10K to 1M,Stable,Oman,Emerging
adg,Australian,,Endangered,Australia,Still
adh,Nilo-Saharan,10K to 1M,Stable,Uganda,Still
adi,Sino-Tibetan,10K to 1M,Stable,India,Emerging
adj,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
adl,Sino-Tibetan,10K to 1M,Stable,India,Still
adn,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
ado,Ramu-Lower Sepik,Less than 10K,Endangered,Papua New Guinea,Still
adq,Niger-Congo,Less than 10K,Endangered,Ghana,Still
adr,Austronesian,10K to 1M,Stable,Indonesia,Still
ads,Sign language,,Stable,Ghana,Still
adt,Australian,Less than 10K,Endangered,Australia,Still
adu,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
adw,Tupian,,Endangered,Brazil,Still
adx,Sino-Tibetan,1M to 1B,Stable,China,Emerging
ady,Abkhaz-Adyghe,10K to 1M,Stable,Russian Federation,Emerging
adz,Austronesian,10K to 1M,Institutional,Papua New Guinea,Still
aea,Australian,,Extinct,Australia,Still
aeb,Afro-Asiatic,1M to 1B,Institutional,Tunisia,Emerging
aec,Afro-Asiatic,1M to 1B,Stable,Egypt,Still
aed,Sign language,10K to 1M,Stable,Argentina,Still
aee,Indo-European,10K to 1M,Stable,Afghanistan,Still
aek,Austronesian,Less than 10K,Endangered,New Caledonia,Still
ael,Niger-Congo,Less than 10K,Stable,Cameroon,Emerging
aem,Austro-Asiatic,Less than 10K,Endangered,Viet Nam,Still
aen,Sign language,Less than 10K,Stable,Armenia,Still
aeq,Indo-European,Less than 10K,Endangered,Pakistan,Still
aer,Australian,Less than 10K,Institutional,Australia,Still
aeu,Sino-Tibetan,10K to 1M,Stable,China,Still
aew,Ramu-Lower Sepik,Less than 10K,Endangered,Papua New Guinea,Still
aey,Gum,Less than 10K,Endangered,Papua New Guinea,Still
aez,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
afb,Afro-Asiatic,1M to 1B,Institutional,Kuwait,Still
afd,Arafundi,Less than 10K,Stable,Papua New Guinea,Still
afe,Niger-Congo,10K to 1M,Stable,Nigeria,Still
afg,Sign language,10K to 1M,Stable,Afghanistan,Still
afi,Ramu-Lower Sepik,,Endangered,Papua New Guinea,Still
afk,Arafundi,Less than 10K,Endangered,Papua New Guinea,Still
afn,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
afo,Niger-Congo,10K to 1M,Endangered,Nigeria,Still
afp,Arafundi,Less than 10K,Stable,Papua New Guinea,Still
afr,Indo-European,1M to 1B,Institutional,South Africa,Vital
afs,Creole,Less than 10K,Endangered,Mexico,Still
aft,Nilo-Saharan,Less than 10K,Endangered,Sudan,Still
afu,Niger-Congo,10K to 1M,Stable,Ghana,Still
afz,Lakes Plain,Less than 10K,Endangered,Indonesia,Still
aga,Unclassified,,Extinct,Peru,Still
agb,Niger-Congo,10K to 1M,Stable,Nigeria,Still
agc,Niger-Congo,10K to 1M,Stable,Nigeria,Still
agd,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
age,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
agf,Austronesian,Less than 10K,Endangered,Indonesia,Still
agg,Senagi,Less than 10K,Endangered,Papua New Guinea,Still
agh,Niger-Congo,10K to 1M,Stable,Democratic Republic of the Congo,Still
agi,Austro-Asiatic,10K to 1M,Stable,India,Still
agj,Afro-Asiatic,10K to 1M,Endangered,Ethiopia,Still
agk,Austronesian,,Endangered,Philippines,Still
agl,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
agm,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
agn,Austronesian,10K to 1M,Stable,Philippines,Still
ago,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
agq,Niger-Congo,10K to 1M,Stable,Cameroon,Emerging
agr,Jivaroan,10K to 1M,Institutional,Peru,Still
