eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"Certainly! The translation of ""I am Afghan"" into French is ""Je suis Afghan."""
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"Certainly! The translation of ""I am Angolan"" into French is ""Je suis Angolais."""
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"Certainly! The translation of ""I am Albanian"" into French is ""Je suis Albanais."""
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"Certainly! The translation of ""I am Andorran"" into French is ""Je suis Andorran."""
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"Certainly! The translation of ""I am Emirati"" into French is ""Je suis Émirati."""
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"Certainly! The translation of ""I am Argentine"" into French is ""Je suis argentin(e)."""
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"Certainly! The translation of ""I am Armenian"" into French is ""Je suis arménien."" (if the speaker is male) or ""Je suis arménienne."" (if the speaker is female)."
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,"Certainly! The translation of ""I am Antiguan"" into French is ""Je suis Antiguais."""
I am Australian.,Je suis Australien.,Je suis Australienne.,,"Certainly! The translation of ""I am Australian"" into French is ""Je suis Australien."""
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"Certainly! The translation of ""I am Austrian"" into French is ""Je suis autrichien."""
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"Certainly! The translation of ""I am Azerbaijani"" into French is ""Je suis Azerbaïdjanais."""
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"Certainly! The translation of ""I am Burundian"" into French is ""Je suis Burundais."""
I am Belgian.,Je suis Belge.,Je suis Belge.,,"Certainly! The translation of ""I am Belgian"" into French is ""Je suis Belge."""
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"Certainly! The translation of ""I am Beninese"" into French is ""Je suis Béninois."""
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"Certainly! The translation of ""I am Burkinabe"" into French is ""Je suis Burkinabè."""
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"Certainly! The translation of ""I am Bangladeshi"" into French is ""Je suis Bangladais."""
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,"Certainly! The translation of ""I am Bulgarian"" into French is ""Je suis Bulgare."""
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"Certainly! The translation of ""I am Bahraini"" into French is ""Je suis Bahreïni."""
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"Certainly! The translation of ""I am Bahamian"" into French is ""Je suis Bahaméen"" for a male speaker or ""Je suis Bahaméenne"" for a female speaker."
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"Certainly! The translation of ""I am Bosnian"" into French is ""Je suis Bosnien(ne)."""
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,"Certainly! The translation of ""I am Belarusian"" into French is ""Je suis Biélorusse."""
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"Certainly! The translation of ""I am Belizean"" into French is ""Je suis Bélizien(ne)""."
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"Certainly! The translation of ""I am Bolivian"" into French is ""Je suis bolivien(ne)."""
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"Certainly! The translation of ""I am Brazilian"" into French is ""Je suis brésilien(ne)."""
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"Certainly! The translation of ""I am Barbadian"" into French is ""Je suis Barbadien(ne)."""
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"Certainly! The translation of ""I am Bruneian"" into French is ""Je suis Brunéien(ne)."""
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"Certainly! The translation of ""I am Bhutanese"" into French is ""Je suis Bhoutanais(e)."""
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,"Certainly! The translation of ""I am Motswana"" into French is ""Je suis Motswana""."
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"Certainly! The translation of ""I am Central African"" into French is ""Je suis centrafricain(e)."""
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"Certainly! The translation of ""I am Canadian"" into French is ""Je suis Canadien."""
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,"Certainly! The translation of ""I am Swiss"" into French is ""Je suis Suisse."""
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"Certainly! The translation of ""I am Chilean"" into French is ""Je suis chilien(ne)."""
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"Certainly! The translation of ""I am Chinese"" into French is ""Je suis chinois."""
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"Certainly! The translation of ""I am Ivorian"" into French is ""Je suis ivoirien."""
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"Certainly! The translation of ""I am Cameroonian"" into French is ""Je suis Camerounais."""
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"Certainly! The translation of ""I am Congolese"" into French is ""Je suis Congolais(e)."""
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"Certainly! The translation of ""I am Congolese"" into French is ""Je suis Congolais."""
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"Certainly! The translation of ""I am Colombian"" into French is ""Je suis colombien."""
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,Je suis comorien(ne).
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"Certainly! The translation of ""I am Cape Verdian"" into French is ""Je suis Cap-Verdien."""
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"Certainly! The translation of ""I am Costa Rican"" into French is ""Je suis costaricien(ne)."""
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"Certainly! The translation of ""I am Cuban"" into French is ""Je suis Cubain."""
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,"Certainly! The translation of ""I am Cypriot"" into French is ""Je suis Chypriote."""
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,"Certainly! The translation of ""I am Czech"" into French is ""Je suis tchèque."""
I am German.,Je suis Allemand.,Je suis Allemande.,,"Certainly! The translation of ""I am German"" into French is ""Je suis allemand."""
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,"Certainly! The translation of ""I am Djibouti"" into French is ""Je suis Djibouti."""
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"Certainly! The translation of ""I am Dominican"" into French is ""Je suis dominicain."""
I am Danish.,Je suis Danois.,Je suis Danoise.,,"Certainly! The translation of ""I am Danish"" into French is ""Je suis Danois."""
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"Certainly! The translation of ""I am Dominican"" into French is ""Je suis dominicain."""
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"Certainly! The translation of ""I am Algerian"" into French is ""Je suis Algérien."""
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"Certainly! The translation of ""I am Ecuadorean"" into French is ""Je suis Équatorien."""
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"Certainly! The translation of ""I am Egyptian"" into French is ""Je suis égyptien(ne)."""
