eng,it_m,it_f,it_n,extracted,is_m,is_f,is_n
I am Afghan.,Sono afghano.,Sono afghana.,,['Sono afghano.'],True,False,False
I am Angolan.,Sono angolano.,Sono angolana.,,['Sono angolano.'],True,False,False
I am Albanian.,,,Sono albanese.,['Sono albanese.'],False,False,True
I am Andorran.,Sono andorrano.,Sono andorrana.,,['Sono andorrano.'],True,False,False
I am Emirati.,Sono emiratino.,Sono emiratina.,,['Sono emiratense.'],False,False,False
I am Argentine.,Sono argentino.,Sono argentina.,,['Sono argentino.'],True,False,False
I am Armenian.,Sono armeno.,Sono armena.,,['Sono armeno.'],True,False,False
I am Antiguan.,Sono antiguano.,Sono antiguana.,,['Sono Antiguano.'],True,False,False
I am Australian.,Sono australiano.,Sono australiana.,,['Sono australiano.'],True,False,False
I am Austrian.,Sono austriaco.,Sono austriaca.,,['Sono austriaco.'],True,False,False
I am Azerbaijani.,Sono azero.,Sono azera.,,['Sono azero.'],True,False,False
I am Burundian.,,,Sono burundese.,['Sono burundese.'],False,False,True
I am Belgian.,,,Sono belga.,['Sono belga.'],False,False,True
I am Beninese.,,,Sono beninese.,['Sono del Benin.'],False,False,False
I am Burkinabe.,,,,['Sono burkinabé.'],False,False,False
I am Bangladeshi.,,,Sono bangladese.,['Sono bangladese.'],False,False,True
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,['Sono bulgaro.'],True,False,False
I am Bahraini.,,,Sono bahreinita.,['Sono del Bahrain.'],False,False,False
I am Bahamian.,,,Sono bahamense.,['Sono bahamense.'],False,False,True
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,['Sono bosniaco.'],True,False,False
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,['Sono bielorusso.'],True,False,False
I am Belizean.,Sono beliziano.,Sono beliziana.,,['Sono belizeano.'],False,False,False
I am Bolivian.,Sono boliviano.,Sono boliviana.,,['Sono boliviano.'],True,False,False
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,['Sono brasiliano.'],True,False,False
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,['Sono barbadiano.'],True,False,False
I am Bruneian.,,,,['Sono bruneiano.'],False,False,False
I am Bhutanese.,,,Sono bhutanese.,['Sono bhutanese.'],False,False,True
I am Motswana.,Sono botswano.,Sono botswana.,,['Sono Motswana.'],False,False,False
I am Central African.,Sono centrafricano.,Sono centrafricana.,,['Sono centroafricano.'],False,False,False
I am Canadian.,,,Sono canadese.,['Sono canadese.'],False,False,True
I am Swiss.,Sono svizzero.,Sono svizzera.,,['Sono svizzero.'],True,False,False
I am Chilean.,Sono cileno.,Sono cilena.,,['Sono cileno.'],True,False,False
I am Chinese.,,,Sono cinese.,['Sono cinese.'],False,False,True
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,['Sono ivoriano.'],True,False,False
I am Cameroonian.,,,Sono camerunese.,['Sono camerunense.'],False,False,False
I am Congolese.,,,Sono congolese.,['Sono congolese.'],False,False,True
I am Congolese.,,,Sono congolese.,['Sono congolese.'],False,False,True
I am Colombian.,Sono colombiano.,Sono colombiana.,,['Sono colombiano.'],True,False,False
I am Comoran.,Sono comoriano.,Sono comoriana.,,['Sono Comorano.'],False,False,False
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,['Sono Capoverdiano.'],True,False,False
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,['Sono costaricano.'],True,False,False
I am Cuban.,Sono cubano.,Sono cubana.,,['Sono cubano.'],True,False,False
I am Cypriot.,,,Sono cipriota.,['Sono cipriota.'],False,False,True
I am Czech.,Sono ceco.,Sono ceca.,,['Sono ceco.'],True,False,False
I am German.,Sono tedesco.,Sono tedesca.,,['Sono tedesco.'],True,False,False
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,['Sono Djibouti.'],False,False,False
I am Dominican.,Sono dominicano.,Sono dominicana.,,['Sono Dominicano.'],True,False,False
I am Danish.,,,Sono danese.,['Sono danese.'],False,False,True
I am Dominican.,Sono dominicano.,Sono dominicana.,,['Sono Dominicano.'],True,False,False
I am Algerian.,Sono algerino.,Sono algerina.,,['Sono algerino.'],True,False,False
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,['Sono ecuadoriano.'],False,False,False
I am Egyptian.,Sono egiziano.,Sono egiziana.,,['Sono egiziano.'],True,False,False
I am Eritrean.,Sono eritreo.,Sono eritrea.,,['Sono eritreo.'],True,False,False
I am Spanish.,Sono spagnolo.,Sono spagnola.,,['Sono spagnolo.'],True,False,False
I am Estonian.,,,Sono estone.,['Sono estone.'],False,False,True
I am Ethiopian.,,,Sono etiope.,['Sono etiope.'],False,False,True
I am Finnish.,,,Sono finlandese.,['Sono finlandese.'],False,False,True
I am Fijian.,Sono figiano.,Sono figiana.,,['Sono fijiano.'],False,False,False
I am French.,,,Sono francese.,['Sono francese.'],False,False,True
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,['Sono Micronesiano.'],True,False,False
I am Gabonese.,,,Sono gabonese.,['Sono gabonese.'],False,False,True
I am British.,Sono britannico.,Sono britannica.,,['Sono britannico.'],True,False,False
I am Georgian.,Sono georgiano.,Sono georgiana.,,['Sono georgiano.'],True,False,False
I am Ghanaian.,,,Sono ghanese.,['Sono ghanese.'],False,False,True
I am Guinean.,Sono guineano.,Sono guineana.,,['Sono guineano.'],True,False,False
I am Gambian.,Sono gambiano.,Sono gambiana.,,['Sono gambiano.'],True,False,False
I am Guinea-Bissauan.,,,Sono guineense.,['Sono della Guinea-Bissau.'],False,False,False
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,['Sono della Guinea Equatoriale.'],False,False,False
I am Greek.,Sono greco.,Sono greca.,,['Sono greco.'],True,False,False
I am Grenadian.,Sono grenadino.,Sono grenadina.,,['Sono Grenadino.'],True,False,False
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,['Sono guatemalteco.'],True,False,False
I am Guyanese.,,,Sono guyanese.,['Sono guyanese.'],False,False,True
I am Honduran.,Sono honduregno.,Sono honduregna.,,['Sono honduregno.'],True,False,False
I am Croatian.,Sono croato.,Sono croata.,,['Sono croato.'],True,False,False
I am Haitian.,Sono haitiano.,Sono haitiana.,,['Sono haitiano.'],True,False,False
I am Hungarian.,,,Sono ungherese.,['Sono ungherese.'],False,False,True
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,['Sono indonesiano.'],True,False,False
I am Indian.,Sono indiano.,Sono indiana.,,['Sono indiano.'],True,False,False
I am Irish.,,,Sono irlandese.,['Sono irlandese.'],False,False,True
I am Iranian.,Sono iraniano.,Sono iraniana.,,['Sono iraniano.'],True,False,False
