eng,fra_m,fra_f,fra_n,extracted,is_m,is_f,is_n
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,['Je suis Afghan.'],True,False,False
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"['Je suis angolais.', 'Je suis angolaise.']",True,True,False
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,['Je suis albanais.'],True,False,False
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,['Je suis andorran.'],True,False,False
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,['Je suis émirati.'],False,False,False
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,['Je suis argentin.'],True,False,False
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,['Je suis arménien.'],True,False,False
I am Antiguan.,,,Je suis Antiguaise.,"['Je suis Antiguais.', 'Je suis Antiguaise.']",False,False,True
I am Australian.,Je suis Australien.,Je suis Australienne.,,['Je suis australien.'],True,False,False
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,['Je suis autrichien.'],True,False,False
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,['Je suis azerbaïdjanais.'],True,False,False
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,['Je suis burundais.'],True,False,False
I am Belgian.,,,Je suis Belge.,['Je suis belge.'],False,False,True
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,['Je suis béninois.'],True,False,False
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,['Je suis Burkinabé.'],True,False,False
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"['Je suis bangladais.', 'Je suis bangladaise.']",True,True,False
I am Bulgarian.,,,Je suis Bulgare.,['Je suis Bulgare.'],False,False,True
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"['Je suis bahreïnien.', 'Je suis bahreïnienne.']",True,True,False
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,['Je suis bahaméen.'],False,False,False
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"['Je suis bosnien.', 'Je suis bosnienne.']",True,True,False
I am Belarusian.,,,Je suis Biélorusse.,['Je suis biélorusse.'],False,False,True
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,['Je suis Bélizien.'],True,False,False
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,['Je suis bolivien.'],True,False,False
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"['Je suis brésilien.', 'Je suis brésilienne.']",True,True,False
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"['Je suis Barbadien.', 'Je suis Barbadienne.']",True,True,False
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,['Je suis brunéien.'],True,False,False
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,['Je suis Bhoutanais.'],True,False,False
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,['Je suis Motswana.'],False,False,False
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,['Je suis centrafricain.'],True,False,False
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"['Je suis canadien.', 'Je suis canadienne.']",True,True,False
I am Swiss.,,,Je suis Suisse.,['Je suis suisse.'],False,False,True
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"['Je suis chilien.', 'Je suis chilienne.']",True,True,False
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,['Je suis chinois.'],True,False,False
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"['Je suis Ivoirien.', 'Je suis Ivoirienne.']",True,True,False
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,['Je suis Camerounais.'],True,False,False
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,['Je suis congolais.'],True,False,False
