eng,it_m,it_f,it_n,output
I am Afghan.,Sono afghano.,Sono afghana.,,"Certainly! The translation of ""I am Afghan"" into Italian is ""Sono afghano"" if you are male, or ""Sono afghana"" if you are female."
I am Angolan.,Sono angolano.,Sono angolana.,,"Sure! The translation of ""I am Angolan"" into Italian is ""Sono angolano"" if you are male, or ""Sono angolana"" if you are female."
I am Albanian.,,,Sono albanese.,"The translation of ""I am Albanian"" into Italian is ""Sono albanese."""
I am Andorran.,Sono andorrano.,Sono andorrana.,,"Sure! The translation of ""I am Andorran"" into Italian is ""Sono andorrano"" if you are male, or ""Sono andorrana"" if you are female."
I am Emirati.,Sono emiratino.,Sono emiratina.,,"The translation of ""I am Emirati"" into Italian is ""Sono emiratino"" for a male speaker or ""Sono emiratina"" for a female speaker."
I am Argentine.,Sono argentino.,Sono argentina.,,"Certainly! The translation of ""I am Argentine"" into Italian is ""Sono argentino"" if you are male, or ""Sono argentina"" if you are female."
I am Armenian.,Sono armeno.,Sono armena.,,"Certainly! The sentence ""I am Armenian"" can be translated into Italian as ""Sono armeno"" if you are male, or ""Sono armena"" if you are female."
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"The translation of ""I am Antiguan"" into Italian is ""Sono antiguano"" if you are male, or ""Sono antiguana"" if you are female."
I am Australian.,Sono australiano.,Sono australiana.,,"Certainly! The translation of ""I am Australian"" into Italian is ""Sono australiano"" if you are male, or ""Sono australiana"" if you are female."
I am Austrian.,Sono austriaco.,Sono austriaca.,,"Certainly! The translation of ""I am Austrian"" into Italian is ""Sono austriaco"" if you are male, or ""Sono austriaca"" if you are female."
I am Azerbaijani.,Sono azero.,Sono azera.,,"Certainly! The translation of ""I am Azerbaijani"" into Italian is ""Sono azero."""
I am Burundian.,,,Sono burundese.,"Sure! The sentence ""I am Burundian"" can be translated into Italian as ""Sono burundese."""
I am Belgian.,,,Sono belga.,"Certainly! The translation of ""I am Belgian"" into Italian is ""Sono belga."""
I am Beninese.,,,Sono beninese.,"Certainly! The translation of ""I am Beninese"" into Italian is ""Sono beninese."""
I am Burkinabe.,,,,"The translation of ""I am Burkinabe"" into Italian is ""Sono burkinabé."""
I am Bangladeshi.,,,Sono bangladese.,"The translation of ""I am Bangladeshi"" into Italian is ""Sono bengalese."""
