eng,fra_m,fra_f,fra_n,extracted
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"['Je suis Afghan.', 'Je suis Afghane.']"
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"['Je suis Angolais.', 'Je suis Angolaise.']"
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"['Je suis albanais.', 'Je suis albanaise.']"
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"['Je suis Andorran.', 'Je suis Andorrane.']"
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"['Je suis Émirati.', 'Je suis Émiratie.']"
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"['Je suis Argentin.', 'Je suis Argentine.']"
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"['Je suis arménien.', 'Je suis arménienne.']"
I am Antiguan.,,,Je suis Antiguaise.,"['Je suis Antiguais.', 'Je suis Antiguaise.']"
I am Australian.,Je suis Australien.,Je suis Australienne.,,"['Je suis australien.', 'Je suis australienne.']"
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"['Je suis Autrichien.', 'Je suis Autrichienne.']"
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"['Je suis azerbaïdjanais.', 'Je suis azerbaïdjanaise.']"
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"['Je suis Burundais.', 'Je suis Burundaise.']"
I am Belgian.,,,Je suis Belge.,['Je suis Belge.']
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"['Je suis Béninois.', 'Je suis Béninoise.']"
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"['Je suis Burkinabé.', 'Je suis Burkinabée.']"
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"['Je suis Bangladais.', 'Je suis Bangladaise.']"
I am Bulgarian.,,,Je suis Bulgare.,['Je suis bulgare.']
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"['Je suis Bahreïnien.', 'Je suis Bahreïnienne.']"
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"['Je suis Bahaméen.', 'Je suis Bahaméenne.']"
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,['Je suis Bosniaque.']
I am Belarusian.,,,Je suis Biélorusse.,['Je suis Biélorusse.']
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"['Je suis Bélizien.', 'Je suis Bélizienne.']"
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"['Je suis bolivien.', 'Je suis bolivienne.']"
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"['Je suis Brésilien.', 'Je suis Brésilienne.']"
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"['Je suis Barbadien.', 'Je suis Barbadienne.']"
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"['Je suis Brunéien.', 'Je suis Brunéienne.']"
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"['Je suis Bhoutanais.', 'Je suis Bhoutanaise.']"
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,['Je suis Motswana.']
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"['Je suis Centrafricain.', 'Je suis Centrafricaine.']"
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"['Je suis Canadien.', 'Je suis Canadienne.']"
I am Swiss.,,,Je suis Suisse.,['Je suis Suisse.']
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"['Je suis Chilien.', 'Je suis Chilienne.']"
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"['Je suis chinois.', 'Je suis chinoise.']"
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"['Je suis Ivoirien.', 'Je suis Ivoirienne.']"
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"['Je suis Camerounais.', 'Je suis Camerounaise.']"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"['Je suis Congolais.', 'Je suis Congolaise.']"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"['Je suis Congolais.', 'Je suis Congolaise.']"
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"['Je suis Colombien.', 'Je suis Colombienne.']"
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"['Je suis Comorien.', 'Je suis Comorienne.']"
