name,demonym,sentence
Afghanistan,Afghan,"{'m': None, 'f': None, 'n': 'I am Afghan.'}"
Angola,Angolan,"{'m': None, 'f': None, 'n': 'I am Angolan.'}"
Albania,Albanian,"{'m': None, 'f': None, 'n': 'I am Albanian.'}"
Andorra,Andorran,"{'m': None, 'f': None, 'n': 'I am Andorran.'}"
United Arab Emirates,Emirati,"{'m': None, 'f': None, 'n': 'I am Emirati.'}"
Argentina,Argentine,"{'m': None, 'f': None, 'n': 'I am Argentine.'}"
Armenia,Armenian,"{'m': None, 'f': None, 'n': 'I am Armenian.'}"
Antigua and Barbuda,Antiguan,"{'m': None, 'f': None, 'n': 'I am Antiguan.'}"
Australia,Australian,"{'m': None, 'f': None, 'n': 'I am Australian.'}"
Austria,Austrian,"{'m': None, 'f': None, 'n': 'I am Austrian.'}"
Azerbaijan,Azerbaijani,"{'m': None, 'f': None, 'n': 'I am Azerbaijani.'}"
Burundi,Burundian,"{'m': None, 'f': None, 'n': 'I am Burundian.'}"
Belgium,Belgian,"{'m': None, 'f': None, 'n': 'I am Belgian.'}"
Benin,Beninese,"{'m': None, 'f': None, 'n': 'I am Beninese.'}"
Burkina Faso,Burkinabe,"{'m': None, 'f': None, 'n': 'I am Burkinabe.'}"
Bangladesh,Bangladeshi,"{'m': None, 'f': None, 'n': 'I am Bangladeshi.'}"
Bulgaria,Bulgarian,"{'m': None, 'f': None, 'n': 'I am Bulgarian.'}"
Bahrain,Bahraini,"{'m': None, 'f': None, 'n': 'I am Bahraini.'}"
Bahamas,Bahamian,"{'m': None, 'f': None, 'n': 'I am Bahamian.'}"
Bosnia and Herzegovina,Bosnian,"{'m': None, 'f': None, 'n': 'I am Bosnian.'}"
Belarus,Belarusian,"{'m': None, 'f': None, 'n': 'I am Belarusian.'}"
Belize,Belizean,"{'m': None, 'f': None, 'n': 'I am Belizean.'}"
Bolivia,Bolivian,"{'m': None, 'f': None, 'n': 'I am Bolivian.'}"
Brazil,Brazilian,"{'m': None, 'f': None, 'n': 'I am Brazilian.'}"
Barbados,Barbadian,"{'m': None, 'f': None, 'n': 'I am Barbadian.'}"
Brunei,Bruneian,"{'m': None, 'f': None, 'n': 'I am Bruneian.'}"
Bhutan,Bhutanese,"{'m': None, 'f': None, 'n': 'I am Bhutanese.'}"
Botswana,Motswana,"{'m': None, 'f': None, 'n': 'I am Motswana.'}"
Central African Republic,Central African,"{'m': None, 'f': None, 'n': 'I am Central African.'}"
Canada,Canadian,"{'m': None, 'f': None, 'n': 'I am Canadian.'}"
Switzerland,Swiss,"{'m': None, 'f': None, 'n': 'I am Swiss.'}"
Chile,Chilean,"{'m': None, 'f': None, 'n': 'I am Chilean.'}"
China,Chinese,"{'m': None, 'f': None, 'n': 'I am Chinese.'}"
Ivory Coast,Ivorian,"{'m': None, 'f': None, 'n': 'I am Ivorian.'}"
Cameroon,Cameroonian,"{'m': None, 'f': None, 'n': 'I am Cameroonian.'}"
DR Congo,Congolese,"{'m': None, 'f': None, 'n': 'I am Congolese.'}"
Republic of the Congo,Congolese,"{'m': None, 'f': None, 'n': 'I am Congolese.'}"
Colombia,Colombian,"{'m': None, 'f': None, 'n': 'I am Colombian.'}"
Comoros,Comoran,"{'m': None, 'f': None, 'n': 'I am Comoran.'}"
Cape Verde,Cape Verdian,"{'m': None, 'f': None, 'n': 'I am Cape Verdian.'}"
Costa Rica,Costa Rican,"{'m': None, 'f': None, 'n': 'I am Costa Rican.'}"
Cuba,Cuban,"{'m': None, 'f': None, 'n': 'I am Cuban.'}"
Cyprus,Cypriot,"{'m': None, 'f': None, 'n': 'I am Cypriot.'}"
Czechia,Czech,"{'m': None, 'f': None, 'n': 'I am Czech.'}"
Germany,German,"{'m': None, 'f': None, 'n': 'I am German.'}"
Djibouti,Djibouti,"{'m': None, 'f': None, 'n': 'I am Djibouti.'}"
Dominica,Dominican,"{'m': None, 'f': None, 'n': 'I am Dominican.'}"
Denmark,Danish,"{'m': None, 'f': None, 'n': 'I am Danish.'}"
Dominican Republic,Dominican,"{'m': None, 'f': None, 'n': 'I am Dominican.'}"
Algeria,Algerian,"{'m': None, 'f': None, 'n': 'I am Algerian.'}"
Ecuador,Ecuadorean,"{'m': None, 'f': None, 'n': 'I am Ecuadorean.'}"
Egypt,Egyptian,"{'m': None, 'f': None, 'n': 'I am Egyptian.'}"
Eritrea,Eritrean,"{'m': None, 'f': None, 'n': 'I am Eritrean.'}"
Spain,Spanish,"{'m': None, 'f': None, 'n': 'I am Spanish.'}"
Estonia,Estonian,"{'m': None, 'f': None, 'n': 'I am Estonian.'}"
Ethiopia,Ethiopian,"{'m': None, 'f': None, 'n': 'I am Ethiopian.'}"
Finland,Finnish,"{'m': None, 'f': None, 'n': 'I am Finnish.'}"
Fiji,Fijian,"{'m': None, 'f': None, 'n': 'I am Fijian.'}"
France,French,"{'m': None, 'f': None, 'n': 'I am French.'}"
Micronesia,Micronesian,"{'m': None, 'f': None, 'n': 'I am Micronesian.'}"
Gabon,Gabonese,"{'m': None, 'f': None, 'n': 'I am Gabonese.'}"
United Kingdom,British,"{'m': None, 'f': None, 'n': 'I am British.'}"
Georgia,Georgian,"{'m': None, 'f': None, 'n': 'I am Georgian.'}"
Ghana,Ghanaian,"{'m': None, 'f': None, 'n': 'I am Ghanaian.'}"
Guinea,Guinean,"{'m': None, 'f': None, 'n': 'I am Guinean.'}"
Gambia,Gambian,"{'m': None, 'f': None, 'n': 'I am Gambian.'}"
Guinea-Bissau,Guinea-Bissauan,"{'m': None, 'f': None, 'n': 'I am Guinea-Bissauan.'}"
Equatorial Guinea,Equatorial Guinean,"{'m': None, 'f': None, 'n': 'I am Equatorial Guinean.'}"
Greece,Greek,"{'m': None, 'f': None, 'n': 'I am Greek.'}"
Grenada,Grenadian,"{'m': None, 'f': None, 'n': 'I am Grenadian.'}"
Guatemala,Guatemalan,"{'m': None, 'f': None, 'n': 'I am Guatemalan.'}"
Guyana,Guyanese,"{'m': None, 'f': None, 'n': 'I am Guyanese.'}"
Honduras,Honduran,"{'m': None, 'f': None, 'n': 'I am Honduran.'}"
Croatia,Croatian,"{'m': None, 'f': None, 'n': 'I am Croatian.'}"
Haiti,Haitian,"{'m': None, 'f': None, 'n': 'I am Haitian.'}"
Hungary,Hungarian,"{'m': None, 'f': None, 'n': 'I am Hungarian.'}"
Indonesia,Indonesian,"{'m': None, 'f': None, 'n': 'I am Indonesian.'}"
India,Indian,"{'m': None, 'f': None, 'n': 'I am Indian.'}"
Ireland,Irish,"{'m': None, 'f': None, 'n': 'I am Irish.'}"
Iran,Iranian,"{'m': None, 'f': None, 'n': 'I am Iranian.'}"
Iraq,Iraqi,"{'m': None, 'f': None, 'n': 'I am Iraqi.'}"
Iceland,Icelander,"{'m': None, 'f': None, 'n': 'I am Icelander.'}"
Israel,Israeli,"{'m': None, 'f': None, 'n': 'I am Israeli.'}"
Italy,Italian,"{'m': None, 'f': None, 'n': 'I am Italian.'}"
Jamaica,Jamaican,"{'m': None, 'f': None, 'n': 'I am Jamaican.'}"
Jordan,Jordanian,"{'m': None, 'f': None, 'n': 'I am Jordanian.'}"
Japan,Japanese,"{'m': None, 'f': None, 'n': 'I am Japanese.'}"
Kazakhstan,Kazakhstani,"{'m': None, 'f': None, 'n': 'I am Kazakhstani.'}"
Kenya,Kenyan,"{'m': None, 'f': None, 'n': 'I am Kenyan.'}"
Kyrgyzstan,Kirghiz,"{'m': None, 'f': None, 'n': 'I am Kirghiz.'}"
Cambodia,Cambodian,"{'m': None, 'f': None, 'n': 'I am Cambodian.'}"
Kiribati,I-Kiribati,"{'m': None, 'f': None, 'n': 'I am I-Kiribati.'}"
Saint Kitts and Nevis,Kittitian or Nevisian,"{'m': None, 'f': None, 'n': 'I am Kittitian or Nevisian.'}"
South Korea,South Korean,"{'m': None, 'f': None, 'n': 'I am South Korean.'}"
Kuwait,Kuwaiti,"{'m': None, 'f': None, 'n': 'I am Kuwaiti.'}"
Laos,Laotian,"{'m': None, 'f': None, 'n': 'I am Laotian.'}"
Lebanon,Lebanese,"{'m': None, 'f': None, 'n': 'I am Lebanese.'}"
Liberia,Liberian,"{'m': None, 'f': None, 'n': 'I am Liberian.'}"
Libya,Libyan,"{'m': None, 'f': None, 'n': 'I am Libyan.'}"
Saint Lucia,Saint Lucian,"{'m': None, 'f': None, 'n': 'I am Saint Lucian.'}"
Liechtenstein,Liechtensteiner,"{'m': None, 'f': None, 'n': 'I am Liechtensteiner.'}"
Sri Lanka,Sri Lankan,"{'m': None, 'f': None, 'n': 'I am Sri Lankan.'}"
Lesotho,Mosotho,"{'m': None, 'f': None, 'n': 'I am Mosotho.'}"
Lithuania,Lithuanian,"{'m': None, 'f': None, 'n': 'I am Lithuanian.'}"
Luxembourg,Luxembourger,"{'m': None, 'f': None, 'n': 'I am Luxembourger.'}"
Latvia,Latvian,"{'m': None, 'f': None, 'n': 'I am Latvian.'}"
Morocco,Moroccan,"{'m': None, 'f': None, 'n': 'I am Moroccan.'}"
Monaco,Monegasque,"{'m': None, 'f': None, 'n': 'I am Monegasque.'}"
Moldova,Moldovan,"{'m': None, 'f': None, 'n': 'I am Moldovan.'}"
Madagascar,Malagasy,"{'m': None, 'f': None, 'n': 'I am Malagasy.'}"
Maldives,Maldivan,"{'m': None, 'f': None, 'n': 'I am Maldivan.'}"
Mexico,Mexican,"{'m': None, 'f': None, 'n': 'I am Mexican.'}"
Marshall Islands,Marshallese,"{'m': None, 'f': None, 'n': 'I am Marshallese.'}"
North Macedonia,Macedonian,"{'m': None, 'f': None, 'n': 'I am Macedonian.'}"
Mali,Malian,"{'m': None, 'f': None, 'n': 'I am Malian.'}"
Malta,Maltese,"{'m': None, 'f': None, 'n': 'I am Maltese.'}"
Myanmar,Burmese,"{'m': None, 'f': None, 'n': 'I am Burmese.'}"
Montenegro,Montenegrin,"{'m': None, 'f': None, 'n': 'I am Montenegrin.'}"
Mongolia,Mongolian,"{'m': None, 'f': None, 'n': 'I am Mongolian.'}"
Mozambique,Mozambican,"{'m': None, 'f': None, 'n': 'I am Mozambican.'}"
Mauritania,Mauritanian,"{'m': None, 'f': None, 'n': 'I am Mauritanian.'}"
Mauritius,Mauritian,"{'m': None, 'f': None, 'n': 'I am Mauritian.'}"
Malawi,Malawian,"{'m': None, 'f': None, 'n': 'I am Malawian.'}"
Malaysia,Malaysian,"{'m': None, 'f': None, 'n': 'I am Malaysian.'}"
Namibia,Namibian,"{'m': None, 'f': None, 'n': 'I am Namibian.'}"
Niger,Nigerien,"{'m': None, 'f': None, 'n': 'I am Nigerien.'}"
Nigeria,Nigerian,"{'m': None, 'f': None, 'n': 'I am Nigerian.'}"
Nicaragua,Nicaraguan,"{'m': None, 'f': None, 'n': 'I am Nicaraguan.'}"
Netherlands,Dutch,"{'m': None, 'f': None, 'n': 'I am Dutch.'}"
Norway,Norwegian,"{'m': None, 'f': None, 'n': 'I am Norwegian.'}"
Nepal,Nepalese,"{'m': None, 'f': None, 'n': 'I am Nepalese.'}"
Nauru,Nauruan,"{'m': None, 'f': None, 'n': 'I am Nauruan.'}"
New Zealand,New Zealander,"{'m': None, 'f': None, 'n': 'I am New Zealander.'}"
Oman,Omani,"{'m': None, 'f': None, 'n': 'I am Omani.'}"
Pakistan,Pakistani,"{'m': None, 'f': None, 'n': 'I am Pakistani.'}"
Panama,Panamanian,"{'m': None, 'f': None, 'n': 'I am Panamanian.'}"
Peru,Peruvian,"{'m': None, 'f': None, 'n': 'I am Peruvian.'}"
Philippines,Filipino,"{'m': None, 'f': None, 'n': 'I am Filipino.'}"
Palau,Palauan,"{'m': None, 'f': None, 'n': 'I am Palauan.'}"
Papua New Guinea,Papua New Guinean,"{'m': None, 'f': None, 'n': 'I am Papua New Guinean.'}"
Poland,Polish,"{'m': None, 'f': None, 'n': 'I am Polish.'}"
North Korea,North Korean,"{'m': None, 'f': None, 'n': 'I am North Korean.'}"
Portugal,Portuguese,"{'m': None, 'f': None, 'n': 'I am Portuguese.'}"
Paraguay,Paraguayan,"{'m': None, 'f': None, 'n': 'I am Paraguayan.'}"
Qatar,Qatari,"{'m': None, 'f': None, 'n': 'I am Qatari.'}"
Romania,Romanian,"{'m': None, 'f': None, 'n': 'I am Romanian.'}"
Russia,Russian,"{'m': None, 'f': None, 'n': 'I am Russian.'}"
Rwanda,Rwandan,"{'m': None, 'f': None, 'n': 'I am Rwandan.'}"
Saudi Arabia,Saudi Arabian,"{'m': None, 'f': None, 'n': 'I am Saudi Arabian.'}"
Sudan,Sudanese,"{'m': None, 'f': None, 'n': 'I am Sudanese.'}"
Senegal,Senegalese,"{'m': None, 'f': None, 'n': 'I am Senegalese.'}"
Singapore,Singaporean,"{'m': None, 'f': None, 'n': 'I am Singaporean.'}"
Solomon Islands,Solomon Islander,"{'m': None, 'f': None, 'n': 'I am Solomon Islander.'}"
Sierra Leone,Sierra Leonean,"{'m': None, 'f': None, 'n': 'I am Sierra Leonean.'}"
El Salvador,Salvadoran,"{'m': None, 'f': None, 'n': 'I am Salvadoran.'}"
San Marino,Sammarinese,"{'m': None, 'f': None, 'n': 'I am Sammarinese.'}"
Somalia,Somali,"{'m': None, 'f': None, 'n': 'I am Somali.'}"
Serbia,Serbian,"{'m': None, 'f': None, 'n': 'I am Serbian.'}"
