eng,it_m,it_f,it_n,output
I am Afghan.,Sono afghano.,Sono afghana.,,"Sono afgano/a.

* **Sono afgano** is used for a male speaker.
* **Sono afgana** is used for a female speaker.
"
I am Angolan.,Sono angolano.,Sono angolana.,,"Sono angolano/a.

* **Sono angolano** is used if the speaker is male.
* **Sono angolana** is used if the speaker is female.
"
I am Albanian.,,,Sono albanese.,"Sono albanese.
"
I am Andorran.,Sono andorrano.,Sono andorrana.,,"Sono andorrano.
"
I am Emirati.,Sono emiratino.,Sono emiratina.,,"The most straightforward translation is:  **Sono emiratino/a.**

* **Sono** = I am
* **emiratino** = Emirati (masculine)
* **emiratina** = Emirati (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Argentine.,Sono argentino.,Sono argentina.,,"Sono argentino/a.

* **Sono argentino** is used if the speaker is male.
* **Sono argentina** is used if the speaker is female.
"
I am Armenian.,Sono armeno.,Sono armena.,,"Sono armeno/a.

* **Sono armeno** is used if the speaker is male.
* **Sono armena** is used if the speaker is female.
"
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"The most straightforward translation is: **Sono antiguano/a.**

* **Sono** means ""I am""
* **antiguano** is the masculine form of Antiguan
* **antiguana** is the feminine form of Antiguan

You would use *antiguano* if you are a male and *antiguana* if you are a female.
"
I am Australian.,Sono australiano.,Sono australiana.,,"Sono australiano/a.

* **Sono australiano** is used if the speaker is male.
* **Sono australiana** is used if the speaker is female.
"
I am Austrian.,Sono austriaco.,Sono austriaca.,,"Sono austriaco/a.

* **Sono austriaco** is used if the speaker is male.
* **Sono austriaca** is used if the speaker is female.
"
I am Azerbaijani.,Sono azero.,Sono azera.,,"Sono azero/a.

* **Sono azero** is used for a male speaker.
* **Sono azera** is used for a female speaker.
"
I am Burundian.,,,Sono burundese.,"Sono burundese.
"
I am Belgian.,,,Sono belga.,"Sono belga.
"
I am Beninese.,,,Sono beninese.,"Sono beninese.
"
I am Burkinabe.,,,,"The most straightforward translation is: **Sono burkinabé.**
"
I am Bangladeshi.,,,Sono bangladese.,"Sono bangladese.
"
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"Sono bulgaro/a.

* **Sono bulgaro** is used if the speaker is male.
* **Sono bulgara** is used if the speaker is female.
"
I am Bahraini.,,,Sono bahreinita.,"Sono bahreinita.  (for a female speaker)

Sono bahreinita/o. (for a male speaker, using the masculine form as a general term or if gender is unknown)

Sono del Bahrain. (This is a more formal and literal translation meaning ""I am from Bahrain."")
"
I am Bahamian.,,,Sono bahamense.,"Sono bahamense.
"
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"Sono bosniaco/bosniaca.

* **Sono bosniaco** is used if the speaker is male.
* **Sono bosniaca** is used if the speaker is female.
"
