eng,deu_m,deu_f,deu_n,extracted
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"['Ich bin Afghane.', 'Ich bin Afghanin.']"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"['Ich bin Angolaner.', 'Ich bin in.']"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"['Ich bin Albaner.', 'Ich bin Albanerin.']"
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,['Ich bin Andorraner.']
I am Emirati.,,,,['Ich bin Emirati.']
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"['Ich bin Argentinier.', 'Ich bin in.']"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,['Ich bin armenischer Herkunft. \nIch komme aus Armenien.']
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,[]
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"['Ich bin Australier.', 'Ich bin Australierin.']"
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"['Ich bin Österreicher.', 'Ich bin in.']"
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,[]
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,['Ich bin Burundier.']
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"['Ich bin Belgier.', 'Ich bin Belgierin.', 'Ich bin belgisch.']"
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"['Ich bin Beniner.', 'Ich bin Beninerin.']"
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"['Ich bin Burkinaberin.', 'Ich bin Burkinaber.']"
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,['Ich komme aus Bangladesch.']
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,[]
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,[]
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"['Ich komme von den Bahamas.', 'Ich bin von den Bahamas.']"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,[]
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,['I come from Belarus.']
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"['Ich komme aus Belize.', 'I come from Belize.)']"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,[]
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"['Ich bin Brasilianer.', 'Ich bin Brasilianerin.', 'Ich bin brasilianisch.']"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,['Ich bin Barbader.']
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,[]
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"['Ich bin bhutanischer Staatsbürger.', 'Ich bin bhutanischer feminine - citizen of Bhutan).']"
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"['Ich bin ein.', 'Ich bin feminine).']"
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,[]
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,[]
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"['Ich bin Schweizer. (masculine.', 'Ich bin Schweizer. gender neutral)\nIch bin Schweizerin.']"
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,['Ich bin Chilene.']
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,['Ich bin Chinesisch.']
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,['Ich komme aus der Elfenbeinküste.']
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"['Ich bin Kameruner.', 'Ich bin Kamerunerin.']"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"['Ich bin Kongolese.', 'Ich bin Kongolesin.']"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"['Ich bin Kongolese.', 'Ich bin Kongolesin.']"
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,['Ich komme aus Kolumbien. \nIch bin aus Kolumbien.']
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"['Ich bin Komorer.', 'Ich bin Komorerin.']"
I am Cape Verdian.,,,,[]
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,[]
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,['Ich bin Kubanerin.']
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,['Ich bin Zyprer.']
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,[]
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"['Ich bin Deutscher.', 'Ich bin Deutsche.', 'Ich bin deutsch.']"
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,[]
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,['Ich bin Dominikaner.']
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"['Ich bin Däne.', 'Ich bin Dänin.']"
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,['Ich bin Dominikaner.']
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"['Ich bin Algerier.', 'Ich bin Algerierin.']"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"['Ich bin Ecuadorianer.', 'Ich bin Ecuadorianerin.', 'You can also say:\n\nIch komme aus Ecuador.']"
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,[]
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"['Ich bin Eritreer.', 'Ich bin Eritreerin.']"
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"['Ich bin Spanier.', 'Ich bin Spanierin.', 'Ich bin Spanisch.']"
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"['Ich bin Estin.', 'Ich bin Este.']"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,[]
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,"['Ich bin Finne.', 'Ich bin Finnin.']"
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,"['Ich komme aus Fidschi.', 'I come from Fiji.']"
I am French.,Ich bin Franzose.,Ich bin  Französin.,,"['Ich bin Franzose.', 'Ich bin Französin.']"
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,['Ich bin Mikronesier.']
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,['Ich bin Gabuner.']
I am British.,Ich bin Brite.,Ich bin  Britin.,,['Ich bin britisch.']
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,[]
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,"['Ich bin Ghanaer.', 'Ich bin Ghanaerin.']"
