eng,it_m,it_f,it_n,output
I am Afghan.,Sono afghano.,Sono afghana.,,"Sono afghano/a.


You need both the masculine and feminine forms because Italian adjectives and some nouns (like ""afghano/a"") change based on gender.  If you're a male, use ""Sono afghano."" If you're a female, use ""Sono afghana.""
"
I am Angolan.,Sono angolano.,Sono angolana.,,"Sono angolano/angolana.


You use *angolano* if you are a male, and *angolana* if you are a female.
"
I am Albanian.,,,Sono albanese.,"Sono albanese.
"
I am Andorran.,Sono andorrano.,Sono andorrana.,,"Sono andorrano/andorrana.


You need both the masculine (andorrano) and feminine (andorrana) forms because Italian adjectives, and therefore also nationalities used as adjectives,  agree with the gender of the person.  If you are a male, you would use ""andorrano"". If you are a female, you would use ""andorrana"".
"
I am Emirati.,Sono emiratino.,Sono emiratina.,,"Sono emiratino/emiratino.

If you are a woman, you would say: Sono emiratina.
"
I am Argentine.,Sono argentino.,Sono argentina.,,"Sono argentino/a.


You need both the masculine (argentino) and feminine (argentina) forms because the Italian adjective for nationality changes based on the gender of the speaker.  If you are male, use ""argentino."" If you are female, use ""argentina.""
"
I am Armenian.,Sono armeno.,Sono armena.,,"Sono armeno. (masculine)

Sono armena. (feminine)
"
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"Sono antiguano/antiguana.

Use *antiguano* if you are male and *antiguana* if you are female.
"
I am Australian.,Sono australiano.,Sono australiana.,,"Sono australiano/australiana.


You use *australiano* if you are a male and *australiana* if you are a female.
"
I am Austrian.,Sono austriaco.,Sono austriaca.,,"Sono austriaco/a.


You need to use *austriaco* if you are male and *austriaca* if you are female.
"
I am Azerbaijani.,Sono azero.,Sono azera.,,"Sono azero/a.

You use *azero* if you are a male and *azera* if you are a female.
"
I am Burundian.,,,Sono burundese.,"Sono burundese.
"
I am Belgian.,,,Sono belga.,"Sono belga.
"
I am Beninese.,,,Sono beninese.,"Sono beninese.
"
I am Burkinabe.,,,,"Sono burkinabé.
"
I am Bangladeshi.,,,Sono bangladese.,"Sono bengalese. (If you are male)

Sono bengalese. (If you are female)

The word ""bengalese"" is the same for both genders in Italian.
"
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"Sono bulgaro/bulgara.


You use ""bulgaro"" if you are a male and ""bulgara"" if you are a female.
"
I am Bahraini.,,,Sono bahreinita.,"Sono bahreinita.
"
I am Bahamian.,,,Sono bahamense.,"Sono bahamense (if you are male) or Sono bahamense (if you are female).

The word is the same for both genders.  You can also say ""Sono delle Bahamas"" (I am from the Bahamas), which is gender-neutral.
"
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"Sono bosniaco (masculine) or Sono bosniaca (feminine).
"
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"Sono bielorusso/bielorussa.


*  Use ""bielorusso"" if you are a male.
*  Use ""bielorussa"" if you are a female.
"
I am Belizean.,Sono beliziano.,Sono beliziana.,,"Sono beliziano/beliziana.


You use ""beliziano"" if you are a male, and ""beliziana"" if you are a female.
"
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"Sono boliviano/a.


You need to use *boliviano* if you are male and *boliviana* if you are female.
"
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"Sono brasiliano/a.


You need both the masculine and feminine forms because Italian adjectives, and therefore nationalities, agree with the gender of the person.

* **Sono brasiliano.** (masculine)
* **Sono brasiliana.** (feminine)
"
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"Sono barbadiano/a.

You need to use the correct ending depending on your gender:

* **barbadiano:** if you are male
* **barbadiana:** if you are female
"
I am Bruneian.,,,,"Sono bruneiano/a.


You need to use the correct ending depending on your gender:

* **bruneiano:** if you are male
* **bruneiana:** if you are female
"
I am Bhutanese.,,,Sono bhutanese.,"Sono bhutanese.
"
I am Motswana.,Sono botswano.,Sono botswana.,,"Sono Motswana.
"
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"The most straightforward translation is: **Sono centroafricano/a.**

You need to use the correct ending depending on your gender:

* **centroafricano:** if you are male
* **centroafricana:** if you are female


You could also say: **Vengo dall'Africa centrale.** (I come from Central Africa).  This is less literal but often sounds more natural.
"
I am Canadian.,,,Sono canadese.,"Sono canadese.
"
I am Swiss.,Sono svizzero.,Sono svizzera.,,"Sono svizzero/a.


You need both the masculine and feminine forms because the Italian adjective for Swiss changes based on gender.  Use *svizzero* if you are male and *svizzera* if you are female.
"
I am Chilean.,Sono cileno.,Sono cilena.,,"Sono cileno/cilena.


You use *cileno* if you are a male and *cilena* if you are a female.
"
I am Chinese.,,,Sono cinese.,"Sono cinese.
"
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"Sono ivoriano/ivoriana.


You use *ivoriano* if you are a male and *ivoriana* if you are a female.
"
I am Cameroonian.,,,Sono camerunese.,"Sono camerunese.
"
I am Congolese.,,,Sono congolese.,"Sono congolese.
"
I am Congolese.,,,Sono congolese.,"The most straightforward translation is: **Sono congolese.**

If you want to be more specific about your Congolese identity, considering there are two Congo countries, you could say:

* **Sono congolese (della Repubblica Democratica del Congo)** - I am Congolese (from the Democratic Republic of Congo)
* **Sono congolese (della Repubblica del Congo)** - I am Congolese (from the Republic of Congo)


You can also use these alternatives:

*"
I am Colombian.,Sono colombiano.,Sono colombiana.,,"Sono colombiano/a.


You need both the masculine and feminine forms because Italian adjectives, and therefore nationalities,  agree with the gender of the person.  Use *colombiano* if you are male and *colombiana* if you are female.
"
I am Comoran.,Sono comoriano.,Sono comoriana.,,"Sono comoriano/a.

You need both the masculine (comoriano) and feminine (comoriana) forms because Italian adjectives, and therefore nationalities,  agree with the gender of the person.  Without knowing the gender of the speaker, both forms should be given.
"
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"The most common and straightforward translation is:

**Sono capoverdiano/a.**

Use *capoverdiano* if you are male and *capoverdiana* if you are female.


You could also say:

**Vengo da Capo Verde.** (I come from Cape Verde) - This is a more general way of expressing your origin.

**Le mie origini sono capoverdiane.** (My origins are Cape Verdean) - This emphasizes your heritage.
"
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"Sono costaricano/costaricana.


You use *costaricano* if you are a male, and *costaricana* if you are a female.
"
I am Cuban.,Sono cubano.,Sono cubana.,,"Sono cubano/a.


You need both the masculine and feminine forms because Italian adjectives, and thus nationalities, agree with the gender of the person.

* **Sono cubano.** (masculine)
* **Sono cubana.** (feminine)
"
I am Cypriot.,,,Sono cipriota.,"Sono cipriota.
"
I am Czech.,Sono ceco.,Sono ceca.,,"Sono ceco (if you are male) or Sono ceca (if you are female).
"
I am German.,Sono tedesco.,Sono tedesca.,,"Sono tedesco. (masculine)

Sono tedesca. (feminine)
"
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,"The sentence ""I am Djibouti"" doesn't translate directly into Italian in a way that makes sense.  It's grammatically correct to say ""Io sono Gibuti,"" but it sounds very strange.  It would only be understandable in a very specific, metaphorical context, like a personification of the country.

If you're trying to express your nationality, you would say:

**Sono gibutiano/gibutiana.**  (I am Djiboutian - masculine"
I am Dominican.,Sono dominicano.,Sono dominicana.,,"The best translation depends on whether you mean Dominican as in from the Dominican Republic or from the Dominican Order (religious order).

* **From the Dominican Republic:**  Sono dominicano/a.  (Use *dominicano* if you are male, *dominicana* if you are female.)

* **From the Dominican Order:** Sono domenicano/a. (Use *domenicano* if you are male, *domenicana* if you are female.)
"
I am Danish.,,,Sono danese.,"Sono danese.
"
I am Dominican.,Sono dominicano.,Sono dominicana.,,"The most straightforward translation is: **Sono dominicano/a.**

You use *dominicano* if you are a male, and *dominicana* if you are a female.

You could also say: **Sono della Repubblica Dominicana.** (I am from the Dominican Republic). This is more formal and clarifies that you're referring to the country.  This form doesn't change based on gender.
"
I am Algerian.,Sono algerino.,Sono algerina.,,"Sono algerino/algerina.

Use *algerino* if you are male and *algerina* if you are female.
"
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"There are several ways to say ""I am Ecuadorian"" in Italian, depending on the nuance you want to convey:

* **Sono ecuadoriano/a.** (This is the most common and straightforward translation. Use *ecuadoriano* if you are male and *ecuadoriana* if you are female.)
* **Sono dell'Ecuador.** (This translates to ""I am from Ecuador"" and emphasizes your place of origin.)
* **Ho la nazionalità ecuadoriana.**"
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"Sono egiziano/egiziana.


If you are male, use ""egiziano"".  If you are female, use ""egiziana"".
"
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"Sono eritreo/a.


You need both the masculine (eritreo) and feminine (eritrea) forms because Italian adjectives, and therefore nationalities,  agree with the gender of the person.  If you are a male, you would use ""eritreo."" If you are a female, you would use ""eritrea.""
"
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"Sono spagnolo/spagnola.


You use *spagnolo* if you are a male, and *spagnola* if you are a female.
"
I am Estonian.,,,Sono estone.,"Sono estone.
"
I am Ethiopian.,,,Sono etiope.,"Sono etiope.
"
I am Finnish.,,,Sono finlandese.,"Sono finlandese.
"
I am Fijian.,Sono figiano.,Sono figiana.,,"Sono figiano/figiana.

You use *figiano* if you are a male and *figiana* if you are a female.
"
I am French.,,,Sono francese.,"Sono francese.
"
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"Sono micronesiano/a.


You need to use the correct ending depending on your gender:

* **micronesiano:** if you are male
* **micronesiana:** if you are female
"
I am Gabonese.,,,Sono gabonese.,"Sono gabonese.
"
I am British.,Sono britannico.,Sono britannica.,,"Sono britannico/a.


You need both the masculine (britannico) and feminine (britannica) forms because Italian adjectives agree with the gender of the subject.  If you are a male, use ""britannico."" If you are a female, use ""britannica.""
"
I am Georgian.,Sono georgiano.,Sono georgiana.,,"Sono georgiano/georgiana.


You use *georgiano* if you are a male and *georgiana* if you are a female.
"
I am Ghanaian.,,,Sono ghanese.,"Sono ghanese.
"
I am Guinean.,Sono guineano.,Sono guineana.,,"Sono guineano/a.


You need to use the correct gender ending.  If you are male, use *guineano*. If you are female, use *guineana*.
"
I am Gambian.,Sono gambiano.,Sono gambiana.,,"Sono gambiano/gambiana.


You use *gambiano* if you are a male and *gambiana* if you are a female.
"
I am Guinea-Bissauan.,,,Sono guineense.,"Sono guineense.
"
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,,"Sono equatoguineano/a.


You need both the masculine (equatoguineano) and feminine (equatoguineana) forms because Italian adjectives, and therefore also demonyms used as adjectives,  agree with the gender of the person.
"
I am Greek.,Sono greco.,Sono greca.,,"Sono greco/greca.


You need both the masculine and feminine forms because the Italian adjective for nationality changes depending on the gender of the speaker.

* **Sono greco:**  If you are a male.
* **Sono greca:** If you are a female.
"
I am Grenadian.,Sono grenadino.,Sono grenadina.,,"Sono grenadino/a.

You need to use *grenadino* if you are male and *grenadina* if you are female.
"
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,,"Sono guatemalteco/a.


You use *guatemalteco* if you are male and *guatemalteca* if you are female.
"
I am Guyanese.,,,Sono guyanese.,"Sono guyanese.
"
I am Honduran.,Sono honduregno.,Sono honduregna.,,"Sono honduregno/a.


You use *honduregno* if you are a male, and *honduregna* if you are a female.
"
I am Croatian.,Sono croato.,Sono croata.,,"Sono croato/a.


You need to use *croato* if you are a male and *croata* if you are a female.
"
I am Haitian.,Sono haitiano.,Sono haitiana.,,"Sono haitiano/a.


You need to use the correct ending depending on your gender:

* **haitiano:** if you are male
* **haitiana:** if you are female
"
I am Hungarian.,,,Sono ungherese.,"Sono ungherese.
"
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,,"Sono indonesiano/a.


You need both the masculine (indonesiano) and feminine (indonesiana) forms because Italian adjectives, and therefore nationalities,  agree with the gender of the person.  If you are a male, use ""indonesiano."" If you are a female, use ""indonesiana.""
"
I am Indian.,Sono indiano.,Sono indiana.,,"Sono indiano/indiana.


If you are male, use *indiano*.  If you are female, use *indiana*.
"
I am Irish.,,,Sono irlandese.,"Sono irlandese.
"
I am Iranian.,Sono iraniano.,Sono iraniana.,,"Sono iraniano/iraniana.


If you are male, use *iraniano*.  If you are female, use *iraniana*.
"
I am Iraqi.,Sono iracheno.,Sono irachena.,,"Sono iracheno/a.


You use *iracheno* if you are male and *irachena* if you are female.
"
I am Icelander.,,,Sono islandese.,"Sono islandese.
"
I am Israeli.,Sono israeliano.,Sono israeliana.,,"Sono israeliano. (masculine)

Sono israeliana. (feminine)
"
I am Italian.,Sono italiano.,Sono italiana.,,"Sono italiano/italiana.


You need both the masculine and feminine forms because the English sentence doesn't specify gender.  If you are a male, use *italiano*. If you are a female, use *italiana*.
"
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,,"Sono giamaicano/a.


You need both the masculine (giamaicano) and feminine (giamaicana) forms because Italian adjectives, and therefore nationalities, agree with the gender of the person.  If you're a man, you'd use ""Sono giamaicano."" If you're a woman, you'd use ""Sono giamaicana.""
"
I am Jordanian.,Sono giordano.,Sono giordana.,,"Sono giordano/giordana.


You use *giordano* if you are a male and *giordana* if you are a female.
"
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,,"Sono giapponese.
"
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,,"Sono kazako/kazaka.

Use *kazako* if you are male and *kazaka* if you are female.
"
I am Kenyan.,,,Sono keniota.,"Sono keniota.
"
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,,"Sono kirghiso/a.


You need both the masculine (kirghiso) and feminine (kirghisa) forms because Italian adjectives, and therefore also demonyms/nationalities used as adjectives,  agree with the gender of the person speaking.  If a male is speaking, he would use ""kirghiso"". If a female is speaking, she would use ""kirghisa"".
"
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,,"Sono cambogiano/cambogiana.


You use *cambogiano* if you are a male and *cambogiana* if you are a female.
"
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,,"Sono gilbertese/gilbertesina.  (or) Sono di Kiribati.

While a direct translation might be tempting, ""I-Kiribati"" refers to the people and culture of Kiribati.  Italians wouldn't understand ""I-Kiribati"" as a nationality.  Therefore, ""Sono gilbertese/gilbertesina"" (masculine/feminine forms for a person from the Gilbert Islands, the former name of Kiribati) or the more"
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"Sono Kittitian-Nevisian/o.  (masculine)
Sono Kittitian-Nevisian/a. (feminine)


You need to include the masculine and feminine endings because the Italian adjective and demonym ""Kittitian-Nevisian"" needs to agree with the gender of the speaker.  If you're translating for a general audience, you might write it out both ways or use the slash as shown above.
"
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"Sono sudcoreano/sudcoreana.


If you are male, use *sudcoreano*.  If you are female, use *sudcoreana*.
"
I am Kuwaiti.,,,,"Sono kuwaitiano/kuwaitiana.

Use *kuwaitiano* if you are male and *kuwaitiana* if you are female.
"
I am Laotian.,Sono laotiano.,Sono laotiana.,,"Sono laotiano/laotiana.


You use *laotiano* if you are a male and *laotiana* if you are a female.
"
I am Lebanese.,,,Sono libanese.,"Sono libanese.
"
I am Liberian.,Sono liberiano.,Sono liberiana.,,"Sono liberiano/a.


You need to use the correct ending depending on your gender:

* **liberiano:** if you are male
* **liberiana:** if you are female
"
I am Libyan.,Sono libico.,Sono libica.,,"Sono libico. (masculine)

Sono libica. (feminine)
"
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,"Sono santaluciano/a.

You need to use the correct ending depending on your gender:

* **santaluciano:** if you are male
* **santaluciana:** if you are female
"
I am Liechtensteiner.,,,Sono liechtensteinese.,"Sono liechtensteinese.
"
I am Sri Lankan.,,,Sono sri lankese.,"Sono srilankese.
"
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,"Sono Mosotho/a.

You need to use the correct gender ending.  If you are male, it's ""Sono Mosotho."" If you are female, it's ""Sono Mosothoa.""
"
I am Lithuanian.,Sono lituano.,Sono lituana.,,"Sono lituano/lituana.


*  Use ""lituano"" if you are a male.
*  Use ""lituana"" if you are a female.
"
I am Luxembourger.,,,Sono lussemburghese.,"The most straightforward translation is: **Sono lussemburghese.**
"
I am Latvian.,Sono lettone.,Sono lettona.,,"Sono lettone. (masculine)

Sono lettone. (feminine)

The word ""lettone"" is used for both masculine and feminine forms.  Context would determine the gender of the speaker.
"
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"Sono marocchino/a.


You need to use *marocchino* if you are male and *marocchina* if you are female.
"
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"Sono monegasco/monegasca.


You use *monegasco* if you are a male and *monegasca* if you are a female.
"
I am Moldovan.,Sono moldavo.,Sono moldava.,,"Sono moldavo/moldava.


You use ""moldavo"" if you are a male and ""moldava"" if you are a female.
"
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"Sono malgascio (masculine) / Sono malgascia (feminine).
"
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"Sono maldiviano/a.


You need to use the correct ending depending on your gender:

* **maldiviano:** if you are male
* **maldiviana:** if you are female
"
I am Mexican.,Sono messicano.,Sono messicana.,,"Sono messicano/messicana.


You need to use the correct ending depending on your gender:

* **messicano:** if you are male
* **messicana:** if you are female
"
I am Marshallese.,,,Sono marshallese.,"Sono marshallese.
"
I am Macedonian.,,,Sono macedone.,"Sono macedone.
"
I am Malian.,Sono maliano.,Sono maliana.,,"Sono maliano. (masculine)

Sono maliana. (feminine)
"
I am Maltese.,,,Sono maltese.,"Sono maltese.
"
I am Burmese.,Sono birmano.,Sono birmese.,,"Sono birmano/birmana.


* **Birmano** is the masculine form.
* **Birmana** is the feminine form.

So, if you are a male, you would say ""Sono birmano.""  If you are a female, you would say ""Sono birmana.""
"
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"Sono montenegrino/a.


You need both the masculine (montenegrino) and feminine (montenegrina) forms because Italian adjectives, and therefore also nationalities used as adjectives,  agree with the gender of the person.  Use *montenegrino* if you are male and *montenegrina* if you are female.
"
I am Mongolian.,Sono mongolo.,Sono mongola.,,"Sono mongolo.
"
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"Sono mozambicano/a.


You need to use *mozambicano* if you are male and *mozambicana* if you are female.
"
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"Sono mauritano/a.


You need to use *mauritano* if you are a male and *mauritana* if you are a female.
"
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"Sono mauriziano/mauriziana.


You need both the masculine (mauriziano) and feminine (mauriziana) forms because Italian adjectives, and therefore nationalities, agree with the gender of the person.  Use *mauriziano* if you are male and *mauriziana* if you are female.
"
I am Malawian.,Sono malawiano.,Sono malawiana.,,"Sono malawiano/malawiana.


You use *malawiano* if you are a male and *malawiana* if you are a female.
"
I am Malaysian.,,,Sono malese.,"Sono malese.
"
I am Namibian.,Sono namibiano.,Sono namibiana.,,"Sono namibiano/a.


You need to use *namibiano* if you are a male and *namibiana* if you are a female.
"
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"Sono nigerino/a.

You need to use *nigerino* if you are a male and *nigerina* if you are a female.
"
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"Sono nigeriano/a.


You need both the masculine (nigeriano) and feminine (nigeriana) forms because Italian adjectives, and therefore nationalities,  agree with the gender of the person.  If you are a male, use *nigeriano*. If you are a female, use *nigeriana*.
"
I am Nicaraguan.,,,Sono nicaraguense.,"Sono nicaraguense.
"
I am Dutch.,,,Sono olandese.,"Sono olandese.
"
I am Norwegian.,,,Sono norvegese.,"Sono norvegese.
"
I am Nepalese.,,,Sono nepalese.,"Sono nepalese.
"
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"Sono nauruano/nauruana.


You use *nauruano* if you are a male, and *nauruana* if you are a female.
"
I am New Zealander.,,,Sono neozelandese.,"The most straightforward translation is: **Sono neozelandese.**
"
I am Omani.,,,Sono omanita.,"Sono omanita.
"
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"Sono pakistano/a.


You need to use *pakistano* if you are male and *pakistana* if you are female.
"
I am Panamanian.,,,Sono panamense.,"Sono panamense (if you are male) or Sono panamense (if you are female).

The word is the same for both genders.  Context usually makes it clear which is meant.
"
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"Sono peruviano/peruviana.


Use *peruviano* if you are a male, and *peruviana* if you are a female.
"
I am Filipino.,Sono filippino.,Sono filippina.,,"Sono filippino/a.


You need both the masculine (filippino) and feminine (filippina) forms because the Italian adjective for nationality changes based on gender.  If you are a male, use ""Sono filippino."" If you are a female, use ""Sono filippina.""
"
I am Palauan.,Sono palauano.,Sono palauana.,,"Sono palauano/a.
```

You need both the masculine and feminine forms because ""Palauan"" in English doesn't specify gender.  Use *palauano* if you are male and *palauana* if you are female.
"
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"Sono papuano/a.

You use ""papuano"" if you are a male and ""papuana"" if you are a female.  If you're translating for a mixed group or unsure of the gender, you could also say:

Sono della Papua Nuova Guinea. (I am from Papua New Guinea) - This option avoids gender and is always correct.
"
I am Polish.,Sono polacco.,Sono polacca.,,"Sono polacco/a.


You need both the masculine (polacco) and feminine (polacca) forms because Italian adjectives, and therefore nationalities,  agree with the gender of the person.  If you are a male, use *polacco*. If you are a female, use *polacca*.
"
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"Sono nordcoreano/nordcoreana.


You use *nordcoreano* if you are a male and *nordcoreana* if you are a female.
"
I am Portuguese.,,,Sono portoghese.,"Sono portoghese.
"
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"Sono paraguaiano/a.


You need both the masculine and feminine forms because the Italian adjective for nationality changes depending on the gender of the speaker.

* **Sono paraguaiano.** (masculine)
* **Sono paraguaiana.** (feminine)
"
I am Qatari.,,,Sono qatariota.,"Sono qatariota. (masculine)
Sono qatariota. (feminine)

The word ""qatariota"" is used for both masculine and feminine.
"
I am Romanian.,Sono rumeno.,Sono rumena.,,"Sono rumeno/rumena.


You use *rumeno* if you are a male and *rumena* if you are a female.
"
I am Russian.,Sono russo.,Sono russa.,,"Sono russo. (masculine)

Sono russa. (feminine)
"
I am Rwandan.,,,Sono ruandese.,"Sono ruandese.
"
I am Saudi Arabian.,,,Sono saudita.,"Sono saudita.
"
I am Sudanese.,,,Sono sudanese.,"Sono sudanese.
"
I am Senegalese.,,,Sono senegalese.,"Sono senegalese.
"
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"Sono singaporiano/a.


You need to use the correct ending depending on your gender:

* **singaporiano:** if you are male
* **singaporiana:** if you are female
"
I am Solomon Islander.,,,Sono salomonese.,"Sono delle Isole Salomone.
"
I am Sierra Leonean.,,,Sono sierra leonese.,"Sono sierra-leonese.
"
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"Sono salvadoregno/a.


You need to use the correct ending depending on your gender:

* **salvadoregno:** if you are male
* **salvadoregna:** if you are female
"
I am Sammarinese.,,,Sono sammarinese.,"Sono sammarinese.
"
I am Somali.,Sono somalo.,Sono somala.,,"Sono somalo (masculine) / Sono somala (feminine).
"
I am Serbian.,Sono serbo.,Sono serba.,,"Sono serbo (masculine) or Sono serba (feminine).
"
I am South Sudanese.,,,Sono sudsudanese.,"Sono sud-sudanese.
"
I am Sao Tomean.,,,Sono saotomense.,"Sono santomense.
"
I am Surinamer.,,,Sono surinamese.,"Sono surinamese.
"
I am Slovak.,Sono slovacco.,Sono slovacca.,,"Sono slovacco/slovacca.

Use *slovacco* if you are male and *slovacca* if you are female.
"
I am Slovene.,Sono sloveno.,Sono slovena.,,"Sono sloveno (masculine)

Sono slovena (feminine)
"
I am Swedish.,,,Sono svedese.,"Sono svedese.
"
I am Swazi.,,,Sono swazilandese.,"Sono swazilandese.
"
I am Seychellois.,,,Sono seicellese.,"Sono seychellese.
"
I am Syrian.,Sono siriano.,Sono siriana.,,"Sono siriano/a.


You need both the masculine (siriano) and feminine (siriana) forms because Italian adjectives, and therefore nationalities, agree with the gender of the person.  If you are a male, you would use ""siriano."" If you are a female, you would use ""siriana.""
"
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"Sono ciadiano/ciadiana.


You use *ciadiano* if you are a male and *ciadiana* if you are a female.
"
I am Togolese.,,,Sono togolese.,"Sono togolese.
"
I am Thai.,,,Sono thailandese.,"Sono thailandese.
"
I am Tadzhik.,Sono tagiko.,Sono tagika.,,"Sono tagiko/tagika.


* **Tagiko** is the masculine form.
* **Tagika** is the feminine form.
"
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,"Sono turkmeno. (masculine)

Sono turkmena. (feminine)
"
