eng,deu_m,deu_f,deu_n,output
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"The translation of ""I am Afghan"" into German is ""Ich bin Afghane"" (if you are male) or ""Ich bin Afghanin"" (if you are female)."
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"The translation of ""I am Angolan"" into German is ""Ich bin Angolaner"" (if you are male) or ""Ich bin Angolanerin"" (if you are female)."
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"The translation of ""I am Albanian"" into German is ""Ich bin Albaner"" (if you are male) or ""Ich bin Albanerin"" (if you are female)."
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"The translation of ""I am Andorran"" into German is ""Ich bin Andorraner."""
I am Emirati.,,,,"The translation of ""I am Emirati"" into German is ""Ich bin Emirati."""
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"The translation of ""I am Argentine"" into German is ""Ich bin Argentinier"" (if you are male) or ""Ich bin Argentinierin"" (if you are female)."
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"The translation of ""I am Armenian"" into German is ""Ich bin Armenier"" (if you are male) or ""Ich bin Armenierin"" (if you are female)."
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"The translation of ""I am Antiguan"" into German is ""Ich bin Antiguaner"" (if you are male) or ""Ich bin Antiguanerin"" (if you are female)."
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"The translation of ""I am Australian"" into German is ""Ich bin Australier"" (if you are male) or ""Ich bin Australierin"" (if you are female)."
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"The translation of ""I am Austrian"" into German is ""Ich bin Österreicher"" (if you are male) or ""Ich bin Österreicherin"" (if you are female)."
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"The translation of ""I am Azerbaijani"" into German is ""Ich bin Aserbaidschaner"" (if you are male) or ""Ich bin Aserbaidschanerin"" (if you are female)."
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"The translation of ""I am Burundian"" into German is ""Ich bin Burundier"" (if you are male) or ""Ich bin Burundierin"" (if you are female)."
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"The translation of ""I am Belgian"" into German is ""Ich bin Belgier"" (if you are male) or ""Ich bin Belgierin"" (if you are female)."
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"The translation of ""I am Beninese"" into German is ""Ich bin Beniner"" (if you are male) or ""Ich bin Beninerin"" (if you are female)."
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"The translation of ""I am Burkinabe"" into German is ""Ich bin Burkinabé."""
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"The translation of ""I am Bangladeshi"" into German is ""Ich bin Bangladescher"" (for a male speaker) or ""Ich bin Bangladescherin"" (for a female speaker)."
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"The translation of ""I am Bulgarian"" into German is ""Ich bin Bulgare"" (if you are male) or ""Ich bin Bulgarin"" (if you are female)."
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"The translation of ""I am Bahraini"" into German is ""Ich bin Bahraini."""
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"The translation of ""I am Bahamian"" into German is ""Ich bin Bahamianer"" (if you are male) or ""Ich bin Bahamianerin"" (if you are female)."
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"The translation of ""I am Bosnian"" into German is ""Ich bin Bosnier"" (if you are male) or ""Ich bin Bosnierin"" (if you are female)."
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"The translation of ""I am Belarusian"" into German is ""Ich bin Weißrusse"" (if you are male) or ""Ich bin Weißrussin"" (if you are female)."
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"The translation of ""I am Belizean"" into German is ""Ich bin Belizeaner"" (if you are male) or ""Ich bin Belizeanerin"" (if you are female)."
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"The translation of ""I am Bolivian"" into German is ""Ich bin Bolivianer"" (if you are male) or ""Ich bin Bolivianerin"" (if you are female)."
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"The translation of ""I am Brazilian"" into German is ""Ich bin Brasilianer"" (if you are male) or ""Ich bin Brasilianerin"" (if you are female)."
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"The translation of ""I am Barbadian"" into German is ""Ich bin Barbadianer"" (if you are male) or ""Ich bin Barbadianerin"" (if you are female)."
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"The translation of ""I am Bruneian"" into German is ""Ich bin Brunei."""
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"The translation of ""I am Bhutanese"" into German is ""Ich bin Bhutaner"" (if you are male) or ""Ich bin Bhutanerin"" (if you are female)."
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"The translation of ""I am Motswana"" into German is ""Ich bin Motswana."""
