eng,deu_m,deu_f,deu_n,output,extracted
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"Sure! The translation of ""I am Afghan"" into German is ""Ich bin Afghane.""",['Ich bin Afghane.']
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"Sure! The translation of ""I am Angolan"" into German is ""Ich bin Angolaner.""",['Ich bin Angolaner.']
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"Sure! The translation of ""I am Albanian"" into German is ""Ich bin Albaner.""",['Ich bin Albaner.']
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"Sure! The translation of ""I am Andorran"" into German is ""Ich bin Andorraner.""",['Ich bin Andorraner.']
I am Emirati.,,,,"Sure! The translation of ""I am Emirati"" into German is ""Ich bin Emirati.""",['Ich bin Emirati.']
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"Sure! The translation of ""I am Argentine"" into German is ""Ich bin Argentinier.""",['Ich bin Argentinier.']
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"Sure! The translation of ""I am Armenian"" into German is ""Ich bin Armenier.""",['Ich bin Armenier.']
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"Sure! The translation of ""I am Antiguan"" into German is ""Ich bin Antiguaner.""",['Ich bin Antiguaner.']
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"Sure! The translation of ""I am Australian"" into German is ""Ich bin Australier.""",['Ich bin Australier.']
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"Sure! The translation of ""I am Austrian"" into German is ""Ich bin Österreicher.""",['Ich bin Österreicher.']
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"Sure! The translation of ""I am Azerbaijani"" into German is ""Ich bin Aserbaidschaner.""",['Ich bin Aserbaidschaner.']
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"Sure! The sentence ""I am Burundian"" translates to ""Ich bin Burundier"" in German.",['Ich bin Burundier']
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"Sure! The translation of ""I am Belgian"" into German is ""Ich bin Belgier.""",['Ich bin Belgier.']
