eng,spa_m,spa_f,spa_n,output
I am Afghan.,Soy afgano.,Soy afgana.,,"Soy afgano. (If the speaker is male)

Soy afgana. (If the speaker is female)
"
I am Angolan.,Soy angoleño.,Soy angoleña.,,"Soy angoleño/a.

* **Soy angoleño** is used if the speaker is male.
* **Soy angoleña** is used if the speaker is female.
"
I am Albanian.,Soy albanés.,Soy albanésa.,,"Soy albanés/a.

* **Soy albanés:**  This is used if you are a male.
* **Soy albanesa:** This is used if you are a female.
"
I am Andorran.,Soy andorrano.,Soy andorrana.,,"Soy andorrano/a.

* **Soy andorrano** is used if you are a male.
* **Soy andorrana** is used if you are a female.
"
I am Emirati.,,,Soy emiratí.,"Soy emiratí.
"
I am Argentine.,Soy argentino.,Soy argentina.,,"Soy argentino/a.

* **Soy argentino** is used if the speaker is male.
* **Soy argentina** is used if the speaker is female.
"
I am Armenian.,Soy armenio.,Soy armenia.,,"Soy armenio/a.

* **Soy armenio** is used if the speaker is male.
* **Soy armenia** is used if the speaker is female.
"
I am Antiguan.,Soy antiguano.,Soy antiguana.,,"Soy antiguano/a.

* **Soy antiguano** is used for a male speaker.
* **Soy antiguana** is used for a female speaker.
"
I am Australian.,Soy australiano.,Soy australiana.,,"Soy australiano/a.

* **Soy australiano** is used if the speaker is male.
* **Soy australiana** is used if the speaker is female.
"
I am Austrian.,Soy austriaco.,Soy austriaca.,,"Soy austríaco/a.

* **Soy austríaco** is used if the speaker is male.
* **Soy austriaca** is used if the speaker is female.
"
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"Soy azerbaiyano/a.

* **Soy azerbaiyano** is used for a male speaker.
* **Soy azerbaiyana** is used for a female speaker.
"
I am Burundian.,Soy burundés.,Soy burundésa.,,"Soy burundés.  (For a male speaker)
Soy burundesa. (For a female speaker)
"
I am Belgian.,,,Soy belga.,"Soy belga.
"
I am Beninese.,Soy beninés.,Soy beninésa.,,"Soy beninés/beninense.

* **Soy beninés** is used for men.
* **Soy beninense** is used for women.  However,  `beninés` is often used for both genders, and is generally understood.
"
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,"Soy burkinés.
"
I am Bangladeshi.,,,Soy bangladesí.,"Soy bangladesí.
"
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"Soy búlgaro. (If the speaker is male)
Soy búlgara. (If the speaker is female)
"
I am Bahraini.,,,Soy bareiní.,"Soy bahreiní.
"
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"Soy bahameño/a.

* **Soy bahameño** is used if you are a male.
* **Soy bahameña** is used if you are a female.
"
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"Soy bosnio/a.

* **Soy bosnio** is used for a male speaker.
* **Soy bosnia** is used for a female speaker.
"
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"Soy bielorruso/a.

* **Soy bielorruso** is used if you are a male.
* **Soy bielorrusa** is used if you are a female.
"
I am Belizean.,Soy beliceño.,Soy beliceña.,,"Soy beliceño/a.

* **Soy beliceño** is used if the speaker is male.
* **Soy beliceña** is used if the speaker is female.
"
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"Soy boliviano/a.

* **Soy boliviano** is used if the speaker is male.
* **Soy boliviana** is used if the speaker is female.
"
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"Soy brasileño/brasileña.

* **Soy brasileño** is used if the speaker is male.
* **Soy brasileña** is used if the speaker is female.
"
I am Barbadian.,,,Soy barbadense.,"Soy barbadense.
"
I am Bruneian.,Soy bruneano.,Soy bruneana.,,"Soy bruneano/a.

* **Soy bruneano:**  This is used for a male Bruneian.
* **Soy bruneana:** This is used for a female Bruneian.
"
I am Bhutanese.,Soy butanés.,Soy butanésa.,,"Soy buthanés/a.

* **Soy buthanés** is used for a male speaker.
* **Soy buthanesa** is used for a female speaker.
"
I am Motswana.,Soy botsuano.,Soy botsuana.,,"The most straightforward translation is: **Soy Motswana.**
"
I am Central African.,Soy centroafricano.,Soy centroafricana.,,"The most straightforward translation is: **Soy centroafricano/a.**

* **Soy** = I am
* **centroafricano** = Central African (masculine)
* **centroafricana** = Central African (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Canadian.,,,Soy canadiense.,"Soy canadiense.
"
I am Swiss.,Soy suizo.,Soy suiza.,,"Soy suizo/a.

* **Soy suizo** is used if you are a male.
* **Soy suiza** is used if you are a female.
"
I am Chilean.,Soy chileno.,Soy chilena.,,"Soy chileno/a.

* **Soy chileno** is used by men.
* **Soy chilena** is used by women.
"
I am Chinese.,Soy chino.,Soy china.,,"Soy chino/a.

* **Soy chino** is used if the speaker is a male.
* **Soy china** is used if the speaker is a female.
"
I am Ivorian.,Soy costamarfileño.,Soy costamarfileña.,,"Soy marfileño/a.

* **Soy marfileño** is used for men.
* **Soy marfileña** is used for women.
  
You would choose the one that matches your gender.
"
I am Cameroonian.,Soy camerunés.,Soy camerunésa.,,"Soy camerunés.
"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"Soy congoleño/a.

* **Soy congoleño** is used if the speaker is male.
* **Soy congoleña** is used if the speaker is female.
"
I am Congolese.,Soy congoleño.,Soy congoleña.,,"Soy congoleño/a.

* **Soy congoleño** is used if the speaker is male.
* **Soy congoleña** is used if the speaker is female.
"
I am Colombian.,Soy colombiano.,Soy colombiana.,,"Soy colombiano. (If the speaker is male)

Soy colombiana. (If the speaker is female)
"
I am Comoran.,,,Soy comorense.,"The most straightforward translation is: **Soy comorano/a.**

* **Soy** means ""I am""
* **comorano** is the masculine form of Comoran
* **comorana** is the feminine form of Comoran

You would use ""comorano"" if you are a male and ""comorana"" if you are a female.
"
I am Cape Verdian.,Soy caboverdiano.,Soy caboverdiana.,,"Soy caboverdiano/a.

* **Soy caboverdiano:**  This is used for a male speaker.
* **Soy caboverdiana:** This is used for a female speaker.
"
I am Costa Rican.,,,Soy costarricense.,"Soy costarricense.
"
I am Cuban.,Soy cubano.,Soy cubana.,,"Soy cubano. (If the speaker is male)

Soy cubana. (If the speaker is female)
"
I am Cypriot.,,,Soy chipriota.,"Soy chipriota.
"
I am Czech.,Soy checo.,Soy checa.,,"Soy checo/a.

* **Soy checo** is used if you are a male.
* **Soy checa** is used if you are a female.
"
I am German.,Soy alemán.,,,"Soy alemán (masculine) or Soy alemana (feminine).
"
I am Djibouti.,Soy Yibutiano.,Soy Yibutiana.,,"The most straightforward translation of ""I am Djibouti"" in Spanish would be:

**Soy Yibuti.**
"
I am Dominican.,Soy dominiqués.,Soy dominiquésa.,,"Soy dominicano/a.

* **Soy dominicano:**  If you are a male.
* **Soy dominicana:** If you are a female.
"
I am Danish.,Soy danés.,Soy danésa.,,"Soy danés. (If the speaker is male)
Soy danesa. (If the speaker is female)
"
I am Dominican.,Soy dominicano.,Soy dominicana.,,"Soy dominicano/a.

* **Soy dominicano:**  If you are a male.
* **Soy dominicana:** If you are a female.
"
I am Algerian.,Soy argelino.,Soy argelina.,,"Soy argelino/a.

* **Soy argelino** is used if you are a man.
* **Soy argelina** is used if you are a woman.
"
I am Ecuadorean.,Soy ecuatoriano.,Soy ecuatoriana.,,"Soy ecuatoriano/a.

* **Soy ecuatoriano** is used if the speaker is male.
* **Soy ecuatoriana** is used if the speaker is female.
"
I am Egyptian.,Soy egipcio.,Soy egipcia.,,"Soy egipcio/a.

* **Soy egipcio** is used if the speaker is male.
* **Soy egipcia** is used if the speaker is female.
"
I am Eritrean.,Soy eritreo.,Soy eritra.,,"Soy eritreo/a.

* **Soy eritreo** is used if you are a man.
* **Soy eritrea** is used if you are a woman.
"
I am Spanish.,Soy español.,,,"Soy español (if male) or Soy española (if female).
"
I am Estonian.,Soy estonio.,Soy estona.,,"Soy estonio/a.

* **Soy estonio** is used for a male speaker.
* **Soy estonia** is used for a female speaker.
"
I am Ethiopian.,,,Soy etíope.,"Soy etíope.
"
I am Finnish.,Soy finlandés.,Soy finlandésa.,,"Soy finlandés/finlandesa.

* **Soy finlandés** is used if the speaker is male.
* **Soy finlandesa** is used if the speaker is female.
"
I am Fijian.,Soy fiyiano.,Soy fiyiana.,,"The most straightforward translation is: **Soy fiyiano/a.**

* **Soy:** I am
* **fiyiano:** Fijian (masculine)
* **fiyiana:** Fijian (feminine)

You need to use ""fiyiano"" if you are a man and ""fiyiana"" if you are a woman.
"
I am French.,Soy francés.,Soy francésa.,,"Soy francés/francesa.

* **Soy francés** is used if the speaker is a male.
* **Soy francesa** is used if the speaker is a female.
"
I am Micronesian.,Soy micronesio.,Soy micronesia.,,"The most straightforward translation is: **Soy micronesio/a.**

* **Soy:** I am
* **micronesio:** Micronesian (masculine)
* **micronesia:** Micronesian (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Gabonese.,Soy gabonés.,Soy gabonésa.,,"Soy gabonés/gabonesa.

* **Soy gabonés** is used if the speaker is male.
* **Soy gabonesa** is used if the speaker is female.
"
I am British.,Soy británico.,Soy británia.,,"Soy británico/británica.

* **Soy británico** is used if the speaker is male.
* **Soy británica** is used if the speaker is female.
"
I am Georgian.,Soy georgiano.,Soy georgiana.,,"Soy georgiano/a.

* **Soy georgiano** is used if the speaker is a male.
* **Soy georgiana** is used if the speaker is a female.
"
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,,"Soy ghanés/a.

* **Soy ghanés:**  This is used if you are a male.
* **Soy ghanesa:** This is used if you are a female.
"
I am Guinean.,Soy guineano.,Soy guineana.,,"Soy guineano/a.

* **Soy guineano** is used if the speaker is male.
* **Soy guineana** is used if the speaker is female.
"
I am Gambian.,Soy gambiano.,Soy gambiana.,,"Soy gambiano/a.

* **Soy gambiano** is used if the speaker is male.
* **Soy gambiana** is used if the speaker is female.
"
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.,"Soy guineobiseense.
"
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,,"The most straightforward translation is: **Soy ecuatoguineano/a.**

* **Soy** means ""I am""
* **ecuatoguineano** is the masculine form of Equatorial Guinean.
* **ecuatoguineana** is the feminine form of Equatorial Guinean.  You need to use the masculine or feminine form depending on your gender.
"
I am Greek.,Soy griego.,Soy griega.,,"Soy griego/a.

* **Soy griego** is used if the speaker is a male.
* **Soy griega** is used if the speaker is a female.
"
I am Grenadian.,Soy granadino.,Soy granadina.,,"Soy granadino/a.

* **Soy granadino** is used if you are a male.
* **Soy granadina** is used if you are a female.
"
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,,"Soy guatemalteco/a.

* **Soy guatemalteco** is used if the speaker is male.
* **Soy guatemalteca** is used if the speaker is female.
"
