eng,deu_m,deu_f,deu_n,extracted
I am Afghan.,Ich bin Afghane.,Ich bin Afghanin.,,"['Ich bin Afghanin.', 'Ich bin Afghane.']"
I am Angolan.,Ich bin Angolaner.,Ich bin Angolanerin.,,"['Ich bin Angolaner.', 'Ich bin Angolanerin.']"
I am Albanian.,Ich bin Albaner.,Ich bin Albanerin.,,"['Ich bin Albaner.', 'Ich bin Albanerin.']"
I am Andorran.,Ich bin Andorraner.,Ich bin Andorranerin.,,"['Ich bin Andorraner.', 'Ich bin Andorranerin.']"
I am Emirati.,,,,['Ich bin Emirati.']
I am Argentine.,Ich bin Argentinier.,Ich bin Argentinierin.,,"['Ich bin Argentinier.', 'Ich bin Argentinierin.']"
I am Armenian.,Ich bin Armenier.,Ich bin Armenierin.,,"['Ich bin Armenier.', 'Ich bin Armenierin.']"
I am Antiguan.,Ich bin Antiguaner.,Ich bin Antiguanerin.,,"['Ich bin Antiguaner.', 'Ich bin Antiguanerin.']"
I am Australian.,Ich bin Australier.,Ich bin Australierin.,,"['Ich bin Australier.', 'Ich bin Australierin.']"
I am Austrian.,Ich bin Österreicher.,Ich bin Österreicherin.,,"['Ich bin Österreicher.', 'Ich bin Österreicherin.']"
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin Aserbaidschanerin.,,"['Ich bin Aserbaidschaner.', 'Ich bin Aserbaidschanerin.']"
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,['Ich bin Burundier.']
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"['Ich bin Belgier.', 'Ich bin Belgierin.', 'Ich bin belgisch.']"
I am Beninese.,Ich bin Beniner.,Ich bin Beninerin.,,"['Ich bin Beniner.', 'Ich bin Beninerin.']"
I am Burkinabe.,Ich bin Burkiner.,Ich bin Burkinerin.,,['Ich bin Burkinabé.']
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin Bangladescherin.,,"['Ich bin Bangladescher.', 'Ich bin Bangladeschin.']"
I am Bulgarian.,Ich bin Bulgare.,Ich bin Bulgarin.,,"['Ich bin Bulgare.', 'Ich bin Bulgarin.']"
I am Bahraini.,Ich bin Bahrainer.,Ich bin Bahrainerin.,,"['Ich bin Bahrainer.', 'Ich bin Bahrainerin.']"
I am Bahamian.,Ich bin Bahamaer.,Ich bin Bahamaerin.,,['Ich bin Bahamainer).']
I am Bosnian.,Ich bin Bosnier.,Ich bin Bosnierin.,,"['Ich bin Bosnier.', 'Ich bin Bosnierin.']"
I am Belarusian.,Ich bin Belarusse.,Ich bin Belarussin.,,"['Ich bin Belarussin.', 'Ich bin Belarusse.']"
I am Belizean.,Ich bin Belizer.,Ich bin Belizerin.,,"['Ich bin Belizeaner.', 'Ich bin Belizeanerin.']"
I am Bolivian.,Ich bin Bolivianer.,Ich bin Bolivianerin.,,"['Ich bin Bolivianer.', 'Ich bin Bolivianerin.']"
I am Brazilian.,Ich bin Brasilianer.,Ich bin Brasilianerin.,,"['Ich bin Brasilianer.', 'Ich bin Brasilianerin.']"
I am Barbadian.,Ich bin Barbadier.,Ich bin Barbadierin.,,"['Ich bin Barbadianer.', 'Ich bin Barbadianerin.']"
I am Bruneian.,Ich bin Bruneier.,Ich bin Bruneierin.,,"['Ich bin Brunei-Bürger.', 'Ich bin Brunei-Bürgerin.']"
I am Bhutanese.,Ich bin Bhutaner.,Ich bin Bhutanerin.,,"['Ich bin Bhutaner.', 'Ich bin Bhutanerin.']"
I am Motswana.,Ich bin Botsuaner.,Ich bin Botsuanerin.,,['Ich bin Motswana.']
I am Central African.,Ich bin Zentralafrikaner.,Ich bin Zentralafrikanerin.,,['Ich bin zentralafrikanisch.']
I am Canadian.,Ich bin Kanadier.,Ich bin Kanadierin.,,"['Ich bin Kanadier.', 'Ich bin Kanadierin.', 'Ich bin kanadisch.']"
I am Swiss.,Ich bin Schweizer.,Ich bin Schweizerin.,,"['Ich bin Schweizer.', 'Ich bin Schweizerin.', 'Ich bin Schweizern.']"
I am Chilean.,Ich bin Chilene.,Ich bin Chilenin.,,"['Ich bin Chilene.', 'Ich bin Chilener.']"
I am Chinese.,Ich bin Chinese.,Ich bin Chinesin.,,['Ich bin Chinese.']
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,['Ich bin Ivorer.']
I am Cameroonian.,Ich bin Kameruner.,Ich bin Kamerunerin.,,"['Ich bin Kameruner.', 'Ich bin Kamerunerin.']"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,['Ich bin Kongolese.']
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,['Ich bin Kongolese.']
I am Colombian.,Ich bin Kolumbianer.,Ich bin Kolumbianerin.,,"['Ich bin Kolumbianer.', 'Ich bin Kolumbianerin.']"
I am Comoran.,Ich bin Komorer.,Ich bin Komorerin.,,['Ich bin Komorer.']
I am Cape Verdian.,,,,['Ich bin kapverdisch.']
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin Costa Ricanerin.,,['Ich bin costa-ricanisch.']
I am Cuban.,Ich bin Kubaner.,Ich bin Kubanerin.,,"['Ich bin Kubaner.', 'Ich bin Kubanerin.']"
I am Cypriot.,Ich bin Zyprer.,Ich bin Zyprerin.,,"['Ich bin Zyprer.', 'Ich bin Zypriotin.']"
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"['Ich bin Tscheche.', 'Ich bin Tschechin.']"
I am German.,,,Ich bin Deutsche.,['Ich bin Deutsch.']
I am Djibouti.,Ich bin Dschibutier.,Ich bin Dschibutierin.,,[]
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"['Ich bin Dominikaner.', 'Ich bin Dominikanerin.']"
I am Danish.,Ich bin Däne.,Ich bin Dänin.,,"['Ich bin Däne.', 'Ich bin Dänin.']"
I am Dominican.,Ich bin Dominikaner.,Ich bin Dominikanerin.,,"['Ich bin Dominikaner.', 'Ich bin Dominikanerin.']"
I am Algerian.,Ich bin Algerier.,Ich bin Algerierin.,,"['Ich bin Algerier.', 'Ich bin Algerierin.']"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin Ecuadorianerin.,,"['Ich bin Ecuadorianer.', 'Ich bin Ecuadorianerin.']"
I am Egyptian.,Ich bin Ägypter.,Ich bin Ägypterin.,,"['Ich bin Ägypter.', 'Ich bin Ägypterin.']"
I am Eritrean.,Ich bin Eritreer.,Ich bin Eritreerin.,,"['Ich bin Eritreer.', 'Ich bin Eritreerin.']"
I am Spanish.,Ich bin Spanier.,Ich bin Spanierin.,,"['Ich bin Spanier.', 'Ich bin Spanierin.', 'Ich bin spanisch.']"
I am Estonian.,Ich bin Este.,Ich bin Estin.,,"['Ich bin Estländer.', 'Ich bin Estin.']"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin Äthiopierin.,,"['Ich bin Äthiopier.', 'Ich bin Äthiopierin.']"
I am Finnish.,Ich bin Finne.,Ich bin Finnin.,,"['Ich bin Finne.', 'Ich bin Finnin.']"
I am Fijian.,Ich bin Fidschianer.,Ich bin Fidschianerin.,,['Ich bin Fidschianerin).']
I am French.,Ich bin Franzose.,Ich bin Französin.,,"['Ich bin Franzose.', 'Ich bin Französin.']"
I am Micronesian.,Ich bin Mikronesier.,Ich bin Mikronesierin.,,"['Ich bin Mikronesier.', 'Ich bin Mikronesierin.']"
I am Gabonese.,Ich bin Gabuner.,Ich bin Gabunerin.,,"['Ich bin Gabunerin.', 'Ich bin Gabuner.']"
I am British.,Ich bin Brite.,Ich bin Britin.,,"['Ich bin Britin.', 'Ich bin Brite.']"
I am Georgian.,Ich bin Georgier.,Ich bin Georgierin.,,"['Ich bin Georgier.', 'Ich bin Georgierin.']"
I am Ghanaian.,Ich bin Ghanaer.,Ich bin Ghanaerin.,,"['Ich bin Ghanaer.', 'Ich bin Ghanaerin.']"
I am Guinean.,Ich bin Guineer.,Ich bin Guineerin.,,"['Ich bin Guineer.', 'Ich bin Guineerin.']"
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,['Ich bin gambisch.']
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,['Ich bin guinea-bissauisch.']
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin Äquatorialguineerin.,,['Ich bin äquatorialguineisch.']
I am Greek.,Ich bin Grieche.,Ich bin Griechin.,,"['Ich bin Grieche.', 'Ich bin Griechin.']"
I am Grenadian.,Ich bin Grenader.,Ich bin Grenaderin.,,['Ich bin Grenadinisch.']
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin Guatemaltekin.,,['Ich bin Guatemaltekin.']
I am Guyanese.,Ich bin Guyaner.,Ich bin Guyanerin.,,"['Ich bin Guyaner.', 'Ich bin Guyanerin.']"
I am Honduran.,Ich bin Honduraner.,Ich bin Honduranerin.,,"['Ich bin Honduraner.', 'Ich bin Honduranerin.']"
I am Croatian.,Ich bin Kroate.,Ich bin Kroatin.,,"['Ich bin Kroate.', 'Ich bin Kroatin.']"
I am Haitian.,Ich bin Haitianer.,Ich bin Haitinaerin.,,"['Ich bin Haitianerin.', 'Ich bin Haitianer.']"
I am Hungarian.,Ich bin Ungar.,Ich bin Ungarin.,,['Ich bin Ungarisch.']
I am Indonesian.,Ich bin Indonesier.,Ich bin Indonesierin.,,"['Ich bin Indonesier.', 'Ich bin Indonesierin.']"
I am Indian.,Ich bin Inder.,Ich bin Inderin.,,"['Ich bin Inder.', 'Ich bin Inderin.']"
I am Irish.,Ich bin Ire.,Ich bin Irin.,,"['Ich bin Ire.', 'Ich bin Irland.']"
I am Iranian.,Ich bin Iraner.,Ich bin Iranerin.,,"['Ich bin Iraner.', 'Ich bin Iranerin.']"
I am Iraqi.,Ich bin Iraker.,Ich bin Irakerin.,,"['Ich bin Iraker.', 'Ich bin Irakerin.']"
I am Icelander.,Ich bin Isländer.,Ich bin Isländerin.,,['Ich bin Isländer.']
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,['Ich bin israelisch.']
I am Italian.,Ich bin Italiener.,Ich bin Italienerin.,,"['Ich bin Italiener.', 'Ich bin Italienerin.']"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin Jamaikanerin.,,"['Ich bin Jamaikaner.', 'Ich bin Jamaikanerin.']"
I am Jordanian.,Ich bin Jordanier.,Ich bin Jordanierin.,,"['Ich bin Jordanier.', 'Ich bin Jordanierin.']"
I am Japanese.,Ich bin Japaner.,Ich bin Japanerin.,,"['Ich bin Japaner.', 'Ich bin Japanerin.']"
I am Kazakhstani.,Ich bin Kasache.,Ich bin Kasachin.,,"['Ich bin Kasache.', 'Ich bin Kasachin.']"
I am Kenyan.,Ich bin Kenianer.,Ich bin Kenianerin.,,"['Ich bin Kenianer.', 'Ich bin Kenianerin.']"
I am Kirghiz.,Ich bin Kirgise.,Ich bin Kirgisin.,,['Ich bin Kirgise.']
I am Cambodian.,Ich bin Kambodschaner.,Ich bin Kambodschanerin.,,"['Ich bin Kambodschaner.', 'Ich bin Kambodschanerin.']"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin Kiribatierin.,,['Ich bin I-Kiribati.']
I am Kittitian or Nevisian.,,,,"['Ich bin Kittitianer', 'Ich bin Kittitianerin']"
I am South Korean.,Ich bin Südkoreaner.,Ich bin Südkoreanerin.,,"['Ich bin Südkoreaner.', 'Ich bin Südkoreanerin.']"
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin Kuwaiterin.,,['Ich bin Kuwaiter.']
