eng,spa_m,spa_f,spa_n,output
I am Afghan.,Soy afgano.,Soy afgana.,,"In Spanish, ""I am Afghan"" would be:

""Soy afgano"" (if you are male)
""Soy afgana"" (if you are female)

Note that in Spanish, nationality adjectives are gendered, so you need to use the appropriate ending (-o for male, -a for female)."
I am Angolan.,Soy angoleño.,Soy angoleña.,,"In Spanish, ""I am Angolan"" translates to:

""Soy angoleño"" (if you\'re male)
""Soy angoleña"" (if you\'re female)"
I am Albanian.,Soy albanés.,Soy albanésa.,,"In Spanish, ""I am Albanian"" translates to:

""Soy albanés"" (if you are male)
or
""Soy albanesa"" (if you are female)"
I am Andorran.,Soy andorrano.,Soy andorrana.,,"In Spanish, ""I am Andorran"" translates to:

""Soy andorrano"" (if you are male)
or
""Soy andorrana"" (if you are female)"
I am Emirati.,,,Soy emiratí.,"In Spanish, ""I am Emirati"" would be:

""Soy emiratí""

Note: The word ""emiratí"" can also be spelled ""emiratí"" or ""emirato"" depending on the region, but ""emiratí"" is the most common form."
I am Argentine.,Soy argentino.,Soy argentina.,,"In Spanish, ""I am Argentine"" can be translated as:

""Soy argentino"" (if you are male)
or
""Soy argentina"" (if you are female)

Note that in Spanish, adjectives of nationality have masculine and feminine forms, so you need to use the appropriate ending based on your gender."
I am Armenian.,Soy armenio.,Soy armenia.,,"In Spanish, ""I am Armenian"" translates to:

""Soy armenio"" (if you are male)
""Soy armenia"" (if you are female)"
I am Antiguan.,Soy antiguano.,Soy antiguana.,,"The translation would be: ""Soy antiguano/antiguano"" or ""Soy de Antigua""

Note: 
- If you\'re referring to being from Antigua and Barbuda (the Caribbean country), you would say ""antiguano/antiguano""
- If you\'re referring to being from Antigua Guatemala (the city), you would say ""antigüeño/antigüeña""

Make sure to use the appropriate masculine (-o) or"
I am Australian.,Soy australiano.,Soy australiana.,,"In Spanish, ""I am Australian"" translates to:

""Soy australiano"" (if you are male)
""Soy australiana"" (if you are female)"
I am Austrian.,Soy austriaco.,Soy austriaca.,,"""Soy austriaco"" (if you are male)
""Soy austriaca"" (if you are female)"
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"In Spanish, ""I am Azerbaijani"" would be:

""Soy azerbaiyano"" (if you are male)
""Soy azerbaiyana"" (if you are female)"
I am Burundian.,Soy burundés.,Soy burundésa.,,"In Spanish, ""I am Burundian"" would be:

""Soy burundés"" (if you are male)
""Soy burundesa"" (if you are female)

Note that the nationality adjective changes based on gender in Spanish."
I am Belgian.,,,Soy belga.,"The translation is: ""Soy belga."""
I am Beninese.,Soy beninés.,Soy beninésa.,,"In Spanish, ""I am Beninese"" would be:

""Soy beninés"" (if you are male)
or
""Soy beninesa"" (if you are female)

Note that in Spanish, nationality adjectives are typically written in lowercase, and they change form based on gender."
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,"The translation is:

""Soy burkinés"" (if you are male)
""Soy burkinesa"" (if you are female)

Note: Burkinabe/Burkinés refers to someone from Burkina Faso."
I am Bangladeshi.,,,Soy bangladesí.,"In Spanish, ""I am Bangladeshi"" would be:

""Soy bangladesí"" or ""Soy bangladeshí""

Both spellings (bangladesí/bangladeshí) are accepted, though bangladesí is more common."
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"In Spanish, ""I am Bulgarian"" is:

""Soy búlgaro"" (if you are male)
""Soy búlgara"" (if you are female)"
I am Bahraini.,,,Soy bareiní.,"In Spanish, ""I am Bahraini"" would be:

""Soy bareiní"" or ""Soy bahreiní""

Both spellings are accepted, though ""bareiní"" is more commonly used in Spanish."
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"""Soy bahameño"" or ""Soy bahamés""

Both translations are correct, though ""bahamés"" is more commonly used."
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"In Spanish, ""I am Bosnian"" would be:

""Soy bosnio"" (if you\'re male)
""Soy bosnia"" (if you\'re female)"
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"""Soy bielorruso/a""

Note: Use ""bielorruso"" if you\'re male and ""bielorrusa"" if you\'re female."
I am Belizean.,Soy beliceño.,Soy beliceña.,,"""Soy beliceño"" or ""Soy beliceña"" (depending on whether you are male or female)"
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"""Soy boliviano/boliviana""

Note: Use ""boliviano"" if you are male, and ""boliviana"" if you are female."
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"""Soy brasileño/brasileña""

Note: Use ""brasileño"" if you\'re male and ""brasileña"" if you\'re female."
