eng,fra_m,fra_f,fra_n,extracted,is_m,is_f,is_n
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,['Je suis Afghan.'],True,False,False
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,['Je suis angolais.'],True,False,False
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,['Je suis albanais.'],True,False,False
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,['Je suis andorran.'],True,False,False
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,['Je suis Emirati.'],False,False,False
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,['Je suis argentin.'],True,False,False
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,['Je suis arménien.'],True,False,False
I am Antiguan.,,,Je suis Antiguaise.,['Je suis Antiguais.'],False,False,False
I am Australian.,Je suis Australien.,Je suis Australienne.,,['Je suis Australien.'],True,False,False
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,['Je suis autrichien.'],True,False,False
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,['Je suis azéri.'],False,False,False
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,['Je suis Burundais.'],True,False,False
I am Belgian.,,,Je suis Belge.,['Je suis Belge.'],False,False,True
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,['Je suis Béninois.'],True,False,False
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,['Je suis Burkinabé.'],True,False,False
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,['Je suis Bangladais.'],True,False,False
I am Bulgarian.,,,Je suis Bulgare.,['Je suis Bulgare.'],False,False,True
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,['Je suis Bahreïnien.'],True,False,False
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,['Je suis Bahamien.'],True,False,False
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,['Je suis bosnien.'],True,False,False
I am Belarusian.,,,Je suis Biélorusse.,['Je suis Biélorusse.'],False,False,True
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,['Je suis Belizien.'],False,False,False
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,['Je suis bolivien.'],True,False,False
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,['Je suis Brésilien.'],True,False,False
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,['Je suis barbadien.'],True,False,False
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,['Je suis Bruneien.'],False,False,False
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,['Je suis Bhoutanais.'],True,False,False
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,['Je suis Motswana.'],False,False,False
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,['Je suis centrafricain.'],True,False,False
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,['Je suis Canadien.'],True,False,False
I am Swiss.,,,Je suis Suisse.,['Je suis Suisse.'],False,False,True
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,['Je suis Chilien.'],True,False,False
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,['Je suis chinois.'],True,False,False
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,['Je suis Ivoirien.'],True,False,False
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,['Je suis Camerounais.'],True,False,False
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,['Je suis Congolais.'],True,False,False
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,['Je suis Congolais.'],True,False,False
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,['Je suis Colombien.'],True,False,False
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,['Je suis Comorien.'],True,False,False
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,['Je suis Cap-Verdien.'],True,False,False
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,['Je suis Costaricain.'],True,False,False
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,['Je suis cubain.'],True,False,False
I am Cypriot.,,,Je suis Chypriote.,['Je suis Chypriote.'],False,False,True
I am Czech.,,,Je suis Tchèque.,['Je suis tchèque.'],False,False,True
I am German.,Je suis Allemand.,Je suis Allemande.,,['Je suis allemand.'],True,False,False
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,['Je suis Djibouti.'],False,False,False
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,['Je suis Dominicain.'],False,False,False
I am Danish.,Je suis Danois.,Je suis Danoise.,,['Je suis danois.'],True,False,False
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,['Je suis Dominicain.'],True,False,False
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,['Je suis Algérien.'],True,False,False
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,['Je suis équatorien.'],True,False,False
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,['Je suis égyptien.'],True,False,False
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,['Je suis érythréen.'],True,False,False
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,['Je suis Espagnol.'],True,False,False
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,['Je suis estonien.'],True,False,False
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,['Je suis éthiopien.'],True,False,False
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,['Je suis finlandais.'],True,False,False
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,['Je suis fidjien.'],True,False,False
I am French.,Je suis Français.,Je suis Française.,,['Je suis français.'],True,False,False
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,['Je suis micronésien.'],True,False,False
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,['Je suis Gabonais.'],True,False,False
I am British.,,,Je suis Britannique.,['Je suis britannique.'],False,False,True
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,['Je suis géorgien.'],True,False,False
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,['Je suis ghanéen.'],True,False,False
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,['Je suis guinéen.'],True,False,False
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,['Je suis Gambien.'],True,False,False
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,['Je suis bissau-guinéen.'],True,False,False
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,['Je suis équato-guinéen.'],True,False,False
I am Greek.,Je suis Grec.,Je suis Grecque.,,['Je suis Grec.'],True,False,False
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,['Je suis Grenadien.'],True,False,False
I am Guatemalan.,,,Je suis Guatémaltèque.,['Je suis Guatémaltèque.'],False,False,True
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,['Je suis Guyanais.'],False,False,False
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,['Je suis hondurien.'],True,False,False
I am Croatian.,,,Je suis Croate.,['Je suis Croate.'],False,False,True
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,['Je suis Haïtien.'],True,False,False
