Code,Language,GoogleTranslate,DeepL,GPT,Gemini,Copilot,Claude,GrammaticalGender,Family
abk,Abkhaz,1,0,0,0,0,0,0,Abkhaz-Adyghe
ace,Acehnese,1,0,0,0,0,0,0,Austronesian
ach,Acholi,1,0,0,0,0,0,0,Nilo-Saharan
aar,Afar,1,0,0,0,0,0,1,Afro-Asiatic
afr,Afrikaans,1,0,1,1,0,0,0,Indo-European
sqi,Albanian,1,0,1,1,0,0,1,Indo-European
alz,Alur,1,0,0,0,0,0,0,Nilo-Saharan
amh,Amharic,1,0,1,0,0,0,1,Afro-Asiatic
ara,Arabic,1,1,1,1,1,1,1,Afro-Asiatic
hye,Armenian,1,0,1,1,0,0,0,Indo-European
asm,Assamese,1,0,1,0,0,0,0,Indo-European
ava,Avar,1,0,0,0,0,0,0,Nakh-Daghestanian
awa,Awadhi,1,0,0,0,0,0,0,Indo-European
aym,Aymara,1,0,0,0,0,0,0,Aymaran
aze,Azerbaijani,1,0,1,1,0,0,0,Turkic
ban,Balinese,1,0,0,0,0,0,0,Austronesian
bal,Baluchi,1,0,0,0,0,0,0,Indo-European
bam,Bambara,1,0,0,0,0,0,0,Niger-Congo
bci,Baoulé,1,0,0,0,0,0,0,Niger-Congo
bak,Bashkir,1,0,0,0,0,0,0,Turkic
eus,Basque,1,0,1,1,0,0,0,Language isolate
btx,Batak Karo,1,0,0,0,0,0,0,Austronesian
bts,Batak Simalungun,1,0,0,0,0,0,0,Austronesian
bbc,Batak Toba,1,0,0,0,0,0,0,Austronesian
bel,Belarusian,1,0,1,1,0,0,1,Indo-European
bem,Bemba,1,0,0,0,0,0,0,Niger-Congo
ben,Bengali,1,0,1,1,0,1,0,Indo-European
bew,Betawi,1,0,0,0,0,0,0,Creole
bho,Bhojpuri,1,0,0,0,0,0,0,Indo-European
bik,Bikol,1,0,0,0,0,0,0,Austronesian
bos,Bosnian,1,0,1,1,0,0,0,Indo-European
bre,Breton,1,0,0,0,0,0,1,Indo-European
bul,Bulgarian,1,1,1,1,0,1,1,Indo-European
mya,Burmese,0,0,1,0,0,1,0,Sino-Tibetan
bxm,Buryat,1,0,0,0,0,0,0,Mongolic
yue,Cantonese,1,0,0,0,0,0,0,Sino-Tibetan
cat,Catalan,1,0,1,1,1,0,1,Indo-European
ceb,Cebuano,1,0,1,1,0,0,0,Austronesian
cha,Chamorro,1,0,0,0,0,0,0,Austronesian
che,Chechen,1,0,0,0,0,0,1,Nakh-Daghestanian
nya,Chichewa,1,0,1,1,0,0,0,Niger-Congo
