eng,deu_m,deu_f,deu_n,extracted,is_m,is_f,is_n
I am Afghan.,Ich bin Afghane.,Ich bin Afghanin.,,['Ich bin Afghane.'],True,False,False
I am Angolan.,Ich bin Angolaner.,Ich bin Angolanerin.,,['Ich bin Angolaner.'],True,False,False
I am Albanian.,Ich bin Albaner.,Ich bin Albanerin.,,['Ich bin Albaner.'],True,False,False
I am Andorran.,Ich bin Andorraner.,Ich bin Andorranerin.,,['Ich bin Andorraner.'],True,False,False
I am Emirati.,,,,['Ich bin Emirati.'],False,False,False
I am Argentine.,Ich bin Argentinier.,Ich bin Argentinierin.,,['Ich bin Argentinier.'],True,False,False
I am Armenian.,Ich bin Armenier.,Ich bin Armenierin.,,['Ich bin Armenier.'],True,False,False
I am Antiguan.,Ich bin Antiguaner.,Ich bin Antiguanerin.,,['Ich bin Antiguaner.'],True,False,False
I am Australian.,Ich bin Australier.,Ich bin Australierin.,,['Ich bin Australier.'],True,False,False
I am Austrian.,Ich bin Österreicher.,Ich bin Österreicherin.,,['Ich bin Österreicher.'],True,False,False
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin Aserbaidschanerin.,,['Ich bin Aserbaidschaner.'],True,False,False
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,['Ich bin Burundier'],False,False,False
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,['Ich bin Belgier.'],True,False,False
I am Beninese.,Ich bin Beniner.,Ich bin Beninerin.,,['Ich bin Beniner.'],True,False,False
I am Burkinabe.,Ich bin Burkiner.,Ich bin Burkinerin.,,['Ich bin Burkiner.'],True,False,False
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin Bangladescherin.,,"['Ich bin Bangladescher', 'Ich bin Bangladescherin']",False,False,False
I am Bulgarian.,Ich bin Bulgare.,Ich bin Bulgarin.,,"['Ich bin Bulgare.', 'Ich bin Bulgarin.']",True,True,False
I am Bahraini.,Ich bin Bahrainer.,Ich bin Bahrainerin.,,['Ich bin Bahrainer.'],True,False,False
I am Bahamian.,Ich bin Bahamaer.,Ich bin Bahamaerin.,,"['Ich bin Bahamaer.', 'Ich bin Bahamaerin.']",True,True,False
I am Bosnian.,Ich bin Bosnier.,Ich bin Bosnierin.,,"['Ich bin Bosnier.', 'Ich bin Bosnierin.']",True,True,False
I am Belarusian.,Ich bin Belarusse.,Ich bin Belarussin.,,['Ich bin Weißrussisch.'],False,False,False
I am Belizean.,Ich bin Belizer.,Ich bin Belizerin.,,"['Ich bin Belizeaner.', 'Ich bin Belizeanerin.']",False,False,False
I am Bolivian.,Ich bin Bolivianer.,Ich bin Bolivianerin.,,['Ich bin Bolivianer.'],True,False,False
I am Brazilian.,Ich bin Brasilianer.,Ich bin Brasilianerin.,,['Ich bin Brasilianer.'],True,False,False
I am Barbadian.,Ich bin Barbadier.,Ich bin Barbadierin.,,['Ich bin Barbadier.'],True,False,False
I am Bruneian.,Ich bin Bruneier.,Ich bin Bruneierin.,,['Ich bin Bruneier.'],True,False,False
I am Bhutanese.,Ich bin Bhutaner.,Ich bin Bhutanerin.,,['Ich bin Bhutaner.'],True,False,False
I am Motswana.,Ich bin Botsuaner.,Ich bin Botsuanerin.,,['Ich bin Motswana.'],False,False,False
I am Central African.,Ich bin Zentralafrikaner.,Ich bin Zentralafrikanerin.,,['Ich bin Zentralafrikaner.'],True,False,False
I am Canadian.,Ich bin Kanadier.,Ich bin Kanadierin.,,['Ich bin Kanadier.'],True,False,False
I am Swiss.,Ich bin Schweizer.,Ich bin Schweizerin.,,['Ich bin Schweizer.'],True,False,False
I am Chilean.,Ich bin Chilene.,Ich bin Chilenin.,,['Ich bin Chilene.'],True,False,False
I am Chinese.,Ich bin Chinese.,Ich bin Chinesin.,,['Ich bin Chinese.'],True,False,False
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,['Ich bin Ivorer.'],True,False,False
I am Cameroonian.,Ich bin Kameruner.,Ich bin Kamerunerin.,,['Ich bin Kameruner.'],True,False,False
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,['Ich bin Kongolese.'],True,False,False
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,['Ich bin Kongolese.'],True,False,False
I am Colombian.,Ich bin Kolumbianer.,Ich bin Kolumbianerin.,,['Ich bin Kolumbianer.'],True,False,False
I am Comoran.,Ich bin Komorer.,Ich bin Komorerin.,,['Ich bin Komorer.'],True,False,False
I am Cape Verdian.,,,,['Ich bin Kapverdier.'],False,False,False
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin Costa Ricanerin.,,['Ich bin Costa Ricaner.'],True,False,False
I am Cuban.,Ich bin Kubaner.,Ich bin Kubanerin.,,['Ich bin Kubaner.'],True,False,False
I am Cypriot.,Ich bin Zyprer.,Ich bin Zyprerin.,,['Ich bin Zyprer.'],True,False,False
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,['Ich bin Tscheche.'],True,False,False
I am German.,,,Ich bin Deutsche.,['Ich bin Deutsch.'],False,False,False
I am Djibouti.,Ich bin Dschibutier.,Ich bin Dschibutierin.,,['Ich bin Djibouti.'],False,False,False
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,['Ich bin Dominikaner.'],False,False,False
I am Danish.,Ich bin Däne.,Ich bin Dänin.,,['Ich bin Dänisch.'],False,False,False
I am Dominican.,Ich bin Dominikaner.,Ich bin Dominikanerin.,,['Ich bin Dominikaner.'],True,False,False
I am Algerian.,Ich bin Algerier.,Ich bin Algerierin.,,['Ich bin Algerier.'],True,False,False
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin Ecuadorianerin.,,['Ich bin Ecuadorianer.'],True,False,False
I am Egyptian.,Ich bin Ägypter.,Ich bin Ägypterin.,,['Ich bin Ägypter.'],True,False,False
I am Eritrean.,Ich bin Eritreer.,Ich bin Eritreerin.,,['Ich bin Eritreer.'],True,False,False
I am Spanish.,Ich bin Spanier.,Ich bin Spanierin.,,['Ich bin Spanier.'],True,False,False
I am Estonian.,Ich bin Este.,Ich bin Estin.,,"['Ich bin Este.', 'Ich bin Estin.']",True,True,False
I am Ethiopian.,Ich bin Äthiopier.,Ich bin Äthiopierin.,,['Ich bin Äthiopier.'],True,False,False
I am Finnish.,Ich bin Finne.,Ich bin Finnin.,,['Ich bin Finne.'],True,False,False
I am Fijian.,Ich bin Fidschianer.,Ich bin Fidschianerin.,,['Ich bin Fidschianer.'],True,False,False
I am French.,Ich bin Franzose.,Ich bin Französin.,,"['Ich bin Franzose', 'Ich bin Französin']",False,False,False
I am Micronesian.,Ich bin Mikronesier.,Ich bin Mikronesierin.,,['Ich bin Mikronesier.'],True,False,False
I am Gabonese.,Ich bin Gabuner.,Ich bin Gabunerin.,,['Ich bin Gabuner.'],True,False,False
I am British.,Ich bin Brite.,Ich bin Britin.,,['Ich bin Brite.'],True,False,False
I am Georgian.,Ich bin Georgier.,Ich bin Georgierin.,,['Ich bin Georgier.'],True,False,False
