eng,deu_m,deu_f,deu_n,extracted,is_m,is_f,is_n
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"['Ich bin Afghane.', 'Ich bin Afghanin.']",True,False,False
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"['Ich bin Angolaner.', 'Ich bin Angolanerin.']",True,False,False
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"['Ich bin Albaner.', 'Ich bin Albanerin.']",True,False,False
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,['Ich bin Andorraner.'],True,False,False
I am Emirati.,,,,['Ich bin Emirati.'],False,False,False
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"['Ich bin Argentinier.', 'Ich bin Argentinierin.']",True,False,False
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"['Ich bin Armenier.', 'Ich bin Armenierin.']",True,False,False
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"['Ich bin Antiguaner.', 'Ich bin Antiguanerin.']",True,False,False
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"['Ich bin Australier.', 'Ich bin Australierin.']",True,False,False
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"['Ich bin Österreicher.', 'Ich bin Österreicherin.']",True,False,False
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"['Ich bin Aserbaidschaner.', 'Ich bin Aserbaidschanerin.']",True,False,False
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"['Ich bin Burundier.', 'Ich bin Burundierin.']",True,True,False
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"['Ich bin Belgier.', 'Ich bin Belgierin.']",True,True,False
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"['Ich bin Beniner.', 'Ich bin Beninerin.']",True,False,False
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,['Ich bin Burkinabé.'],False,False,False
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"['Ich bin Bangladescher.', 'Ich bin Bangladescherin.']",True,False,False
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"['Ich bin Bulgare.', 'Ich bin Bulgarin.']",True,False,False
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,['Ich bin Bahraini.'],False,False,False
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"['Ich bin Bahamianer.', 'Ich bin Bahamianerin.']",False,False,False
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"['Ich bin Bosnier.', 'Ich bin Bosnierin.']",True,False,False
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"['Ich bin Weißrusse.', 'Ich bin Weißrussin.']",False,False,False
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"['Ich bin Belizeaner.', 'Ich bin Belizeanerin.']",False,False,False
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"['Ich bin Bolivianer.', 'Ich bin Bolivianerin.']",True,False,False
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"['Ich bin Brasilianer.', 'Ich bin Brasilianerin.']",True,False,False
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"['Ich bin Barbadianer.', 'Ich bin Barbadianerin.']",False,False,False
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,['Ich bin Brunei.'],False,False,False
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"['Ich bin Bhutaner.', 'Ich bin Bhutanerin.']",True,False,False
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,['Ich bin Motswana.'],False,False,False
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"['Ich bin Zentralafrikaner.', 'Ich bin Zentralafrikanerin.']",True,False,False
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"['Ich bin Kanadier.', 'Ich bin Kanadierin.']",True,False,False
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"['Ich bin Schweizer.', 'Ich bin Schweizerin.']",True,False,False
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"['Ich bin Chileanisch.', 'Ich bin Chilene.', 'Ich bin Chilenin.']",True,False,False
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"['Ich bin Chinese.', 'Ich bin Chinesin.']",True,False,False
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,['Ich bin ivorisch.'],False,False,False
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"['Ich bin Kameruner.', 'Ich bin Kamerunerin.']",True,False,False
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"['Ich bin Kongolese.', 'Ich bin Kongolesin.']",True,True,False
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"['Ich bin Kongolese.', 'Ich bin Kongolesin.']",True,True,False
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"['Ich bin Kolumbianer.', 'Ich bin Kolumbianerin.']",True,False,False
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,['Ich bin Komoraner.'],False,False,False
I am Cape Verdian.,,,,"['Ich bin Kapverdianer.', 'Ich bin Kapverdianerin.']",False,False,False
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"['Ich bin Costa-Ricaner.', 'Ich bin Costa-Ricanerin.']",False,False,False
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"['Ich bin Kubaner.', 'Ich bin Kubanerin.']",True,False,False
