eng,deu_m,deu_f,deu_n,extracted
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"['\\n\\nIch bin Afghane.', '\\nIch bin Afghanin.']"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"['\\n\\nIch bin Angolaner.', '\\nIch bin Angolanerin.']"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,[]
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"['Ich bin Andorraner,.', 'Ich bin Andorranerin.']"
I am Emirati.,,,,[]
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"['Ich bin Argentinier,.', 'Ich bin Argentinierin.']"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,[]
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"['\\n\\nIch bin Antiguaner.', '\\nIch bin Antiguanerin.']"
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,[]
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,[]
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,[]
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"['\\n\\nIch bin Burundier.', '\\nIch bin Burundierin.']"
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,[]
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,[]
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,[]
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,[]
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,[]
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,[]
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"['\\n\\nIch bin Bahamaer.', '\\nIch bin Bahamaerin.']"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,[]
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,[]
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,[]
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"['Ich bin Bolivianer,.', 'Ich bin Bolivianerin.']"
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"['Ich bin Brasilianer,.', 'Ich bin Brasilianerin.']"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,[]
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,[]
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,[]
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,[]
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"[""\\n\\nIch bin Zentralafrikaner.\\n\\nIf you are female, you would say:\\n\\nIch bin Zentralafrikanerin.', type='text')]""]"
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,[]
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,[]
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,[]
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,['\\n\\nIch bin Chinesisch.\\n\\n']
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,[]
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,[]
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,[]
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,[]
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,[]
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"['\\n\\nIch bin Komorer.', '\\nIch bin Komorerin.']"
I am Cape Verdian.,,,,"['\\n\\nIch bin Kapverdier.', '\\nIch bin Kapverdierin.']"
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,[]
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,[]
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,[]
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,[]
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,[]
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,['\\n\\nIch bin Dschibuti.\\n\\n']
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,[]
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"['\\n\\nIch bin Dänisch.\\n\\nor\\n\\nIch bin Däne.', '\\nIch bin Dänin.', ""', type='text'.""]"
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,[]
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,[]
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"['Ich bin Ecuadorianer,.']"
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,[]
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,[]
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,[]
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"['\\n\\nIch bin Estnisch.\\n\\nor\\n\\nIch bin Este.', '\\nIch bin Estin.', ""', type='text'.""]"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,[]
I am Finnish.,Ich bin Finne.,Ich bin  Finnin.,,[]
I am Fijian.,Ich bin Fidschianer.,Ich bin  Fidschianerin.,,[]
I am French.,Ich bin Franzose.,Ich bin  Französin.,,[]
I am Micronesian.,Ich bin Mikronesier.,Ich bin  Mikronesierin.,,[]
I am Gabonese.,Ich bin Gabuner.,Ich bin  Gabunerin.,,['\\n\\nIch bin Gabunisch.\\n\\n']
I am British.,Ich bin Brite.,Ich bin  Britin.,,[]
I am Georgian.,Ich bin Georgier.,Ich bin  Georgierin.,,[]
I am Ghanaian.,Ich bin Ghanaer.,Ich bin  Ghanaerin.,,[]
I am Guinean.,Ich bin Guineer.,Ich bin  Guineerin.,,[]
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,,"['\\n\\nIch bin Gambier.', '\\nIch bin Gambierin.']"
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,,[]
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin  Äquatorialguineerin.,,[]
I am Greek.,Ich bin Grieche.,Ich bin  Griechin.,,[]
I am Grenadian.,Ich bin Grenader.,Ich bin  Grenaderin.,,['\\n\\nIch bin Grenader.\\n\\n']
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin  Guatemaltekin.,,[]
I am Guyanese.,Ich bin Guyaner.,Ich bin  Guyanerin.,,[]
I am Honduran.,Ich bin Honduraner.,Ich bin  Honduranerin.,,[]
I am Croatian.,Ich bin Kroate.,Ich bin  Kroatin.,,[]
I am Haitian.,Ich bin Haitianer.,Ich bin  Haitinaerin.,,"['\\n\\nIch bin Haitianer.', '\\nIch bin Haitianerin.']"
I am Hungarian.,Ich bin Ungar.,Ich bin  Ungarin.,,[]
I am Indonesian.,Ich bin Indonesier.,Ich bin  Indonesierin.,,[]
I am Indian.,Ich bin Inder.,Ich bin  Inderin.,,[]
I am Irish.,Ich bin Ire.,Ich bin  Irin.,,[]
I am Iranian.,Ich bin Iraner.,Ich bin  Iranerin.,,[]
I am Iraqi.,Ich bin Iraker.,Ich bin  Irakerin.,,[]
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,[]
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,[]
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,[]
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,[]
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,[]
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,[]
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,['I come from Kazakhstan.']
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,[]
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,[]
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,[]
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,['\\n\\nIch bin Kiribati.\\n\\n']
I am Kittitian or Nevisian.,,,,['\\n\\nIch bin Kittitianer oder Nevisianer.\\n\\n']
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,[]
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,[]
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,[]
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,[]
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,[]
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,[]
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,[]
