eng,deu_m,deu_f,deu_n,output
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"Ich bin Afghanin/Afghane.

* **Ich bin Afghanin** is used if the speaker is female.
* **Ich bin Afghane** is used if the speaker is male.
"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"Ich bin Angolaner/Angolanerin.

* **Angolaner** is used for a male Angolan.
* **Angolanerin** is used for a female Angolan.
"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"Ich bin Albaner/Albanerin.

* **Ich bin Albaner:**  This is used by a male speaker.
* **Ich bin Albanerin:** This is used by a female speaker.
"
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"Ich bin Andorraner. (for a male)
Ich bin Andorranerin. (for a female)
"
I am Emirati.,,,,"Ich bin Emirati.
"
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"Ich bin Argentinier/in.

* **Argentinier** is used for a male.
* **Argentinierin** is used for a female.
"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"Ich bin Armenier. (for a male speaker)
Ich bin Armenierin. (for a female speaker)
"
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"The most straightforward translation is: **Ich bin Antiguaner/in.**

* **Antiguaner** is used for a male Antiguan.
* **Antiguanerin** is used for a female Antiguan.

You would choose the appropriate form based on your gender.  If you want to avoid specifying gender, you could say  **Ich bin von Antigua.** (I am from Antigua).  This is grammatically correct and perfectly understandable.
"
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"Ich bin Australier/in.
"
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"Ich bin Österreicher/in.

* **Österreicher** is used for a male Austrian.
* **Österreicherin** is used for a female Austrian.
"
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"Ich bin Aserbaidschaner/in.

* **Aserbaidschaner** is used for a male Azerbaijani.
* **Aserbaidschanerin** is used for a female Azerbaijani.
"
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"Ich bin Burundier.
"
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"Ich bin Belgier. (for a male speaker)
Ich bin Belgierin. (for a female speaker)
Ich bin belgisch. (gender-neutral, less common but acceptable)
"
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"Ich bin Beniner. (for a male speaker)
Ich bin Beninerin. (for a female speaker)
"
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"Ich bin Burkinabé.
"
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"Ich bin Bangladescher/Bangladeschin.

* **Ich bin Bangladescher** is used by men.
* **Ich bin Bangladeschin** is used by women.
"
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"Ich bin Bulgare. (masculine)
Ich bin Bulgarin. (feminine)
"
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"Ich bin Bahrainer. (for a male speaker)
Ich bin Bahrainerin. (for a female speaker)
"
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"The most straightforward translation is: **Ich bin Bahamianer.**  (or, less common but also correct: **Ich bin Bahamainer**)
"
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"Ich bin Bosnier/Bosnierin.

* **Ich bin Bosnier** is used for a male speaker.
* **Ich bin Bosnierin** is used for a female speaker.
"
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"Ich bin Belarussin/Belarusse.

* **Ich bin Belarussin** is used by women.
* **Ich bin Belarusse** is used by men.
"
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"The most straightforward translation is: **Ich bin Belizeaner.** (for a male speaker) or **Ich bin Belizeanerin.** (for a female speaker).
"
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"Ich bin Bolivianer/in.

* **Bolivianer** is used for a male Bolivian.
* **Bolivianerin** is used for a female Bolivian.
"
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"Ich bin Brasilianer/Brasilianerin.

* **Brasilianer** is used for a male Brazilian.
* **Brasilianerin** is used for a female Brazilian.
"
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"Ich bin Barbadianer/in.

* **Barbadianer** is used for a male Barbadian.
* **Barbadianerin** is used for a female Barbadian.  You need to choose the correct one based on your gender.
"
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"Ich bin Brunei-Bürger/in.  (This is the most accurate and formal translation)

You could also say:

* Ich bin aus Brunei. (I am from Brunei - slightly less formal)


The first option is preferred if you want to emphasize your citizenship. The second is suitable for general conversation.  The gendered ending (-Bürger for male, -Bürgerin for female) should be chosen to match your gender.
"
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"Ich bin Bhutaner/in.

* **Ich bin Bhutaner** is used for a male speaker.
* **Ich bin Bhutanerin** is used for a female speaker.
"
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"Ich bin Motswana.
"
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"The most straightforward translation is: **Ich bin zentralafrikanisch.**
"
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"Ich bin Kanadier. (for a male speaker)
Ich bin Kanadierin. (for a female speaker)
Ich bin kanadisch. (gender-neutral, less common but acceptable)
"
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"Ich bin Schweizer. (for a male speaker)
Ich bin Schweizerin. (for a female speaker)
Ich bin Schweizern. (plural, both male and female)
"
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"Ich bin Chilene/Chilener.

* **Ich bin Chilene:** This is used by a female speaker.
* **Ich bin Chilener:** This is used by a male speaker.
"
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"Ich bin Chinese.
"
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,"Ich bin Ivorer.
"
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"Ich bin Kameruner. (for a male speaker)
Ich bin Kamerunerin. (for a female speaker)
"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"Ich bin Kongolese.
"
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"Ich bin Kongolese.
"
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"Ich bin Kolumbianer/Kolumbianerin.

* **Kolumbianer** is used for a male speaker.
* **Kolumbianerin** is used for a female speaker.
"
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"The most straightforward translation is: **Ich bin Komorer.**
"
I am Cape Verdian.,,,,"The most straightforward translation is: **Ich bin kapverdisch.**
"
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin  Costa Ricanerin.,,"Ich bin costa-ricanisch.
"
I am Cuban.,Ich bin Kubaner.,Ich bin  Kubanerin.,,"Ich bin Kubaner/Kubanerin.

* **Ich bin Kubaner** is used by men.
* **Ich bin Kubanerin** is used by women.
"
I am Cypriot.,Ich bin Zyprer.,Ich bin  Zyprerin.,,"Ich bin Zyprer/Zypriotin.

* **Zyprer** is used for a male Cypriot.
* **Zypriotin** is used for a female Cypriot.
"
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"Ich bin Tscheche. (for a male speaker)
Ich bin Tschechin. (for a female speaker)
"
I am German.,Ich bin Deutsche.,Ich bin  Deutsche.,,"Ich bin Deutsch.
"
I am Djibouti.,Ich bin Dschibutier.,Ich bin  Dschibutierin.,,"There's no direct translation of ""I am Djibouti"" that works in German in the same way it does in English.  The English sentence uses ""Djibouti"" as a personification.  To translate it accurately, you need to convey the intended meaning.  Here are a few options depending on the context:

* **If it's a playful or ironic statement:**  `Ich bin Dschibuti.` (This is a literal translation, but sounds odd unless used ironically.)

"
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"The most straightforward translation is: **Ich bin Dominikaner/in.**

* **Dominikaner** is used for a male Dominican.
* **Dominikanerin** is used for a female Dominican.
  
You would choose the appropriate form based on your gender.
"
I am Danish.,Ich bin Däne.,Ich bin  Dänin.,,"Ich bin Däne. (masculine)
Ich bin Dänin. (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Dominican.,Ich bin Dominikaner.,Ich bin  Dominikanerin.,,"The most straightforward translation is: **Ich bin Dominikaner/in.**

* **Dominikaner** is used for a male Dominican.
* **Dominikanerin** is used for a female Dominican.
  
You would choose the appropriate form based on your gender.
"
I am Algerian.,Ich bin Algerier.,Ich bin  Algerierin.,,"Ich bin Algerier. (for a male speaker)
Ich bin Algerierin. (for a female speaker)
"
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin  Ecuadorianerin.,,"Ich bin Ecuadorianer/in.

* **Ecuadorianer** is used for a male Ecuadorian.
* **Ecuadorianerin** is used for a female Ecuadorian.
"
I am Egyptian.,Ich bin Ägypter.,Ich bin  Ägypterin.,,"Ich bin Ägypter/Ägypterin.

* **Ich bin Ägypter** is used if the speaker is male.
* **Ich bin Ägypterin** is used if the speaker is female.
"
I am Eritrean.,Ich bin Eritreer.,Ich bin  Eritreerin.,,"Ich bin Eritreer/in.

* **Eritreer** is used for a male speaker.
* **Eritreerin** is used for a female speaker.
"
I am Spanish.,Ich bin Spanier.,Ich bin  Spanierin.,,"Ich bin Spanier. (for a male speaker)
Ich bin Spanierin. (for a female speaker)
Ich bin spanisch. (This is also correct, but less common and emphasizes nationality less strongly than the other options.  It's more like saying ""I am of Spanish origin/nationality"".)
"
I am Estonian.,Ich bin Este.,Ich bin  Estin.,,"Ich bin Estländer/Estin.

* **Ich bin Estländer** is used by men.
* **Ich bin Estin** is used by women.
"
I am Ethiopian.,Ich bin Äthiopier.,Ich bin  Äthiopierin.,,"Ich bin Äthiopier. (for a male speaker)
Ich bin Äthiopierin. (for a female speaker)
"
