eng,deu_m,deu_f,deu_n,output
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"The translation of ""I am Afghan"" into German is ""Ich bin Afghane"" for a male or ""Ich bin Afghanin"" for a female."
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"The translation of ""I am Angolan"" into German is ""Ich bin Angolaner"" for a male or ""Ich bin Angolanerin"" for a female."
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"The translation of ""I am Albanian"" into German is ""Ich bin Albaner"" for a male or ""Ich bin Albanerin"" for a female."
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"The translation of ""I am Andorran"" into German is ""Ich bin Andorraner"" if you are male, or ""Ich bin Andorranerin"" if you are female."
I am Emirati.,,,,"The translation of ""I am Emirati"" into German is ""Ich bin Emirati."""
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"Certainly! The translation of ""I am Argentine"" into German is ""Ich bin Argentinier"" if you are male, or ""Ich bin Argentinierin"" if you are female."
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"The translation of ""I am Armenian"" into German is ""Ich bin Armenier"" for a male speaker or ""Ich bin Armenierin"" for a female speaker."
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"The translation of ""I am Antiguan"" into German is ""Ich bin Antiguaner"" for a male or ""Ich bin Antiguanerin"" for a female."
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"The translation of ""I am Australian"" into German is ""Ich bin Australier"" if you are male, or ""Ich bin Australierin"" if you are female."
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"Certainly! The sentence ""I am Austrian."" translates to ""Ich bin Österreicher."" if you are male, or ""Ich bin Österreicherin."" if you are female."
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin  Aserbaidschanerin.,,"The translation of ""I am Azerbaijani"" into German is ""Ich bin Aserbaidschaner"" for a male speaker or ""Ich bin Aserbaidschanerin"" for a female speaker."
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"The translation of ""I am Burundian"" into German is ""Ich bin Burundier"" for a male or ""Ich bin Burundierin"" for a female."
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"The translation of ""I am Belgian"" into German is ""Ich bin Belgier"" for a male speaker or ""Ich bin Belgierin"" for a female speaker."
I am Beninese.,Ich bin Beniner.,Ich bin  Beninerin.,,"The translation of ""I am Beninese"" into German is ""Ich bin Beniner"" for a male or ""Ich bin Beninerin"" for a female."
I am Burkinabe.,Ich bin Burkiner.,Ich bin  Burkinerin.,,"The translation of ""I am Burkinabe"" into German is ""Ich bin Burkiner"" for a male or ""Ich bin Burkinerin"" for a female."
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin  Bangladescherin.,,"The translation of ""I am Bangladeshi"" into German is ""Ich bin Bangladescher"" for a male or ""Ich bin Bangladescherin"" for a female."
I am Bulgarian.,Ich bin Bulgare.,Ich bin  Bulgarin.,,"The translation of ""I am Bulgarian"" into German is ""Ich bin Bulgare"" if you are male, or ""Ich bin Bulgarin"" if you are female."
I am Bahraini.,Ich bin Bahrainer.,Ich bin  Bahrainerin.,,"The translation of ""I am Bahraini"" into German is ""Ich bin Bahraini."""
I am Bahamian.,Ich bin Bahamaer.,Ich bin  Bahamaerin.,,"The translation of ""I am Bahamian"" into German is ""Ich bin Bahamaer."""
I am Bosnian.,Ich bin Bosnier.,Ich bin  Bosnierin.,,"The translation of ""I am Bosnian"" into German is ""Ich bin Bosnier"" if you are male, or ""Ich bin Bosnierin"" if you are female."
I am Belarusian.,Ich bin Belarusse.,Ich bin  Belarussin.,,"The translation of ""I am Belarusian"" into German is ""Ich bin Belarussin"" if you are female, or ""Ich bin Belarusse"" if you are male."
I am Belizean.,Ich bin Belizer.,Ich bin  Belizerin.,,"The translation of ""I am Belizean"" into German is ""Ich bin Belizer."""
I am Bolivian.,Ich bin Bolivianer.,Ich bin  Bolivianerin.,,"The translation of ""I am Bolivian"" into German is ""Ich bin Bolivianer"" if you are male, or ""Ich bin Bolivianerin"" if you are female."
I am Brazilian.,Ich bin Brasilianer.,Ich bin  Brasilianerin.,,"The translation of ""I am Brazilian"" into German is ""Ich bin Brasilianer"" for a male or ""Ich bin Brasilianerin"" for a female."
I am Barbadian.,Ich bin Barbadier.,Ich bin  Barbadierin.,,"The translation of ""I am Barbadian"" into German is ""Ich bin Barbadier."""
I am Bruneian.,Ich bin Bruneier.,Ich bin  Bruneierin.,,"The translation of ""I am Bruneian"" into German is ""Ich bin Bruneier."""
I am Bhutanese.,Ich bin Bhutaner.,Ich bin  Bhutanerin.,,"The translation of ""I am Bhutanese"" into German is ""Ich bin Bhutaner"" for a male or ""Ich bin Bhutanerin"" for a female."
I am Motswana.,Ich bin Botsuaner.,Ich bin  Botsuanerin.,,"The translation of ""I am Motswana"" into German is ""Ich bin Motswana."""
I am Central African.,Ich bin Zentralafrikaner.,Ich bin  Zentralafrikanerin.,,"The translation of ""I am Central African"" into German is ""Ich bin Zentralafrikaner"" for a male speaker or ""Ich bin Zentralafrikanerin"" for a female speaker."
I am Canadian.,Ich bin Kanadier.,Ich bin  Kanadierin.,,"The translation of ""I am Canadian"" into German is ""Ich bin Kanadier"" if you are male, or ""Ich bin Kanadierin"" if you are female."
I am Swiss.,Ich bin Schweizer.,Ich bin  Schweizerin.,,"The translation of ""I am Swiss"" into German is ""Ich bin Schweizer"" if you are male, or ""Ich bin Schweizerin"" if you are female."
I am Chilean.,Ich bin Chilene.,Ich bin  Chilenin.,,"The translation of ""I am Chilean"" into German is ""Ich bin Chilene"" for a male speaker or ""Ich bin Chilenin"" for a female speaker."
I am Chinese.,Ich bin Chinese.,Ich bin  Chinesin.,,"The translation of ""I am Chinese"" into German is ""Ich bin Chinese"" if you are male, or ""Ich bin Chinesin"" if you are female."
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,"The translation of ""I am Ivorian"" into German is ""Ich bin Ivorer"" for a male or ""Ich bin Ivorerin"" for a female."
I am Cameroonian.,Ich bin Kameruner.,Ich bin  Kamerunerin.,,"The translation of ""I am Cameroonian"" into German is ""Ich bin Kameruner"" for a male or ""Ich bin Kamerunerin"" for a female."
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"The translation of ""I am Congolese"" into German is ""Ich bin Kongolese"" for a male speaker or ""Ich bin Kongolesin"" for a female speaker."
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"The translation of ""I am Congolese"" into German is ""Ich bin Kongolese"" for a male speaker, or ""Ich bin Kongolesin"" for a female speaker."
I am Colombian.,Ich bin Kolumbianer.,Ich bin  Kolumbianerin.,,"The translation of ""I am Colombian"" into German is ""Ich bin Kolumbianer"" if you are male, or ""Ich bin Kolumbianerin"" if you are female."
I am Comoran.,Ich bin Komorer.,Ich bin  Komorerin.,,"The translation of ""I am Comoran"" into German is ""Ich bin Komorer"" if you are male, or ""Ich bin Komorerin"" if you are female."
I am Cape Verdian.,,,,"The translation of ""I am Cape Verdian"" into German is ""Ich bin Kapverdier."""
