Code,Language,Family
aaa,Ghotuo,Niger-Congo
aab,Arum,Niger-Congo
aac,Ari,Trans-New Guinea
aad,Amal,Sepik
aae,Arbëreshë Albanian,Indo-European
aaf,Aranadan,Dravidian
aag,Ambrak,Torricelli
aah,Abu’,Torricelli
aai,Miniafia Oyan,Austronesian
aak,Ankave,Trans-New Guinea
aal,Afade,Afro-Asiatic
aan,Anambé,Tupian
aao,"Arabic, Algerian Saharan Spoken",Afro-Asiatic
aap,Pará Arára,Cariban
aaq,"Abenaki, Eastern",Algic
aar,Afar,Afro-Asiatic
aas,Aasáx,Afro-Asiatic
aat,Arvanitika Albanian,Indo-European
aau,Abau,Sepik
aaw,Solong,Austronesian
aax,Mandobo Atas,Trans-New Guinea
aaz,Amarasi,Austronesian
aba,Abé,Niger-Congo
abb,Bankon,Niger-Congo
abc,Ambala Ayta,Austronesian
abd,Manide,Austronesian
abe,Western Abenaki,Algic
abf,Abai Sungai,Austronesian
abg,Wagama,Trans-New Guinea
abh,"Arabic, Tajiki Spoken",Afro-Asiatic
abi,Abidji,Niger-Congo
abj,Aka-Bea,Andamanese
abk,Abkhaz,Abkhaz-Adyghe
abl,Lampung Nyo,Austronesian
abm,Abanyom,Niger-Congo
abn,Abua,Niger-Congo
abo,Abon,Niger-Congo
abp,Abellen Ayta,Austronesian
abq,Abaza,Abkhaz-Adyghe
abr,Abron,Niger-Congo
abs,Ambonese Malay,Creole
abt,Ambulas,Sepik
abu,Abure,Niger-Congo
abv,Baharna Spoken Arabic,Afro-Asiatic
abw,Pal,Trans-New Guinea
abx,Inabaknon,Austronesian
aby,Aneme Wake,Trans-New Guinea
abz,Abui,Trans-New Guinea
aca,Achagua,Maipurean
acb,Áncá,Niger-Congo
acd,Gikyode,Niger-Congo
ace,Aceh,Austronesian
acf,Lesser Antillean French Creole,Creole
ach,Acholi,Nilo-Saharan
aci,Aka-Cari,Andamanese
ack,Aka-Kora,Andamanese
acl,Akar-Bale,Andamanese
acm,Mesopotamian Spoken Arabic,Afro-Asiatic
acn,Achang,Sino-Tibetan
acp,"Acipa, Eastern",Niger-Congo
acq,"Arabic, Ta’izzi-Adeni Spoken",Afro-Asiatic
acr,Achi,Mayan
acs,Acroá,Jean
act,Achterhoeks,Indo-European
acu,Achuar-Shiwiar,Jivaroan
acv,Achumawi,Palaihnihan
acw,"Arabic, Hijazi Spoken",Afro-Asiatic
acx,Omani Spoken Arabic,Afro-Asiatic
acy,Cypriot Spoken Arabic,Afro-Asiatic
acz,Acheron,Niger-Congo
ada,Dangme,Niger-Congo
adb,Atauran,Austronesian
add,Lidzonka,Niger-Congo
ade,Adele,Niger-Congo
adf,"Arabic, Dhofari Spoken",Afro-Asiatic
adg,Andegerebinha,Australian
adh,Jopadhola,Nilo-Saharan
adi,Adi,Sino-Tibetan
adj,Adioukrou,Niger-Congo
adl,Galo Adi,Sino-Tibetan
adn,Adang,Trans-New Guinea
ado,Abu,Ramu-Lower Sepik
adq,Adangbe,Niger-Congo
adr,Adonara,Austronesian
ads,Adamorobe Sign Language,Sign language
adt,Adnyamathanha,Australian
adu,Aduge,Niger-Congo
adw,Amundava,Tupian
