eng,it_m,it_f,it_n,output
I am Afghan.,Sono afghano.,Sono afghana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono afghano."" (if you\'re male)\n""Sono afghana."" (if you\'re female)', type='text')]"
I am Angolan.,Sono angolano.,Sono angolana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono angolano."" (if you\'re male)\n""Sono angolana."" (if you\'re female)', type='text')]"
I am Albanian.,,,Sono albanese.,"[TextBlock(text='In Italian, ""I am Albanian"" would be:\n\n""Sono albanese.""\n\nPronunciation: soh-noh al-bah-neh-seh', type='text')]"
I am Andorran.,Sono andorrano.,Sono andorrana.,,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono andorrano."" (if you\'re male)\n""Sono andorrana."" (if you\'re female)', type='text')]"
I am Emirati.,Sono emiratino.,Sono emiratina.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono emiratino"" (if you\'re a male)\n""Sono emiratina"" (if you\'re a female)\n\nThe word ""emiratino/emiratina"" refers to someone from the United Arab Emirates (Emirati).', type='text')]"
I am Argentine.,Sono argentino.,Sono argentina.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono argentino."" (if you\'re a male)\n""Sono argentina."" (if you\'re a female)', type='text')]"
I am Armenian.,Sono armeno.,Sono armena.,,"[TextBlock(text='In Italian, ""I am Armenian"" would be:\n\n""Sono armeno."" (if you are a male)\n""Sono armena."" (if you are a female)', type='text')]"
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono antiguo/a.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Antiguo"" (masculine) or ""Antigua"" (feminine) refers to someone from Antigua\n- The ending changes depending on the gender of the speaker', type='text')]"
I am Australian.,Sono australiano.,Sono australiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono australiano."" (if you\'re a male)\n""Sono australiana."" (if you\'re a female)', type='text')]"
I am Austrian.,Sono austriaco.,Sono austriaca.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono austriaco."" (if you\'re a male)\n""Sono austriaca."" (if you\'re a female)', type='text')]"
I am Azerbaijani.,Sono azero.,Sono azera.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono azerbaigiano."" (if you\'re male)\n""Sono azerbaigiana."" (if you\'re female)', type='text')]"
I am Burundian.,,,Sono burundese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono burundese.""\n\nPronunciation: soh-noh boo-roon-deh-seh', type='text')]"
I am Belgian.,,,Sono belga.,"[TextBlock(text='Here\'s the translation:\n\n""Sono belga.""', type='text')]"
I am Beninese.,,,Sono beninese.,"[TextBlock(text='In Italian, ""I am Beninese"" would be:\n\n""Sono beninese.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Beninese"" refers to someone from Benin, and in Italian, it is written as ""beninese"" (with a lowercase \'b\')', type='text')]"
I am Burkinabe.,,,,"[TextBlock(text='Here\'s the translation:\n\n""Sono burkinabé.""\n\nNote: ""Burkinabé"" refers to a person from Burkina Faso, and the term remains the same in Italian as in French.', type='text')]"
I am Bangladeshi.,,,Sono bangladese.,"[TextBlock(text='In Italian, ""I am Bangladeshi"" would be:\n\n""Sono bangladese.""\n\nNote: ""Bangladese"" is the Italian term for someone from Bangladesh.', type='text')]"
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono bulgaro."" (if you\'re a male)\n""Sono bulgara."" (if you\'re a female)', type='text')]"
I am Bahraini.,,,Sono bahreinita.,"[TextBlock(text='Here\'s the translation:\n\n""Sono bahrenita."" (if you\'re female)\n""Sono bahrenito."" (if you\'re male)\n\nNote: The word ""Bahraini"" changes slightly based on the gender of the speaker.', type='text')]"
