eng,it_m,it_f,it_n,output
I am Afghan.,Sono afghano.,Sono afghana.,,"In Italian, ""I am Afghan"" translates to:

""Sono afghano"" (if you are male)
or
""Sono afghana"" (if you are female)"
I am Angolan.,Sono angolano.,Sono angolana.,,"In Italian, ""I am Angolan"" translates to:

""Sono angolano"" (if you are male)
or
""Sono angolana"" (if you are female)"
I am Albanian.,,,Sono albanese.,"In Italian, ""I am Albanian"" translates to:

""Sono albanese"""
I am Andorran.,Sono andorrano.,Sono andorrana.,,"In Italian, ""I am Andorran"" translates to:

""Sono andorrano"" (if you are male)
or
""Sono andorrana"" (if you are female)"
I am Emirati.,Sono emiratino.,Sono emiratina.,,"In Italian, ""I am Emirati"" would be:

""Sono emiratino"" (if you\'re male)
or
""Sono emiratina"" (if you\'re female)

Note that in Italian, adjectives of nationality change their ending based on gender."
I am Argentine.,Sono argentino.,Sono argentina.,,"In Italian, ""I am Argentine"" can be translated as:

""Sono argentino"" (if you are male)
or
""Sono argentina"" (if you are female)

Note that in Italian, adjectives of nationality agree with the gender of the person speaking."
I am Armenian.,Sono armeno.,Sono armena.,,"In Italian, ""I am Armenian"" translates to:

""Sono armeno"" (if you are male)
or
""Sono armena"" (if you are female)"
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"In Italian, ""I am Antiguan"" would be:

""Sono antiguano"" (if you\'re male)
or
""Sono antiguana"" (if you\'re female)

Note: The adjective for nationality changes based on gender in Italian."
I am Australian.,Sono australiano.,Sono australiana.,,"In Italian, ""I am Australian"" translates to:

""Sono australiano"" (if you\'re male)
or
""Sono australiana"" (if you\'re female)"
I am Austrian.,Sono austriaco.,Sono austriaca.,,"In Italian, ""I am Austrian"" translates to:

""Sono austriaco"" (if you are male)
or
""Sono austriaca"" (if you are female)"
I am Azerbaijani.,Sono azero.,Sono azera.,,"In Italian, ""I am Azerbaijani"" translates to:

""Sono azerbaigiano"" (if you\'re male)
""Sono azerbaigiana"" (if you\'re female)"
I am Burundian.,,,Sono burundese.,"In Italian, ""I am Burundian"" would be:

""Sono burundese""

Note: In Italian, nationality adjectives are not capitalized as they are in English."
I am Belgian.,,,Sono belga.,"In Italian, ""I am Belgian"" translates to:

""Sono belga"""
I am Beninese.,,,Sono beninese.,"In Italian, ""I am Beninese"" would be:

""Sono beninese""

Note: In Italian, nationality adjectives are not capitalized unless they\'re at the beginning of a sentence."
I am Burkinabe.,,,,"In Italian, ""I am Burkinabe"" would be:

""Sono burkinabé""

Note: The word ""burkinabé"" in Italian remains the same as in French (the official language of Burkina Faso), and it\'s invariable in Italian, meaning it doesn\'t change form based on gender."
I am Bangladeshi.,,,Sono bangladese.,"In Italian, ""I am Bangladeshi"" translates to:

""Sono bengalese""

Note: In Italian, nationalities are not capitalized as they are in English."
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"In Italian, ""I am Bulgarian"" translates to:

""Sono bulgaro"" (if you are male)
or
""Sono bulgara"" (if you are female)"
I am Bahraini.,,,Sono bahreinita.,"In Italian, ""I am Bahraini"" would be:

""Sono bahreinita""

Note: If you are female, you would say ""Sono bahreinita""
If you are male, you would say ""Sono bahreinito"""
I am Bahamian.,,,Sono bahamense.,"In Italian, ""I am Bahamian"" would be:

""Sono bahamiano"" (if you\'re male)
or
""Sono bahamiana"" (if you\'re female)"
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"In Italian, ""I am Bosnian"" translates to:

""Sono bosniaco"" (if you\'re male)
or
""Sono bosniaca"" (if you\'re female)"
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"In Italian, ""I am Belarusian"" translates to:

""Sono bielorusso"" (if you\'re male)
or
""Sono bielorussa"" (if you\'re female)"
I am Belizean.,Sono beliziano.,Sono beliziana.,,"In Italian, ""I am Belizean"" would be:

""Sono beliziano"" (if you\'re male)
or
""Sono beliziana"" (if you\'re female)"
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"In Italian, ""I am Bolivian"" translates to:

""Sono boliviano"" (if you\'re male)
or
""Sono boliviana"" (if you\'re female)"
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"In Italian, ""I am Brazilian"" translates to:

""Sono brasiliano"" (if you\'re male)
or
""Sono brasiliana"" (if you\'re female)"
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"In Italian, ""I am Barbadian"" would be:

""Sono barbadiano"" (if you\'re male)
or
""Sono barbadiana"" (if you\'re female)

Note that in Italian, nationality adjectives are gendered, so you need to use the appropriate ending (-o for male, -a for female)."
I am Bruneian.,,,,"In Italian, ""I am Bruneian"" would be:

""Sono del Brunei"" or ""Sono bruneiano/bruneiana""

Note: ""bruneiano"" is used for males, while ""bruneiana"" is used for females."
I am Bhutanese.,,,Sono bhutanese.,"In Italian, ""I am Bhutanese"" would be:

""Sono butanese""

Note: In Italian, nationality adjectives are not capitalized unless they begin a sentence."
I am Motswana.,Sono botswano.,Sono botswana.,,"In Italian, ""I am Motswana"" would be:

""Sono motswana""

Note: ""Motswana"" is kept the same as it\'s a demonym (a word that identifies residents or natives of a particular place), and it\'s typically not translated into other languages."
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"In Italian, ""I am Central African"" would be:

""Sono centrafricano"" (if male)
or
""Sono centrafricana"" (if female)"
I am Canadian.,,,Sono canadese.,"In Italian, ""I am Canadian"" translates to:

""Sono canadese"""
I am Swiss.,Sono svizzero.,Sono svizzera.,,"In Italian, ""I am Swiss"" translates to:

""Sono svizzero"" (if you are male)
or
""Sono svizzera"" (if you are female)"
I am Chilean.,Sono cileno.,Sono cilena.,,"In Italian, ""I am Chilean"" is:

""Sono cileno"" (if you are male)
""Sono cilena"" (if you are female)

Note that in Italian, nationality adjectives are gendered, so you need to use the appropriate ending (-o for male, -a for female)."
I am Chinese.,,,Sono cinese.,"In Italian, ""I am Chinese"" translates to:

""Sono cinese"""
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"In Italian, ""I am Ivorian"" translates to:

""Sono ivoriano"" (if you are male)
or
""Sono ivoriana"" (if you are female)

Note that in Italian, adjectives of nationality change their ending based on the gender of the person speaking."
I am Cameroonian.,,,Sono camerunese.,"In Italian, ""I am Cameroonian"" is:

""Sono camerunese""

Note: In Italian, nationality adjectives are not capitalized as they are in English."
I am Congolese.,,,Sono congolese.,"In Italian, ""I am Congolese"" translates to:

""Sono congolese""

Note: In Italian, nationality adjectives are not capitalized unless they\'re at the beginning of a sentence."
