eng,fra_m,fra_f,fra_n,extracted
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,['Je suis Afghan.']
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,['Je suis angolais.']
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,['Je suis albanais.']
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,['Je suis andorran.']
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,['Je suis Emirati.']
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,['Je suis argentin.']
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,['Je suis arménien.']
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,['Je suis Antiguais.']
I am Australian.,Je suis Australien.,Je suis Australienne.,,['Je suis Australien.']
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,['Je suis autrichien.']
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,['Je suis azéri.']
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,['Je suis Burundais.']
I am Belgian.,Je suis Belge.,Je suis Belge.,,['Je suis Belge.']
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,['Je suis Béninois.']
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,['Je suis Burkinabé.']
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,['Je suis Bangladais.']
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,['Je suis Bulgare.']
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,['Je suis Bahreïnien.']
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,['Je suis Bahamien.']
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,['Je suis bosnien.']
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,['Je suis Biélorusse.']
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,['Je suis Belizien.']
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,['Je suis bolivien.']
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,['Je suis Brésilien.']
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,['Je suis barbadien.']
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,['Je suis Bruneien.']
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,['Je suis Bhoutanais.']
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,['Je suis Motswana.']
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,['Je suis centrafricain.']
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,['Je suis Canadien.']
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,['Je suis Suisse.']
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,['Je suis Chilien.']
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,['Je suis chinois.']
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,['Je suis Ivoirien.']
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,['Je suis Camerounais.']
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,['Je suis Congolais.']
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,['Je suis Congolais.']
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,['Je suis Colombien.']
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,['Je suis Comorien.']
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,['Je suis Cap-Verdien.']
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,['Je suis Costaricain.']
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,['Je suis cubain.']
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,['Je suis Chypriote.']
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,['Je suis tchèque.']
I am German.,Je suis Allemand.,Je suis Allemande.,,['Je suis allemand.']
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,['Je suis Djibouti.']
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,['Je suis Dominicain.']
I am Danish.,Je suis Danois.,Je suis Danoise.,,['Je suis danois.']
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,['Je suis Dominicain.']
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,['Je suis Algérien.']
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,['Je suis équatorien.']
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,['Je suis égyptien.']
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,['Je suis érythréen.']
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,['Je suis Espagnol.']
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,['Je suis estonien.']
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,['Je suis éthiopien.']
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,['Je suis finlandais.']
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,['Je suis fidjien.']
I am French.,Je suis Français.,Je suis Française.,,['Je suis français.']
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,['Je suis micronésien.']
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,['Je suis Gabonais.']
I am British.,Je suis Britannique.,Je suis Britannique.,,['Je suis britannique.']
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,['Je suis géorgien.']
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,['Je suis ghanéen.']
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,['Je suis guinéen.']
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,['Je suis Gambien.']
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,['Je suis bissau-guinéen.']
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,['Je suis équato-guinéen.']
I am Greek.,Je suis Grec.,Je suis Grecque.,,['Je suis Grec.']
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,['Je suis Grenadien.']
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,['Je suis Guatémaltèque.']
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,['Je suis Guyanais.']
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,['Je suis hondurien.']
I am Croatian.,Je suis Croate.,Je suis Croate.,,['Je suis Croate.']
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,['Je suis Haïtien.']
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,['Je suis hongrois.']
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,['Je suis indonésien.']
I am Indian.,Je suis Indien.,Je suis Indienne.,,['Je suis indien.']
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,['Je suis irlandais.']
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,['Je suis iranien.']
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,['Je suis irakien.']
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,['Je suis Islandais.']
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,['Je suis Israélien.']
I am Italian.,Je suis Italien.,Je suis Italienne.,,['Je suis Italien.']
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,['Je suis Jamaïcain.']
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,['Je suis Jordanien.']
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,['Je suis Japonais.']
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,['Je suis Kazakh.']
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,['Je suis Kenyan.']
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,['Je suis Kirghize.']
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,['Je suis cambodgien.']
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,['Je suis I-Kiribati.']
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,['Je suis Kittitien ou Nevisien.']
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,['Je suis sud-coréen.']
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,['Je suis Koweïtien.']
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,['Je suis laotien.']
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,['Je suis Libanais.']
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,['Je suis Libérien.']
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,['Je suis Libyen.']
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,['Je suis Saint-Lucien.']
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,['Je suis Liechtensteinois.']
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,['Je suis Sri Lankais.']
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,['Je suis Mosotho.']
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,['Je suis Lituanien.']
