eng,deu_m,deu_f,deu_n,output
I am Afghan.,Ich bin Afghane.,Ich bin  Afghanin.,,"In German, ""I am Afghan"" translates to:

""Ich bin Afghane"" (if you are male)
or
""Ich bin Afghanin"" (if you are female)"
I am Angolan.,Ich bin Angolaner.,Ich bin  Angolanerin.,,"The translation is:

""Ich bin Angolaner."" (if you are male)
""Ich bin Angolanerin."" (if you are female)"
I am Albanian.,Ich bin Albaner.,Ich bin  Albanerin.,,"In German, ""I am Albanian"" translates to:

""Ich bin Albaner"" (if you are male)
or
""Ich bin Albanerin"" (if you are female)"
I am Andorran.,Ich bin Andorraner.,Ich bin  Andorranerin.,,"The translation is:

""Ich bin Andorraner."" (if you are male)
or
""Ich bin Andorranerin."" (if you are female)"
I am Emirati.,,,,"In German, ""I am Emirati"" would be:

""Ich bin Emirati"" or ""Ich bin Emirater/Emiraterin"" (male/female)

Note: ""Emirati"" can either remain as ""Emirati"" or be germanized to ""Emirater"" (male) or ""Emiraterin"" (female)."
I am Argentine.,Ich bin Argentinier.,Ich bin  Argentinierin.,,"In German, ""I am Argentine"" translates to:

""Ich bin Argentinier"" (if you\'re male)
or
""Ich bin Argentinierin"" (if you\'re female)"
I am Armenian.,Ich bin Armenier.,Ich bin  Armenierin.,,"In German, ""I am Armenian"" translates to:

""Ich bin Armenier"" (if you are male)
or
""Ich bin Armenierin"" (if you are female)"
I am Antiguan.,Ich bin Antiguaner.,Ich bin  Antiguanerin.,,"The translation is:
""Ich bin Antiguaner/Antiguanerin""

Note: Use ""Antiguaner"" if you\'re male, and ""Antiguanerin"" if you\'re female."
I am Australian.,Ich bin Australier.,Ich bin  Australierin.,,"In German, ""I am Australian"" translates to:

""Ich bin Australier"" (if you\'re male)
or
""Ich bin Australierin"" (if you\'re female)"
I am Austrian.,Ich bin Österreicher.,Ich bin  Österreicherin.,,"The translation is:

""Ich bin Österreicher."" (if you are male)
or
""Ich bin Österreicherin."" (if you are female)"
