eng,spa_m,spa_f,spa_n,output
I am Afghan.,Soy afgano.,Soy afgana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy afgano."" (if you\'re a male)\n""Soy afgana."" (if you\'re a female)\n\nThe translation depends on the gender of the speaker.', type='text')]"
I am Angolan.,Soy angoleño.,Soy angoleña.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy angoleño."" (if you\'re male)\n""Soy angoleña."" (if you\'re female)', type='text')]"
I am Albanian.,Soy albanés.,Soy albanésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy albanés."" (if you\'re male)\n""Soy albanesa."" (if you\'re female)', type='text')]"
I am Andorran.,Soy andorrano.,Soy andorrana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy andorrano."" (if you\'re male)\n""Soy andorrana."" (if you\'re female)', type='text')]"
I am Emirati.,,,Soy emiratí.,"[TextBlock(text='In Spanish, ""I am Emirati"" would be:\n\n""Soy emiratí""', type='text')]"
I am Argentine.,Soy argentino.,Soy argentina.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy argentino."" (if you\'re a male)\n""Soy argentina."" (if you\'re a female)', type='text')]"
I am Armenian.,Soy armenio.,Soy armenia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy armenio."" (if you\'re male)\n""Soy armenia."" (if you\'re female)', type='text')]"
I am Antiguan.,Soy antiguano.,Soy antiguana.,,"[TextBlock(text='Here\'s the translation:\n\nSoy antigüense.\n\nNote: ""Antigüense"" is the demonym (nationality) for someone from Antigua, which is part of the country Antigua and Barbuda.', type='text')]"
I am Australian.,Soy australiano.,Soy australiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy australiano."" (if you\'re a male)\n""Soy australiana."" (if you\'re a female)', type='text')]"
I am Austrian.,Soy austriaco.,Soy austriaca.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy austriaco."" (if you\'re male)\n""Soy austriaca."" (if you\'re female)', type='text')]"
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy azerbaiyano."" (if you\'re male)\n""Soy azerbaiyana."" (if you\'re female)', type='text')]"
I am Burundian.,Soy burundés.,Soy burundésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy burundés."" (if you\'re male)\n""Soy burundesa."" (if you\'re female)', type='text')]"
I am Belgian.,,,Soy belga.,"[TextBlock(text='Here\'s the translation:\n\n""Soy belga.""', type='text')]"
I am Beninese.,Soy beninés.,Soy beninésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy beninés."" (if you\'re male)\n""Soy beninesa."" (if you\'re female)', type='text')]"
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy burkinés"" (if you\'re male)\nor\n""Soy burkinesa"" (if you\'re female)\n\nNote: The term ""burkinés/burkinesa"" refers to someone from Burkina Faso.', type='text')]"
I am Bangladeshi.,,,Soy bangladesí.,"[TextBlock(text='Here\'s the translation:\n\n""Soy bangladesí.""', type='text')]"
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy búlgaro."" (if you\'re a male)\n""Soy búlgara."" (if you\'re a female)', type='text')]"
I am Bahraini.,,,Soy bareiní.,"[TextBlock(text='In Spanish, ""I am Bahraini"" would be:\n\n""Soy bahreiní""\n\nNote: ""Bahreiní"" is the Spanish adjective/nationality term for someone from Bahrain.', type='text')]"
I am Bahamian.,Soy bahameño.,Soy bahameña.,,"[TextBlock(text=""Here's the translation:\n\nSoy bahameño. (if you're male)\nSoy bahameña. (if you're female)\n\nNote: The word changes slightly depending on the gender of the speaker."", type='text')]"
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy bosnio."" (if you\'re male)\n""Soy bosnia."" (if you\'re female)', type='text')]"
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy bielorruso."" (if you\'re male)\n""Soy bielorrusa."" (if you\'re female)', type='text')]"
I am Belizean.,Soy beliceño.,Soy beliceña.,,"[TextBlock(text=""Here's the translation:\n\nSoy beliceño. (if you're male)\nSoy beliceña. (if you're female)"", type='text')]"
I am Bolivian.,Soy boliviano.,Soy boliviana.,,"[TextBlock(text=""Here's the translation:\n\nSoy boliviano. (if you're a male)\nSoy boliviana. (if you're a female)"", type='text')]"
I am Brazilian.,Soy brasileño.,Soy brasileña.,,"[TextBlock(text=""Here's the translation:\n\nSoy brasileño. (if you're male)\nSoy brasileña. (if you're female)"", type='text')]"
I am Barbadian.,,,Soy barbadense.,"[TextBlock(text='In Spanish, ""I am Barbadian"" would be:\n\n""Soy barbadense"" or ""Soy de Barbados""\n\nBoth translations are correct, with ""barbadense"" being the more specific term for someone from Barbados.', type='text')]"
I am Bruneian.,Soy bruneano.,Soy bruneana.,,"[TextBlock(text='In Spanish, ""I am Bruneian"" would be translated as:\n\n""Soy bruneano"" (if you are male)\nor\n""Soy bruneana"" (if you are female)', type='text')]"
I am Bhutanese.,Soy butanés.,Soy butanésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Bután"" or ""Soy butanés/butanesa"" (depending on gender)\n\nNote: \n- ""Soy"" means ""I am""\n- ""de Bután"" means ""from Bhutan""\n- ""butanés"" (masculine) or ""butanesa"" (feminine) is the adjective/noun describing someone from Bhutan', type='text')]"
