eng,fra_m,fra_f,fra_n,extracted,is_m,is_f,is_n
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"['Je suis afghan.', 'Je suis afghane.']",True,True,False
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"['Je suis angolais.', 'Je suis angolaise.']",True,True,False
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"['Je suis albanais.', 'Je suis albanaise.']",True,True,False
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"['Je suis andorran.', 'Je suis andorrane.']",True,True,False
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"['Je suis Émirati.', 'Je suis Émiratie.']",False,False,False
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"['Je suis argentin.', 'Je suis argentine.']",True,True,False
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"['Je suis arménien.', 'Je suis arménienne.']",True,True,False
I am Antiguan.,,,Je suis Antiguaise.,"['Je suis Antiguais.', 'Je suis Antiguaise.']",False,False,True
I am Australian.,Je suis Australien.,Je suis Australienne.,,"['Je suis australien.', 'Je suis australienne.']",True,True,False
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"['Je suis autrichien.', 'Je suis autrichienne.']",True,True,False
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"['Je suis azerbaïdjanais.', 'Je suis azerbaïdjanaise.']",True,True,False
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"['Je suis Burundais.', 'Je suis Burundaise.']",True,True,False
I am Belgian.,,,Je suis Belge.,['Je suis belge.'],False,False,True
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"['Je suis béninois.', 'Je suis béninoise.']",True,True,False
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,['Je suis Burkinabé.'],True,False,False
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"['Je suis bangladais.', 'Je suis bangladaise.']",True,True,False
I am Bulgarian.,,,Je suis Bulgare.,['Je suis bulgare.'],False,False,True
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"['Je suis Bahreïni.', 'Je suis Bahreïnie.']",False,False,False
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"['Je suis bahamien.', 'Je suis bahamienne.']",True,True,False
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,['Je suis bosniaque.'],False,False,False
I am Belarusian.,,,Je suis Biélorusse.,['Je suis biélorusse.'],False,False,True
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"['Je suis bélizien.', 'Je suis bélizienne.']",True,True,False
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"['Je suis bolivien.', 'Je suis bolivienne.']",True,True,False
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"['Je suis brésilien.', 'Je suis brésilienne.']",True,True,False
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"['Je suis Barbadien.', 'Je suis Barbadienne.']",True,True,False
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"['Je suis Brunéien.', 'Je suis Brunéienne.']",True,True,False
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"['Je suis bhoutanais.', 'Je suis bhoutanaise.']",True,True,False
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,['Je suis Motswana.'],False,False,False
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"['Je suis centrafricain.', 'Je suis centrafricaine.']",True,True,False
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"['Je suis canadien.', 'Je suis canadienne.']",True,True,False
I am Swiss.,,,Je suis Suisse.,['Je suis suisse.'],False,False,True
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"['Je suis chilien.', 'Je suis chilienne.']",True,True,False
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"['Je suis chinois.', 'Je suis chinoise.']",True,True,False
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"['Je suis Ivoirien.', 'Je suis Ivoirienne.']",True,True,False
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"['Je suis Camerounais.', 'Je suis Camerounaise.']",True,True,False
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"['Je suis Congolais.', 'Je suis Congolaise.']",True,True,False
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"['Je suis Congolais.', 'Je suis Congolaise.']",True,True,False
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"['Je suis colombien.', 'Je suis colombienne.']",True,True,False
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"['Je suis Comorien.', 'Je suis Comorienne.']",True,True,False
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"['Je suis Cap-Verdien.', 'Je suis Cap-Verdienne.']",True,True,False
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"['Je suis costaricien.', 'Je suis costaricienne.']",False,False,False
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"['Je suis cubain.', 'Je suis cubaine.']",True,True,False
I am Cypriot.,,,Je suis Chypriote.,['Je suis chypriote.'],False,False,True
I am Czech.,,,Je suis Tchèque.,['Je suis tchèque.'],False,False,True
I am German.,Je suis Allemand.,Je suis Allemande.,,"['Je suis allemand.', 'Je suis allemande.']",True,True,False
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,['Je suis Djibouti.'],False,False,False
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"['Je suis Dominicain.', 'Je suis Dominicaine.']",False,False,False
I am Danish.,Je suis Danois.,Je suis Danoise.,,"['Je suis danois.', 'Je suis danoise.']",True,True,False
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"['Je suis Dominicain.', 'Je suis Dominicaine.']",True,True,False
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"['Je suis algérien.', 'Je suis algérienne.']",True,True,False
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"['Je suis équatorien.', 'Je suis équatorienne.']",True,True,False
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"['Je suis égyptien.', 'Je suis égyptienne.']",True,True,False
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"['Je suis érythréen.', 'Je suis érythréenne.']",True,True,False
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"['Je suis espagnol.', 'Je suis espagnole.']",True,True,False
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"['Je suis estonien.', 'Je suis estonienne.']",True,True,False
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"['Je suis éthiopien.', 'Je suis éthiopienne.']",True,True,False
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"['Je suis finlandais.', 'Je suis finlandaise.']",True,True,False
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"['Je suis fidjien.', 'Je suis fidjienne.']",True,True,False
I am French.,Je suis Français.,Je suis Française.,,"['Je suis français.', 'Je suis française.']",True,True,False
