eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"[TextBlock(text='In French, ""I am Afghan"" is translated as:\n\nJe suis afghan. (masculine)\nJe suis afghane. (feminine)\n\nThe adjective ""afghan"" changes depending on the gender of the speaker. If the speaker is male, use ""afghan"". If the speaker is female, use ""afghane"".', type='text')]"
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"[TextBlock(text='Sure! The French translation of ""I am Angolan"" is:\n\nJe suis angolais. (masculine)\nJe suis angolaise. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they describe. ""Angolais"" is the masculine form, while ""angolaise"" is the feminine form.', type='text')]"
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"[TextBlock(text='Sure! The French translation of ""I am Albanian"" is:\n\nJe suis albanais. (masculine)\nJe suis albanaise. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. Use ""albanais"" if you are a man and ""albanaise"" if you are a woman.', type='text')]"
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"[TextBlock(text='In French, ""I am Andorran"" is translated as:\n\nJe suis andorran(e).\n\nNote: In French, adjectives typically agree with the gender of the person they describe. If you are a male, you would say ""Je suis andorran,"" and if you are a female, you would say ""Je suis andorrane.""', type='text')]"
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"[TextBlock(text='Sure! The French translation of ""I am Emirati"" is:\n\nJe suis Émirati. (masculine)\nJe suis Émiratie. (feminine)\n\nIn French, the adjective ""Emirati"" agrees with the gender of the speaker. If the speaker is male, you use ""Émirati,"" and if the speaker is female, you use ""Émiratie.""', type='text')]"
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"[TextBlock(text='Sure! The French translation of ""I am Argentine"" is:\n\nJe suis argentin. (masculine)\nJe suis argentine. (feminine)\n\nIn French, adjectives of nationality typically agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis argentin,"" and if you are a woman, you would say ""Je suis argentine.""', type='text')]"
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"[TextBlock(text='In French, ""I am Armenian"" is translated as:\n\nJe suis arménien. (masculine)\nJe suis arménienne. (feminine)\n\nThe ending of the adjective ""arménien(ne)"" changes depending on the gender of the speaker. If the speaker is male, you would use ""arménien,"" and if the speaker is female, you would use ""arménienne.""', type='text')]"
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,"[TextBlock(text='In French, ""I am Antiguan"" can be translated as:\n\nJe suis Antiguais. (masculine)\nJe suis Antiguaise. (feminine)\n\nThe adjective ""Antiguan"" in French changes depending on the gender of the speaker. Use ""Antiguais"" if you are a man and ""Antiguaise"" if you are a woman.', type='text')]"
I am Australian.,Je suis Australien.,Je suis Australienne.,,"[TextBlock(text='Sure, here is the French translation of ""I am Australian"":\n\nJe suis australien. (masculine)\nJe suis australienne. (feminine)\n\nIn French, adjectives of nationality agree in gender with the subject. So if the speaker is male, you would use ""australien"", and if the speaker is female, you would use ""australienne"".', type='text')]"
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Austrian"" in French:\n\nJe suis autrichien. (masculine)\nJe suis autrichienne. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they describe. ""Autrichien"" is used for a male, while ""autrichienne"" is used for a female.', type='text')]"
