eng,fra_m,fra_f,fra_n,extracted
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,['Je suis Afghan.']
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,['Je suis Angolais.']
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,['Je suis Albanais.']
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,['Je suis Andorran.']
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,['Je suis Émirati.']
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"['Je suis argentin.', 'Je suis argentine.']"
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"['Je suis arménien.', 'Je suis arménienne.']"
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,['Je suis Antiguais.']
I am Australian.,Je suis Australien.,Je suis Australienne.,,['Je suis Australien.']
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,['Je suis autrichien.']
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,['Je suis Azerbaïdjanais.']
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,['Je suis Burundais.']
I am Belgian.,Je suis Belge.,Je suis Belge.,,['Je suis Belge.']
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,['Je suis Béninois.']
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,['Je suis Burkinabè.']
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,['Je suis Bangladais.']
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,['Je suis Bulgare.']
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,['Je suis Bahreïni.']
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"['Je suis Bahaméen', 'Je suis Bahaméenne']"
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"['Je suis Bosnien.', 'Je suis Bosnienne.']"
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,['Je suis Biélorusse.']
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"['Je suis Bélizien', 'Je suis Bélizienne']"
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"['Je suis bolivien.', 'Je suis bolivienne.']"
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"['Je suis brésilien.', 'Je suis brésilienne.']"
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"['Je suis Barbadien.', 'Je suis Barbadienne.']"
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"['Je suis Brunéien.', 'Je suis Brunéienne.']"
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"['Je suis Bhoutanais.', 'Je suis Bhoutanaise.']"
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,['Je suis Motswana']
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"['Je suis centrafricain.', 'Je suis centrafricaine.']"
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,['Je suis Canadien.']
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,['Je suis Suisse.']
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"['Je suis chilien.', 'Je suis chilienne.']"
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,['Je suis chinois.']
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,['Je suis ivoirien.']
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,['Je suis Camerounais.']
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"['Je suis Congolais.', 'Je suis Congolaise.']"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,['Je suis Congolais.']
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,['Je suis colombien.']
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"['Je suis comorien.', 'Je suis comorienne.']"
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,['Je suis Cap-Verdien.']
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"['Je suis costaricien.', 'Je suis costaricienne.']"
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,['Je suis Cubain.']
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,['Je suis Chypriote.']
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,['Je suis tchèque.']
I am German.,Je suis Allemand.,Je suis Allemande.,,['Je suis allemand.']
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,['Je suis Djibouti.']
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,['Je suis dominicain.']
I am Danish.,Je suis Danois.,Je suis Danoise.,,['Je suis Danois.']
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,['Je suis dominicain.']
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,['Je suis Algérien.']
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,['Je suis Équatorien.']
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"['Je suis égyptien.', 'Je suis égyptienne.']"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,['Je suis Érythréen.']
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,['Je suis espagnol.']
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,['Je suis Estonien.']
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"['Je suis Ethiopien.', 'Je suis Ethiopienne.']"
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,['Je suis finlandais.']
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"['Je suis Fidjien.', 'Je suis Fidjienne.']"
I am French.,Je suis Français.,Je suis Française.,,['Je suis français.']
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"['Je suis Micronésien.', 'Je suis Micronésienne.']"
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,,['Je suis Gabonais.']
I am British.,Je suis Britannique.,Je suis Britannique.,,['Je suis britannique.']
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,,['Je suis géorgien.']
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,,['Je suis Ghanéen.']
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,,['Je suis Guinéen.']
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,,['Je suis Gambien.']
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,,['Je suis guinéen-bissauan.']
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,,"['Je suis équato-guinéen.', 'Je suis équato-guinéenne.']"
I am Greek.,Je suis Grec.,Je suis Grecque.,,['Je suis grec.']
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,,"['Je suis Grenadien.', 'Je suis Grenadienne.']"
I am Guatemalan.,Je suis Guatémaltèque.,Je suis Guatémaltèque.,,['Je suis Guatémaltèque.']
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,,['Je suis guyanais.']
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,,"['Je suis hondurien.', 'Je suis hondurienne.']"
I am Croatian.,Je suis Croate.,Je suis Croate.,,['Je suis Croate.']
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,,['Je suis haïtien.']
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,,['Je suis hongrois.']
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,,['Je suis Indonésien.']
I am Indian.,Je suis Indien.,Je suis Indienne.,,['Je suis indien.']
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,,['Je suis irlandais.']
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,['Je suis Iranien.']
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"['Je suis irakien.', 'Je suis irakienne.']"
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,['Je suis Islandais.']
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,['Je suis Israélien.']
I am Italian.,Je suis Italien.,Je suis Italienne.,,['Je suis italien.']
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,['Je suis Jamaïcain.']
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,['Je suis jordanien.']
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,['Je suis japonais.']
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,['Je suis Kazakhstani']
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,['Je suis Kenyan.']
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,['Je suis Kirghize.']
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,['Je suis cambodgien.']
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,['Je suis I-Kiribati']
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,['Je suis Kittitien ou Névisien.']
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,['Je suis sud-coréen.']
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,['Je suis Koweïtien.']
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"['Je suis Laotien.', 'Je suis Laotienne.']"
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,['Je suis libanais.']
