eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"Je suis Afghan.
"
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"Je suis angolais(e).
"
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"Je suis albanais(e).
"
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"Je suis Andorran.
"
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"Je suis Émirati(e).

You can use either the masculine (Émirati) or the feminine (Émiratie) form depending on your gender.
"
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"Je suis argentin(e).
"
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"Je suis arménien(ne).
"
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,"Je suis Antiguais(e).

You use *Antiguais* if you are male and *Antiguaise* if you are female.
"
I am Australian.,Je suis Australien.,Je suis Australienne.,,"Je suis australien(ne).

You use *australien* if you are male and *australienne* if you are female.
"
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"Je suis Autrichien(ne).
"
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"Je suis azerbaïdjanais(e).

You use *azerbaïdjanais* if you are male and *azerbaïdjanaise* if you are female.
"
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"Je suis Burundais(e).
"
I am Belgian.,Je suis Belge.,Je suis Belge.,,"Je suis belge.
"
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"Je suis Béninois(e).

You use *Béninois* if you are male and *Béninoise* if you are female.
"
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"Je suis Burkinabè.
"
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"Je suis bangladais(e).

You use *bangladais* if you are male and *bangladaise* if you are female.
"
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,"Je suis Bulgare. (masculine)
Je suis Bulgare. (feminine)

The word ""Bulgare"" stays the same regardless of gender.
"
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"Je suis bahreïnien(ne).
"
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"Je suis Bahamien(ne).

You use *Bahamien* if you are male and *Bahamienne* if you are female.
"
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"Je suis bosnien(ne).

You need both the masculine (bosnien) and feminine (bosnienne) forms because the French adjective for nationality agrees with the gender of the speaker.  If you are male, you would use ""bosnien."" If you are female, you would use ""bosnienne.""
"
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,"Je suis biélorusse. (masculine)
Je suis biélorusse. (feminine)

The word ""biélorusse"" is the same for both masculine and feminine forms.
"
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"Je suis bélizien(ne).
"
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"Je suis bolivien(ne).
"
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"Je suis brésilien(ne).
"
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"Je suis Barbadien(ne).

Use ""Barbadien"" if you are male and ""Barbadienne"" if you are female.
"
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"Je suis Brunéien(ne).

Use *Brunéien* if you are male and *Brunéienne* if you are female.
"
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"Je suis Bhoutanais(e).
"
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,"Je suis Motswana.
"
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"Je suis centrafricain(e).

You need to use the masculine form (centrafricain) if you are a male and the feminine form (centrafricaine) if you are a female.
"
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"Je suis Canadien(ne).
"
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,"Je suis Suisse.
"
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"Je suis chilien(ne).

Use *chilien* if you are male and *chilienne* if you are female.
"
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"Je suis Chinois(e).

You use *Chinois* if you are a male and *Chinoise* if you are a female.  If you are speaking in a gender-neutral context or don't want to specify your gender, you can write ""Je suis Chinois·e"" with a middot.  Alternatively, you could say ""Je suis d'origine chinoise"" (I am of Chinese origin), which is gender-neutral.
"
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"Je suis Ivoirien(ne).
"
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"Je suis Camerounais(e).

You use *Camerounais* if you are male and *Camerounaise* if you are female.
"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"Je suis Congolais(e).

You use *Congolais* if you are a man and *Congolaise* if you are a woman.  If you want to be gender-neutral, or are referring to a mixed group, you can say *Je suis Congolais*.  While grammatically masculine, in this context it can encompass both genders.
"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"Je suis congolais(e).

You use *congolais* if you are a male and *congolaise* if you are a female.  If you are referring to a group of people of mixed gender or unknown gender, the masculine form *congolais* is used.
"
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"Je suis colombien(ne).
"
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"Je suis comorien(ne).

Use *comorien* if you are male and *comorienne* if you are female.
"
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"The most common and straightforward translation is: **Je suis Cap-Verdien(ne).**

Use *Cap-Verdien* if you are male, and *Cap-Verdienne* if you are female.

You could also say: **Je suis du Cap-Vert.**  This translates to ""I am from Cape Verde"" and is also perfectly acceptable.
"
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"Je suis Costaricien(ne).

You use *Costaricien* if you are male and *Costaricienne* if you are female.
"
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"Je suis cubain(e).
"
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,"Je suis chypriote.
"
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,"Je suis tchèque.
"
I am German.,Je suis Allemand.,Je suis Allemande.,,"Je suis allemand(e).
"
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,"The sentence ""I am Djibouti"" doesn't translate directly into French in a way that makes sense.  It depends on the intended meaning. Here are a few possibilities:

* **If you mean you are *from* Djibouti:**  Je suis Djiboutien(ne). (masculine/feminine)

* **If you mean you are *in* Djibouti:** Je suis à Djibouti.

* **If you're personifying Djibouti (e.g., in a"
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"The most straightforward translation is: **Je suis dominicain(e).**

Use *dominicain* if you are male and *dominicaine* if you are female.
"
I am Danish.,Je suis Danois.,Je suis Danoise.,,"Je suis danois(e).

You use *danois* if you are male and *danoise* if you are female.
"
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"The most straightforward translation is: **Je suis dominicain(e).**

You use *dominicain* if you are a man and *dominicaine* if you are a woman.
"
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"Je suis algérien(ne).
"
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"The most common and straightforward translation is: **Je suis équatorien(ne).**

Use *équatorien* if you are male, and *équatorienne* if you are female.
"
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"Je suis Égyptien(ne).

If you are male, use *Égyptien*.  If you are female, use *Égyptienne*.
"
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"Je suis Érythréen(ne).
"
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"Je suis espagnol(e).
"
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,,"Je suis estonien(ne).
"
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,,"Je suis Éthiopien(ne).
"
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,,"Je suis finlandais(e).
"
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,,"Je suis fidjien(ne).
"
I am French.,Je suis Français.,Je suis Française.,,"Je suis français(e).

You need both the masculine (français) and feminine (française) forms because without more context, it's impossible to know the gender of the speaker.
"
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,,"Je suis Micronésien(ne).
"
