eng,it_m,it_f,it_n,extracted
I am Afghan.,Sono afghano.,Sono afghana.,,['Sono afghano.']
I am Angolan.,Sono angolano.,Sono angolana.,,['Sono angolano.']
I am Albanian.,,,Sono albanese.,['Sono albanese.']
I am Andorran.,Sono andorrano.,Sono andorrana.,,['Sono andorrano.']
I am Emirati.,Sono emiratino.,Sono emiratina.,,['Sono emiratense.']
I am Argentine.,Sono argentino.,Sono argentina.,,['Sono argentino.']
I am Armenian.,Sono armeno.,Sono armena.,,['Sono armeno.']
I am Antiguan.,Sono antiguano.,Sono antiguana.,,['Sono Antiguano.']
I am Australian.,Sono australiano.,Sono australiana.,,['Sono australiano.']
I am Austrian.,Sono austriaco.,Sono austriaca.,,['Sono austriaco.']
I am Azerbaijani.,Sono azero.,Sono azera.,,['Sono azero.']
I am Burundian.,,,Sono burundese.,['Sono burundese.']
I am Belgian.,,,Sono belga.,['Sono belga.']
I am Beninese.,,,Sono beninese.,['Sono del Benin.']
I am Burkinabe.,,,,['Sono burkinabé.']
I am Bangladeshi.,,,Sono bangladese.,['Sono bangladese.']
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,['Sono bulgaro.']
I am Bahraini.,,,Sono bahreinita.,['Sono del Bahrain.']
I am Bahamian.,,,Sono bahamense.,['Sono bahamense.']
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,['Sono bosniaco.']
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,['Sono bielorusso.']
I am Belizean.,Sono beliziano.,Sono beliziana.,,['Sono belizeano.']
I am Bolivian.,Sono boliviano.,Sono boliviana.,,['Sono boliviano.']
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,['Sono brasiliano.']
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,['Sono barbadiano.']
I am Bruneian.,,,,['Sono bruneiano.']
I am Bhutanese.,,,Sono bhutanese.,['Sono bhutanese.']
I am Motswana.,Sono botswano.,Sono botswana.,,['Sono Motswana.']
I am Central African.,Sono centrafricano.,Sono centrafricana.,,['Sono centroafricano.']
I am Canadian.,,,Sono canadese.,['Sono canadese.']
I am Swiss.,Sono svizzero.,Sono svizzera.,,['Sono svizzero.']
I am Chilean.,Sono cileno.,Sono cilena.,,['Sono cileno.']
I am Chinese.,,,Sono cinese.,['Sono cinese.']
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,['Sono ivoriano.']
I am Cameroonian.,,,Sono camerunese.,['Sono camerunense.']
I am Congolese.,,,Sono congolese.,['Sono congolese.']
I am Congolese.,,,Sono congolese.,['Sono congolese.']
I am Colombian.,Sono colombiano.,Sono colombiana.,,['Sono colombiano.']
I am Comoran.,Sono comoriano.,Sono comoriana.,,['Sono Comorano.']
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,['Sono Capoverdiano.']
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,['Sono costaricano.']
I am Cuban.,Sono cubano.,Sono cubana.,,['Sono cubano.']
I am Cypriot.,,,Sono cipriota.,['Sono cipriota.']
I am Czech.,Sono ceco.,Sono ceca.,,['Sono ceco.']
I am German.,Sono tedesco.,Sono tedesca.,,['Sono tedesco.']
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,['Sono Djibouti.']
I am Dominican.,Sono dominicano.,Sono dominicana.,,['Sono Dominicano.']
I am Danish.,,,Sono danese.,['Sono danese.']
I am Dominican.,Sono dominicano.,Sono dominicana.,,['Sono Dominicano.']
I am Algerian.,Sono algerino.,Sono algerina.,,['Sono algerino.']
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,['Sono ecuadoriano.']
I am Egyptian.,Sono egiziano.,Sono egiziana.,,['Sono egiziano.']
I am Eritrean.,Sono eritreo.,Sono eritrea.,,['Sono eritreo.']
I am Spanish.,Sono spagnolo.,Sono spagnola.,,['Sono spagnolo.']
I am Estonian.,,,Sono estone.,['Sono estone.']
I am Ethiopian.,,,Sono etiope.,['Sono etiope.']
I am Finnish.,,,Sono finlandese.,['Sono finlandese.']
I am Fijian.,Sono figiano.,Sono figiana.,,['Sono fijiano.']
I am French.,,,Sono francese.,['Sono francese.']
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,['Sono Micronesiano.']
I am Gabonese.,,,Sono gabonese.,['Sono gabonese.']
