eng,deu_m,deu_f,deu_n,extracted,is_m,is_f,is_n
I am Afghan.,Ich bin Afghane.,Ich bin Afghanin.,,"['Ich bin Afghane.', 'Ich bin Afghanin.']",True,True,False
I am Angolan.,Ich bin Angolaner.,Ich bin Angolanerin.,,"['Ich bin Angolaner.', 'Ich bin Angolanerin.']",True,True,False
I am Albanian.,Ich bin Albaner.,Ich bin Albanerin.,,"['Ich bin Albaner.', 'Ich bin Albanerin.']",True,True,False
I am Andorran.,Ich bin Andorraner.,Ich bin Andorranerin.,,"['Ich bin Andorraner.', 'Ich bin Andorranerin.']",True,True,False
I am Emirati.,,,,['Ich bin Emirati.'],False,False,False
I am Argentine.,Ich bin Argentinier.,Ich bin Argentinierin.,,"['Ich bin Argentinier.', 'Ich bin Argentinierin.']",True,True,False
I am Armenian.,Ich bin Armenier.,Ich bin Armenierin.,,['Ich bin armenischer Herkunft.'],False,False,False
I am Antiguan.,Ich bin Antiguaner.,Ich bin Antiguanerin.,,"['Ich bin Antiguaner.', 'Ich bin Antiguanerin.']",True,True,False
I am Australian.,Ich bin Australier.,Ich bin Australierin.,,"['Ich bin Australier.', 'Ich bin Australierin.']",True,True,False
I am Austrian.,Ich bin Österreicher.,Ich bin Österreicherin.,,"['Ich bin Österreicher.', 'Ich bin Österreicherin.']",True,True,False
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin Aserbaidschanerin.,,"['Ich bin Aserbaidschaner.', 'Ich bin Aserbaidschanerin.']",True,True,False
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,,"['Ich bin Burundier.', 'Ich bin Burundierin.']",True,True,False
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,,"['Ich bin Belgier.', 'Ich bin Belgierin.', 'Ich bin belgisch.']",True,True,False
I am Beninese.,Ich bin Beniner.,Ich bin Beninerin.,,"['Ich bin Beniner.', 'Ich bin Beninerin.']",True,True,False
I am Burkinabe.,Ich bin Burkiner.,Ich bin Burkinerin.,,"['Ich bin Burkinaberin.', 'Ich bin Burkinaber.']",False,False,False
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin Bangladescherin.,,"['Ich bin Bangladescher.', 'Ich bin Bangladescherin.']",True,True,False
I am Bulgarian.,Ich bin Bulgare.,Ich bin Bulgarin.,,"['Ich bin Bulgarin.', 'Ich bin Bulgare.']",True,True,False
I am Bahraini.,Ich bin Bahrainer.,Ich bin Bahrainerin.,,"['Ich bin Bahrainer.', 'Ich bin Bahrainerin.']",True,True,False
I am Bahamian.,Ich bin Bahamaer.,Ich bin Bahamaerin.,,['Ich bin Bahamaer.'],True,False,False
I am Bosnian.,Ich bin Bosnier.,Ich bin Bosnierin.,,"['Ich bin Bosnier.', 'Ich bin Bosnierin.']",True,True,False
I am Belarusian.,Ich bin Belarusse.,Ich bin Belarussin.,,['I come from Belarus.'],False,False,False
I am Belizean.,Ich bin Belizer.,Ich bin Belizerin.,,"['Ich bin Belizianer.', 'Ich bin Belizianerin.']",False,False,False
I am Bolivian.,Ich bin Bolivianer.,Ich bin Bolivianerin.,,"['Ich bin Bolivianer.', 'Ich bin Bolivianerin.']",True,True,False
I am Brazilian.,Ich bin Brasilianer.,Ich bin Brasilianerin.,,"['Ich bin Brasilianer.', 'Ich bin Brasilianerin.', 'Ich bin brasilianisch.']",True,True,False
I am Barbadian.,Ich bin Barbadier.,Ich bin Barbadierin.,,"['Ich bin Barbader.', 'Ich bin Barbaderin.']",False,False,False
I am Bruneian.,Ich bin Bruneier.,Ich bin Bruneierin.,,"['Ich bin Bruneier.', 'Ich bin Bruneierin.']",True,True,False
I am Bhutanese.,Ich bin Bhutaner.,Ich bin Bhutanerin.,,"['Ich bin Bhutaner.', 'Ich bin Bhutanerin.']",True,True,False
I am Motswana.,Ich bin Botsuaner.,Ich bin Botsuanerin.,,"['Ich bin Motswaner.', 'Ich bin Motswanerin.']",False,False,False
I am Central African.,Ich bin Zentralafrikaner.,Ich bin Zentralafrikanerin.,,"['Ich bin Zentralafrikaner.', 'Ich bin Zentralafrikanerin.']",True,True,False
I am Canadian.,Ich bin Kanadier.,Ich bin Kanadierin.,,"['Ich bin Kanadier.', 'Ich bin Kanadierin.', 'Ich bin kanadisch.']",True,True,False
I am Swiss.,Ich bin Schweizer.,Ich bin Schweizerin.,,"['Ich bin Schweizer.', 'Ich bin Schweizerin.']",True,True,False
I am Chilean.,Ich bin Chilene.,Ich bin Chilenin.,,"['Ich bin Chilene.', 'Ich bin Chilenin.']",True,True,False
I am Chinese.,Ich bin Chinese.,Ich bin Chinesin.,,"['Ich bin Chinese.', 'Ich bin Chinesin.']",True,True,False
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,,"['Ich bin Ivorer.', 'Ich bin Ivorerin.']",True,True,False
I am Cameroonian.,Ich bin Kameruner.,Ich bin Kamerunerin.,,"['Ich bin Kameruner.', 'Ich bin Kamerunerin.']",True,True,False
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"['Ich bin Kongolese.', 'Ich bin Kongolesin.']",True,True,False
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,,"['Ich bin Kongolese.', 'Ich bin Kongolesin.']",True,True,False
I am Colombian.,Ich bin Kolumbianer.,Ich bin Kolumbianerin.,,"['Ich bin Kolumbianer.', 'Ich bin Kolumbianerin.']",True,True,False
I am Comoran.,Ich bin Komorer.,Ich bin Komorerin.,,"['Ich bin Komorer.', 'Ich bin Komorerin.']",True,True,False
I am Cape Verdian.,,,,"['Ich bin Kapverdianer.', 'Ich bin Kapverdianerin.']",False,False,False
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin Costa Ricanerin.,,"['Ich bin Costa-Ricaner.', 'Ich bin Costa-Ricanerin.']",False,False,False
I am Cuban.,Ich bin Kubaner.,Ich bin Kubanerin.,,"['Ich bin Kubaner.', 'Ich bin Kubanerinn.']",True,False,False
I am Cypriot.,Ich bin Zyprer.,Ich bin Zyprerin.,,"['Ich bin Zyprer.', 'Ich bin Zyprerin.']",True,True,False
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,,"['Ich bin Tschechin.', 'Ich bin Tscheche.']",True,True,False
I am German.,,,Ich bin Deutsche.,"['Ich bin Deutscher.', 'Ich bin Deutsche.', 'Ich bin deutsch.']",False,False,True
I am Djibouti.,Ich bin Dschibutier.,Ich bin Dschibutierin.,,[],False,False,False
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,,"['Ich bin Dominikaner.', 'Ich bin Dominikanerin.']",False,False,False
I am Danish.,Ich bin Däne.,Ich bin Dänin.,,"['Ich bin Däne.', 'Ich bin Dänin.']",True,True,False
I am Dominican.,Ich bin Dominikaner.,Ich bin Dominikanerin.,,"['Ich bin Dominikaner.', 'Ich bin Dominikanerin.']",True,True,False
I am Algerian.,Ich bin Algerier.,Ich bin Algerierin.,,"['Ich bin Algerier.', 'Ich bin Algerierin.']",True,True,False
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin Ecuadorianerin.,,"['Ich bin Ecuadorianer.', 'Ich bin Ecuadorianerin.']",True,True,False
I am Egyptian.,Ich bin Ägypter.,Ich bin Ägypterin.,,"['Ich bin Ägypter.', 'Ich bin Ägypterin.']",True,True,False
I am Eritrean.,Ich bin Eritreer.,Ich bin Eritreerin.,,"['Ich bin Eritreer.', 'Ich bin Eritreerin.']",True,True,False
I am Spanish.,Ich bin Spanier.,Ich bin Spanierin.,,"['Ich bin Spanier.', 'Ich bin Spanierin.', 'Ich bin Spanisch.']",True,True,False
I am Estonian.,Ich bin Este.,Ich bin Estin.,,"['Ich bin Estin.', 'Ich bin Este.']",True,True,False
I am Ethiopian.,Ich bin Äthiopier.,Ich bin Äthiopierin.,,"['Ich bin Äthiopier.', 'Ich bin Äthiopierin.']",True,True,False
I am Finnish.,Ich bin Finne.,Ich bin Finnin.,,"['Ich bin Finne.', 'Ich bin Finnin.']",True,True,False
I am Fijian.,Ich bin Fidschianer.,Ich bin Fidschianerin.,,"['Ich bin Fijianer.', 'Ich bin Fijianerin.']",False,False,False
I am French.,Ich bin Franzose.,Ich bin Französin.,,"['Ich bin Franzose.', 'Ich bin Französin.']",True,True,False
I am Micronesian.,Ich bin Mikronesier.,Ich bin Mikronesierin.,,"['Ich bin Mikronesier.', 'Ich bin Mikronesierin.']",True,True,False
